ts_code,ann_date,end_date,revenue,yoy_sales,operate_profit,total_profit,n_income,yoy_net_profit,yoy_dedu_np,diluted_eps,yoy_eps,diluted_roe,yoy_roe,perf_summary,is_audit,remark,period,name
600999.SH,20260128,20251231,24899590500.0,,13990072800.0,14025903900.0,12299737100.0,10385872400.0,,1.35,,9.9,,,0,,20251231,招商证券
600030.SH,20260410,20260331,23155000000.0,,13220000000.0,13227000000.0,10216000000.0,6608000000.0,,0.67,,3.46,,,0,,20260331,中信证券
601788.SH,20260124,20251231,10863270000.0,,4659890000.0,4684040000.0,3728990000.0,3058460000.0,,0.73,,5.59,,,0,,20251231,光大证券
601878.SH,20260401,20251231,8840865555.59,,3459377806.47,3460172648.97,2412423938.67,1931881941.85,,0.53,,6.67,,,0,,20251231,浙商证券
600909.SH,20260130,20251231,5063691500.0,,2621548500.0,2643030200.0,2104064700.0,1485532900.0,,0.45,,9.1,,,0,,20251231,华安证券
002673.SZ,20260328,20251231,5984624100.0,,2268975300.0,2266384900.0,1753652700.0,1403260800.0,,0.39,,5.95,,,0,,20251231,西部证券
600958.SH,20250414,20250331,5382000000.0,,1715000000.0,1751000000.0,1436000000.0,886000000.0,,0.16,,1.79,,,0,,20250331,东方证券
000728.SZ,20250715,20250630,3396624400.0,,1740744700.0,1723318200.0,1404668300.0,1000169300.0,,0.32,,3.73,,,0,,20250630,国元证券
000750.SZ,20260131,20251231,3451947800.0,,1209860700.0,1091495300.0,766282200.0,428379500.0,,0.12,,3.43,,,0,,20251231,国海证券
601377.SH,20250408,20250331,2792346300.0,,721231100.0,720801200.0,516322000.0,328205000.0,,0.0568,,0.9,,,0,,20250331,兴业证券
