type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,603501,2024-06-24,2024-07-02,102.78,97.03,242,-1391.5,-5.59,-1391.5,6,-231.92,,-6.29,1.08
long,002463,2024-06-25,2024-07-03,35.32,36.13,686,555.66,2.29,-835.84,6,92.61,,-0.55,2.05
long,601939,2024-07-02,2024-07-03,6.91,6.94,3528,105.84,0.43,-730.0,1,105.84,,-0.07,0.07
long,002463,2024-07-10,2024-07-18,40.08,34.8,610,-3220.8,-13.17,-3950.8,6,-536.8,,-5.28,1.21
long,603392,2024-07-18,2024-07-26,73.3,66.56,289,-1947.86,-9.2,-5898.66,6,-324.64,,-7.66,1.53
long,601939,2024-07-04,2024-07-29,6.94,7.14,3575,715.0,2.88,-5183.66,17,42.06,,-0.14,0.4
long,000738,2024-07-26,2024-08-09,21.18,20.56,910,-564.2,-2.93,-5747.86,10,-56.42,,-0.79,0.9
long,600435,2024-07-31,2024-08-13,9.12,8.32,2457,-1965.6,-8.77,-7713.46,9,-218.4,,-0.88,0.51
long,002463,2024-08-23,2024-08-26,32.88,32.6,637,-178.36,-0.85,-7891.82,1,-178.36,,-0.57,0.57
long,601939,2024-08-19,2024-08-28,7.6,7.93,2807,926.31,4.34,-6965.51,7,132.33,,-0.12,0.42
long,601939,2024-08-29,2024-09-02,7.72,7.16,2678,-1499.68,-7.25,-8465.19,2,-749.84,,-0.56,0.19
long,603392,2024-08-26,2024-09-05,73.24,68.99,283,-1202.75,-5.8,-9667.94,8,-150.34,,-5.44,3.74
long,002463,2024-09-03,2024-09-09,32.84,29.62,628,-2022.16,-9.81,-11690.1,4,-505.54,,-3.22,0.77
long,600690,2024-09-05,2024-09-10,24.16,23.22,815,-766.1,-3.89,-12456.2,3,-255.37,,-1.27,0.37
long,600435,2024-09-10,2024-10-08,8.46,11.6,2185,6860.9,37.12,-5595.3,13,527.76,,-0.11,3.14
long,600690,2024-09-12,2024-10-08,23.97,32.33,782,6537.52,34.88,942.22,11,594.32,,-0.38,8.36
long,002463,2024-10-10,2024-10-11,41.85,41.29,587,-328.72,-1.34,613.5,1,-328.72,,-1.82,1.82
long,603501,2024-10-11,2024-10-18,110.28,106.98,220,-726.0,-2.99,-112.5,5,-145.2,,-7.39,3.56
long,002463,2024-10-21,2024-10-24,42.48,41.51,610,-591.7,-2.28,-704.2,3,-197.23,,-1.83,1.01
long,600570,2024-10-11,2024-10-28,24.08,26.23,995,2139.25,8.93,1435.05,11,194.48,,-1.67,4.49
long,002463,2024-10-28,2024-10-29,42.23,40.44,590,-1056.1,-4.24,378.95,1,-1056.1,,-1.79,1.1
long,000738,2024-10-29,2024-11-11,23.91,24.12,1061,222.81,0.88,601.76,9,24.76,,-1.03,1.35
long,600570,2024-11-11,2024-11-18,32.8,29.52,780,-2558.4,-10.0,-1956.64,5,-511.68,,-3.28,4.36
long,601360,2024-11-01,2024-12-03,9.68,13.14,2583,8937.18,35.74,6980.54,22,406.24,,-0.76,5.28
long,603392,2024-12-05,2024-12-18,76.46,75.09,370,-506.9,-1.79,6473.64,9,-56.32,,-1.94,1.53
long,601939,2024-12-09,2025-01-06,7.87,8.01,3593,503.02,1.78,6976.66,19,26.47,,-0.06,0.74
long,002463,2024-12-20,2025-01-16,38.67,38.52,729,-109.35,-0.39,6867.31,18,-6.08,,-1.26,4.81
long,603501,2025-01-15,2025-01-20,102.9,103.78,279,245.52,0.86,7112.83,3,81.84,,-2.75,1.63
long,603501,2025-01-21,2025-02-05,104.99,107.88,273,788.97,2.75,7901.8,5,157.79,,-1.45,4.93
long,002463,2025-01-23,2025-02-06,44.46,36.84,639,-4869.18,-17.14,3032.62,4,-1217.3,,-7.63,0.9
long,603501,2025-02-07,2025-02-13,117.11,137.89,201,4176.78,17.74,7209.4,4,1044.2,,-2.83,20.78
long,601360,2025-02-05,2025-02-21,11.98,11.86,2461,-295.32,-1.0,6914.08,12,-24.61,,-0.53,2.15
long,600570,2025-02-17,2025-02-28,35.31,31.36,785,-3100.75,-11.19,3813.33,9,-344.53,,-3.95,1.73
long,603501,2025-02-25,2025-03-03,147.42,142.66,186,-885.36,-3.23,2927.97,4,-221.34,,-6.92,2.68
long,600435,2025-03-10,2025-03-21,11.42,11.4,2360,-47.2,-0.18,2880.77,9,-5.24,,-0.17,0.91
long,000738,2025-03-14,2025-03-26,20.54,19.74,1264,-1011.2,-3.89,1869.57,8,-126.4,,-1.17,0.24
long,600690,2025-03-26,2025-04-02,26.79,25.86,961,-893.73,-3.47,975.84,5,-178.75,,-1.11,0.23
long,600085,2025-03-25,2025-04-08,36.52,34.7,705,-1283.1,-4.98,-307.26,9,-142.57,,-3.68,0.35
long,603392,2025-04-14,2025-04-15,67.22,67.28,363,21.78,0.09,-285.48,1,21.78,,-0.61,0.6
long,603392,2025-04-16,2025-04-23,70.03,65.9,349,-1441.37,-5.9,-1726.85,5,-288.27,,-4.13,2.37
long,601939,2025-04-02,2025-05-07,8.52,8.92,2961,1184.4,4.69,-542.45,21,56.4,,-0.1,0.74
long,600435,2025-05-07,2025-05-15,11.7,11.45,2154,-538.5,-2.14,-1080.95,6,-89.75,,-0.25,0.61
long,601360,2025-05-07,2025-05-19,10.6,9.99,2288,-1395.68,-5.75,-2476.63,8,-174.46,,-0.61,0.54
long,000738,2025-05-20,2025-05-21,19.06,19.02,1215,-48.6,-0.21,-2525.23,1,-48.6,,-0.16,0.16
long,603501,2025-05-21,2025-05-28,129.36,126.22,179,-562.06,-2.43,-3087.29,5,-112.41,,-3.32,4.78
long,002463,2025-05-15,2025-05-29,31.22,30.95,769,-207.63,-0.86,-3294.92,10,-20.76,,-2.18,0.55
long,603392,2025-05-28,2025-06-11,68.98,67.72,326,-410.76,-1.83,-3705.68,9,-45.64,,-1.76,11.02
long,002463,2025-05-30,2025-06-17,30.76,40.2,750,7080.0,30.69,3374.32,11,643.64,,-0.33,10.0
long,002463,2025-06-23,2025-07-01,42.1,43.33,607,746.61,2.92,4120.93,6,124.44,,-1.1,1.71
long,600435,2025-07-02,2025-07-16,14.47,14.41,1882,-112.92,-0.41,4008.01,10,-11.29,,-0.74,0.49
long,600570,2025-06-16,2025-07-16,29.14,33.15,796,3191.96,13.76,7199.97,22,145.09,,-1.55,6.63
long,002463,2025-07-16,2025-07-24,50.4,50.03,561,-207.57,-0.73,6992.4,6,-34.6,,-1.75,4.69
long,600435,2025-07-22,2025-07-24,15.6,15.43,1854,-315.18,-1.09,6677.22,2,-157.59,,-0.84,0.48
long,600570,2025-07-30,2025-08-06,37.44,34.77,761,-2031.87,-7.13,4645.35,5,-406.37,,-3.04,1.05
long,601360,2025-08-06,2025-08-11,10.9,10.54,2427,-873.72,-3.3,3771.63,3,-291.24,,-0.45,0.33
long,600435,2025-07-25,2025-08-12,15.77,17.17,1787,2501.8,8.88,6273.43,12,208.48,,-0.31,2.53
long,600570,2025-08-19,2025-08-27,37.31,38.02,747,530.37,1.9,6803.8,6,88.4,,-1.58,2.91
long,601360,2025-08-27,2025-09-01,11.77,11.46,2461,-762.91,-2.63,6040.89,3,-254.3,,-0.64,0.34
long,603501,2025-08-27,2025-09-05,142.62,129.84,195,-2492.1,-8.96,3548.79,7,-356.01,,-16.39,4.87
