type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,600085,2024-06-04,2024-06-14,42.6,40.56,585,-1193.4,-4.79,-1193.4,7,-170.49,,-2.41,0.88
long,600570,2024-06-14,2024-06-18,19.17,19.29,1238,148.56,0.63,-1044.84,2,74.28,,-0.29,0.3
long,600085,2024-06-18,2024-06-25,40.8,37.15,585,-2135.25,-8.95,-3180.09,5,-427.05,,-4.09,0.53
long,600570,2024-06-25,2024-07-02,17.43,17.45,1248,24.96,0.11,-3155.13,5,4.99,,-0.47,0.76
long,600085,2024-07-02,2024-07-04,38.01,37.37,573,-366.72,-1.68,-3521.85,2,-183.36,,-0.69,0.35
long,600570,2024-07-04,2024-07-05,16.86,16.61,1270,-317.5,-1.48,-3839.35,1,-317.5,,-0.33,0.33
long,600085,2024-07-05,2024-07-11,36.75,36.17,574,-332.92,-1.58,-4172.27,4,-83.23,,-1.44,0.8
long,600570,2024-07-11,2024-07-12,16.67,16.74,1245,87.15,0.42,-4085.12,1,87.15,,-0.27,0.27
long,600085,2024-07-12,2024-07-26,36.32,35.66,574,-378.84,-1.82,-4463.96,10,-37.88,,-1.11,2.48
long,002352,2024-06-04,2024-10-09,35.5,40.32,706,3402.92,13.58,-1061.04,83,41.0,,-4.19,11.41
long,600085,2024-10-09,2024-10-10,39.79,38.5,702,-905.58,-3.24,-1966.62,1,-905.58,,-1.74,1.74
long,002352,2024-10-10,2024-10-11,39.74,39.97,693,159.39,0.58,-1807.23,1,159.39,,-0.7,0.69
long,600085,2024-10-11,2024-10-14,37.47,36.8,740,-495.8,-1.79,-2303.03,1,-495.8,,-0.99,1.0
long,002352,2024-10-14,2024-10-22,40.87,40.58,666,-193.14,-0.71,-2496.17,6,-32.19,,-1.26,0.91
long,600570,2024-07-26,2025-01-02,17.44,26.66,1173,10815.06,52.87,8318.89,106,102.03,,-2.27,19.72
long,600085,2024-10-22,2025-01-22,38.89,36.34,695,-1772.25,-6.56,6546.64,65,-27.27,,-2.88,4.77
long,301626,2025-01-22,2025-01-27,89.32,86.06,300,-978.0,-3.65,5568.64,3,-326.0,,-4.39,0.93
long,600085,2025-01-27,2025-02-06,36.56,37.19,706,444.78,1.72,6013.42,2,222.39,,-0.38,0.63
long,002352,2025-01-02,2025-02-07,38.8,39.5,766,536.2,1.8,6549.62,20,26.81,,-1.15,1.25
long,301626,2025-02-06,2025-02-27,95.98,94.36,273,-442.26,-1.69,6107.36,15,-29.48,,-4.65,16.26
long,603019,2025-02-27,2025-03-04,76.92,70.03,341,-2349.49,-8.96,3757.87,3,-783.16,,-7.41,1.75
long,002352,2025-03-04,2025-03-05,41.09,41.22,581,75.53,0.32,3833.4,1,75.53,,-0.33,0.33
long,301626,2025-03-05,2025-03-06,89.79,90.74,266,252.7,1.06,4086.1,1,252.7,,-0.79,0.95
long,600570,2025-02-07,2025-03-13,29.42,30.4,1015,994.7,3.33,5080.8,24,41.45,,-1.12,7.62
long,600085,2025-03-13,2025-05-09,35.71,36.22,783,399.33,1.43,5480.13,37,10.79,,-2.87,1.38
long,301626,2025-05-09,2025-05-12,73.29,74.19,375,337.5,1.23,5817.63,1,337.5,,-1.51,1.51
long,002352,2025-03-06,2025-05-13,41.51,42.48,583,565.51,2.34,6383.14,44,12.85,,-3.03,2.04
long,600570,2025-05-12,2025-05-19,26.66,25.97,1072,-739.68,-2.59,5643.46,5,-147.94,,-0.69,1.18
long,600085,2025-05-19,2025-05-21,36.92,37.3,754,286.52,1.03,5929.98,2,143.26,,-0.3,0.56
long,301626,2025-05-13,2025-05-22,74.69,70.74,372,-1469.4,-5.29,4460.58,7,-209.91,,-4.44,1.61
long,600085,2025-05-22,2025-06-16,37.05,36.06,721,-713.79,-2.67,3746.79,16,-44.61,,-0.99,0.79
long,002352,2025-05-21,2025-07-14,45.21,46.48,613,778.51,2.81,4525.3,37,21.04,,-1.17,4.88
long,600085,2025-07-14,2025-08-18,35.72,36.53,797,645.57,2.27,5170.87,25,25.82,,-0.44,1.56
long,600570,2025-08-18,2025-08-27,37.44,38.02,778,451.24,1.55,5622.11,7,64.46,,-1.71,2.78
long,002352,2025-08-27,2025-08-28,47.88,47.44,618,-271.92,-0.92,5350.19,1,-271.92,,-0.59,0.6
long,301626,2025-06-16,2025-09-04,83.4,133.4,312,15600.0,59.95,20950.19,58,268.97,,-2.47,97.23
long,600085,2025-09-04,2025-09-23,35.2,34.14,976,-1034.56,-3.01,19915.63,13,-79.58,,-1.06,0.57
long,301626,2025-09-23,2025-09-24,140.3,137.58,269,-731.68,-1.94,19183.95,1,-731.68,,-6.3,6.3
long,600085,2025-09-24,2025-10-09,34.26,33.97,1135,-329.15,-0.85,18854.8,5,-65.83,,-0.37,0.16
long,301626,2025-10-09,2025-10-13,135.86,120.39,291,-4501.77,-11.39,14353.03,2,-2250.89,,-15.47,6.33
long,600570,2025-10-13,2025-10-14,33.0,33.5,1063,531.5,1.52,14884.53,1,531.5,,-0.72,0.73
long,002352,2025-10-14,2025-10-17,40.92,40.48,870,-382.8,-1.08,14501.73,3,-127.6,,-0.44,0.33
long,600085,2025-10-17,2025-10-22,34.43,34.07,1018,-366.48,-1.05,14135.25,3,-122.16,,-0.56,0.18
long,603019,2025-08-28,2025-11-03,90.35,105.38,324,4869.72,16.64,19004.97,41,118.77,,-12.32,37.77
