concept_code,concept_name,signal_date,in_trend,signal_low,capital_ok,score_total,score_low,score_capital,score_mf,score_lhb,score_margin,score_etf,score_inst,mf_net_1d,mf_net_3d,lhb_member_count,lhb_net_amount,margin_rzye_chg_pct,etf_share_chg,inst_net_buy,today_pct_change,yesterday_net_amount,yesterday_net_amount_rate,yesterday_vol_ratio,score_prefilter,prefilter_rank,score_launch,score_ma5_bonus,ma5_score_raw,box_range_pct,box_avg_position,box_consolidation_ok,dist_from_60d_low_pct,pct_5d,pct_60d,vol_up_down_ratio,yang_days,yin_days,close,ma5,ma10,ma20,close_ge_ma5,ma5_up,ma10_up,index_pct_change,turnover_rate,up_num,down_num,leading,leading_code,leading_pct,diagnosis_zh
BK0604.DC,参股保险,2026-07-31,True,True,True,72,37,35,18,10,3,0,4,1392399104.0,2428842656.0,2,301308601.45,-37.0231,0.0,345758697.88,1.61,242476800.0,0.6,,85,15,53,3,63,10.64,0.5257,True,9.8745,6.6681,-10.952,1.084,7,2,2574.03,2518.442,2479.609,2461.779,True,True,True,1.61,0.77,51,18,华天酒店,000428.SZ,9.92,参股保险(BK0604.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 10.64%、均价位置 0.53； 距60日低点 9.87%，近5日 6.67%、近60日 -10.95%。 启动段量价比约 1.08，阳 7/阴 2。 综合分 72（低位 37 + 资金 35；资金明细 流入18/龙虎10/融资3/ETF0/机构4）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK0597.DC,水利建设,2026-07-31,True,True,True,67,32,35,18,10,3,0,4,1621208512.0,2224141024.0,2,125761685.31,-34.2238,0.0,170211781.74,2.43,227137296.0,0.69,0.906,78,35,45,3,54,17.6377,0.5293,True,9.6263,5.6173,-19.3511,1.0678,5,4,1855.03,1820.506,1794.299,1837.3675,True,True,True,2.43,1.81,91,13,诚邦股份,603316.SH,10.02,水利建设(BK0597.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 17.64%、均价位置 0.53； 距60日低点 9.63%，近5日 5.62%、近60日 -19.35%。 启动段量价比约 1.07，阳 5/阴 4。 综合分 67（低位 32 + 资金 35；资金明细 流入18/龙虎10/融资3/ETF0/机构4）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK1071.DC,跨境支付,2026-07-31,True,True,True,65,33,32,18,7,3,0,4,880750592.0,1814207744.0,1,271660512.62,-39.7415,0.0,416408838.24,2.87,2059119104.0,4.07,,85,9,46,3,62,14.1228,0.4417,True,11.818,10.5588,-11.4408,1.328,6,3,1490.31,1432.978,1408.597,1390.4165,True,True,True,2.87,0.54,49,15,易点天下,301171.SZ,19.99,跨境支付(BK1071.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 14.12%、均价位置 0.44； 距60日低点 11.82%，近5日 10.56%、近60日 -11.44%。 启动段量价比约 1.33，阳 6/阴 3。 综合分 65（低位 33 + 资金 32；资金明细 流入18/龙虎7/融资3/ETF0/机构4）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK1076.DC,建筑节能,2026-07-31,True,True,True,54,26,28,16,6,3,1,2,62816976.0,284683984.0,1,4969321.7,-56.2116,0.0,9938643.4,2.86,125996896.0,1.69,0.9244,79,31,38,2,50,20.1069,0.54,True,14.3671,7.1596,-20.32,1.08,6,3,1012.08,989.808,968.231,1003.957,True,True,True,2.86,3.38,40,5,诚邦股份,603316.SH,10.02,建筑节能(BK1076.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 20.11%、均价位置 0.54； 距60日低点 14.37%，近5日 7.16%、近60日 -20.32%。 启动段量价比约 1.08，阳 6/阴 3。 综合分 54（低位 26 + 资金 28；资金明细 流入16/龙虎6/融资3/ETF1/机构2）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK1671.DC,超跌股,2026-07-31,True,True,True,52,27,25,18,4,3,0,0,322443056.0,1581962960.0,1,-11111890.6,-44.5416,0.0,-11111890.6,3.18,578460720.0,2.65,0.9111,85,27,38,3,53,19.8677,0.4281,True,14.0327,10.2477,-20.4276,1.0575,6,3,661.31,638.674,624.117,623.5675,True,True,True,3.18,3.11,155,8,*ST康乐,920575.BJ,23.95,超跌股(BK1671.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 19.87%、均价位置 0.43； 距60日低点 14.03%，近5日 10.25%、近60日 -20.43%。 启动段量价比约 1.06，阳 6/阴 3。 综合分 52（低位 27 + 资金 25；资金明细 流入18/龙虎4/融资3/ETF0/机构0）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK1029.DC,汽车整车,2026-07-31,True,True,False,49,27,22,18,0,3,1,0,575877072.0,3251332976.0,0,0.0,-46.7268,0.0,0.0,0.21,1402648288.0,7.04,,85,26,38,3,56,18.106,0.4421,True,13.8722,10.0499,-16.5896,1.2287,6,3,1473.37,1425.342,1386.041,1367.878,True,True,True,0.21,1.67,12,12,江淮汽车,600418.SH,7.71,汽车整车(BK1029.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 18.11%、均价位置 0.44； 距60日低点 13.87%，近5日 10.05%、近60日 -16.59%。 启动段量价比约 1.23，阳 6/阴 3。 综合分 49（低位 27 + 资金 22；资金明细 流入18/龙虎0/融资3/ETF1/机构0）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK0965.DC,社区团购,2026-07-31,True,True,False,54,33,21,11,7,3,0,0,6272256.0,205734928.0,2,-60322482.96,-56.6635,0.0,-83131543.76,1.82,102250800.0,1.18,,85,14,46,3,54,17.5521,0.5164,True,16.6293,11.5852,-11.4578,1.1841,6,3,811.95,782.262,762.081,759.1895,True,True,True,1.82,2.77,33,5,一鸣食品,605179.SH,9.99,社区团购(BK0965.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 17.55%、均价位置 0.52； 距60日低点 16.63%，近5日 11.59%、近60日 -11.46%。 启动段量价比约 1.18，阳 6/阴 3。 综合分 54（低位 33 + 资金 21；资金明细 流入11/龙虎7/融资3/ETF0/机构0）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK1179.DC,房屋检测,2026-07-31,True,True,False,53,32,21,18,0,3,0,0,97829937.0,451751232.0,0,0.0,-55.1091,0.0,0.0,2.37,204483680.0,3.76,0.9191,94,4,46,2,45,17.2131,0.4374,True,12.1735,8.2859,-18.4785,1.0389,6,3,1267.92,1233.334,1207.326,1227.824,True,True,True,2.37,2.19,35,4,诚邦股份,603316.SH,10.02,房屋检测(BK1179.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 17.21%、均价位置 0.44； 距60日低点 12.17%，近5日 8.29%、近60日 -18.48%。 启动段量价比约 1.04，阳 6/阴 3。 综合分 53（低位 32 + 资金 21；资金明细 流入18/龙虎0/融资3/ETF0/机构0）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK1653.DC,味蕾经济,2026-07-31,True,True,False,49,33,16,4,9,3,0,0,-225529584.0,2061558896.0,3,-93835923.87,-30.9981,0.0,-116644984.67,1.26,1000615680.0,2.28,,85,18,46,3,51,12.9638,0.5075,True,11.7918,9.9771,-11.7921,1.0458,6,3,874.67,845.496,828.812,825.83,True,True,True,1.26,2.26,65,21,一鸣食品,605179.SH,9.99,味蕾经济(BK1653.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 12.96%、均价位置 0.51； 距60日低点 11.79%，近5日 9.98%、近60日 -11.79%。 启动段量价比约 1.05，阳 6/阴 3。 综合分 49（低位 33 + 资金 16；资金明细 流入4/龙虎9/融资3/ETF0/机构0）。 MA5 呈上翘且收盘站稳，可作辅助确认。
BK0477.DC,酿酒概念,2026-07-31,True,True,False,49,33,16,4,6,3,0,3,-91628944.0,2218359952.0,1,31804112.2,-32.6236,0.0,31804112.2,1.09,1404375296.0,4.63,,85,19,46,3,55,16.7485,0.4128,True,15.2998,9.1442,-6.1148,1.151,6,3,40149.22,38781.392,38225.712,37459.591,True,True,True,1.09,1.88,28,9,威龙股份,603779.SH,10.06,酿酒概念(BK0477.DC) 截至 2026-07-31：漏斗命中（资金宇宙内 + 低位硬筛通过）。 30日横盘振幅 16.75%、均价位置 0.41； 距60日低点 15.30%，近5日 9.14%、近60日 -6.11%。 启动段量价比约 1.15，阳 6/阴 3。 综合分 49（低位 33 + 资金 16；资金明细 流入4/龙虎6/融资3/ETF0/机构3）。 MA5 呈上翘且收盘站稳，可作辅助确认。
