分组,排名,股票代码,股票名称,行业,总分,资产安全得分,现金流质量得分,盈利质量得分,运营效率得分
M加,1,600667,太极实业,半导体,0.25,-0.1653,0.4023,-0.1089,1.3554
M加,2,000056,*ST皇庭,其他商业,0.2054,-1.0301,0.5251,0.3224,1.3911
M加,3,600985,淮北矿业,煤炭开采,0.2023,0.7407,0.1831,0.0624,-0.3769
M加,4,603257,中国瑞林,建筑工程,0.0692,1.0596,-0.1547,0.031,-1.0574
M加,5,603231,索宝蛋白,食品,0.0608,0.376,0.0922,0.0473,-0.5006
M加,6,002515,金字火腿,食品,0.058,0.2649,0.2104,0.1185,-0.7128
M加,7,000623,吉林敖东,中成药,0.0229,-0.1132,0.0857,0.5553,-0.9407
M加,8,002586,ST围海,建筑工程,-0.0516,-0.05,-0.7809,-0.0525,1.4063
M加,9,000100,TCL科技,元器件,-0.0519,0.0958,-0.0036,-0.0929,-0.3125
M加,10,603099,长白山,旅游景点,-0.058,-0.0035,-0.0243,-0.6298,0.9275
M加,11,002132,恒星科技,钢加工,-0.2309,-0.4222,-0.0179,-0.1207,-0.5581
M加,12,600531,豫光金铅,铅锌,-0.4762,-0.7526,-0.5175,-0.132,-0.6213
Q,1,600131,国网信通,通信设备,0.2953,0.8035,0.874,-0.5811,0.0434
Q,2,600989,宝丰能源,化工原料,0.1892,-0.7978,0.2018,0.5841,1.0191
Q,3,000933,神火股份,铝,0.1039,0.5987,0.1531,-0.041,-0.529
Q,4,600961,株冶集团,铅锌,-0.1338,0.1936,-0.3687,-0.0281,-0.4209
Q,5,601168,西部矿业,铜,-0.1801,-0.8312,0.1635,-0.0564,-0.0295
Q,6,002170,芭田股份,农药化肥,-0.2745,0.0333,-1.0237,0.1225,-0.0831
M减,1,600566,济川药业,中成药,0.6559,0.8597,0.5474,1.195,-0.5454
M减,2,603031,安孚科技,电气设备,0.5904,0.8557,0.6221,0.4829,0.3001
M减,3,603501,豪威集团,半导体,0.285,0.3182,0.1324,0.4587,0.1877
M减,4,002364,中恒电气,电气设备,0.2555,1.1025,0.0204,0.2021,-0.579
M减,5,000672,上峰材料,水泥,0.2026,0.2039,0.3211,0.384,-0.3993
M减,6,600869,远东股份,电气设备,0.1762,-0.2317,0.403,0.0617,0.6317
M减,7,603757,大元泵业,机械基件,0.1282,0.4447,-0.1571,0.3742,-0.3205
M减,8,002457,青龙管业,塑料,0.0137,0.3918,-0.2693,0.1761,-0.3752
M减,9,603779,威龙股份,红黄酒,-0.0453,-0.1508,0.2829,-0.1114,-0.3936
M减,10,601991,大唐发电,火力发电,-0.0526,-0.3831,-0.2196,-0.3028,1.3328
M减,11,002552,宝鼎科技,元器件,-0.0838,-0.5408,0.0387,-0.1304,0.5259
M减,12,600499,科达制造,专用机械,-0.0989,0.2086,-0.6845,0.4337,-0.5056
M减,13,000539,粤电力A,火力发电,-0.1345,-0.5831,-0.0449,-0.6819,1.5287
M减,14,001896,豫能控股,火力发电,-0.3382,-0.7253,-0.0338,-1.0203,1.0622
M减,15,002731,*ST萃华,服饰,-0.3444,-0.3344,-0.399,0.0863,-1.1132
M减,16,603557,*ST起步,服饰,-1.2099,-1.436,-0.5598,-1.6078,-1.3373
量能,1,002649,博彦科技,软件服务,0.3308,0.7547,0.5754,-0.1994,0.1955
量能,2,603099,长白山,旅游景点,0.2504,0.6423,-0.3281,0.2033,0.8485
量能,3,002226,江南化工,化工原料,-0.0684,-0.57,-0.0211,0.4478,-0.3592
量能,4,002696,百洋股份,饲料,-0.5128,-0.8269,-0.2262,-0.4518,-0.6848
估值因子,1,600050,中国联通,电信运营,0.3859,0.0002,0.9064,-0.1168,0.9933
估值因子,2,000915,华特达因,化学制药,0.3658,0.7278,0.676,0.0669,-0.2603
估值因子,3,000933,神火股份,铝,0.1316,0.8327,0.2628,-0.1136,-0.8086
估值因子,4,002393,力生制药,化学制药,-0.0003,0.0894,-0.1109,0.1319,-0.1931
估值因子,5,002612,朗姿股份,服饰,-0.0551,-0.4488,0.0548,0.1366,-0.0022
估值因子,6,000656,金科股份,全国地产,-0.1806,-1.082,-0.8699,0.8981,0.543
估值因子,7,000726,鲁泰A,纺织,-0.2145,-0.2287,-0.1901,-0.1188,-0.4311
估值因子,8,002170,芭田股份,农药化肥,-0.4329,0.1093,-0.7292,-0.8844,0.1591
23M减,1,002268,电科网安,IT设备,0.3669,0.3464,0.8046,0.1413,-0.0234
23M减,2,000028,国药一致,医药商业,0.2741,0.3283,0.5035,0.2078,-0.1423
23M减,3,601168,西部矿业,铜,0.2593,-0.2804,0.7081,0.4283,-0.0767
23M减,4,002640,跨境通,互联网,-0.0437,0.4974,-0.2477,-0.9852,1.3453
23M减,5,000063,中兴通讯,通信设备,-0.1256,-0.3602,-0.0762,0.3532,-0.7911
23M减,6,002173,创新医疗,医疗保健,-0.334,-0.0501,-1.101,-0.4602,0.9791
23M减,7,000938,紫光股份,IT设备,-0.3969,-0.4814,-0.5912,0.3149,-1.291
