排名,股票代码,股票名称,综合评分,当前价格,ROC_20,RSI_14,MACD_Hist,成交量比率,均线趋势,波动率,交易日
1,688690,纳微科技,81.15471546868127,31.94,20.21076401957096,69.34594334977368,1.1012662778168818,3.582726044450903,22.024832855778417,4.222092585647554,2026-04-14
2,002916,深南电路,79.53495770214839,285.77,11.628906249999993,66.75721085068811,8.73122090624552,1.3114144945137296,18.779329063257236,4.991925143146153,2026-04-14
3,300476,胜宏科技,79.39000051506368,308.01,7.249556043037697,66.27147796396609,6.710585133213503,1.725404272477775,13.481370132525683,4.6807601950894915,2026-04-14
4,300408,三环集团,76.59508280664834,64.61,17.34471485652016,65.4173280441651,1.7459707033924912,1.853332898202351,15.248432524994909,4.636870507931573,2026-04-14
5,300308,中际旭创,75.96908456767827,773.0,37.61794552252091,75.22578059616339,17.79522832189247,0.9815960936838053,23.198736455908588,4.632598178155997,2026-04-14
6,002222,福晶科技,75.96339773579464,85.52,32.7950310559006,68.9765667556058,2.900808562639834,0.9562672986552193,20.97721067745537,5.353457412510401,2026-04-14
7,688123,聚辰股份,75.41489421696211,127.8,-2.7323236167135945,57.058375296856376,3.2680143035661704,2.1338633541376666,12.509408797390561,4.984931208355213,2026-04-14
8,600176,中国巨石,75.38761219368827,32.47,31.404289761230263,73.46584261855607,1.2101499301308603,1.9514660683293015,25.15900242840077,4.907949189885039,2026-04-14
9,603283,赛腾股份,75.37454578271397,51.05,6.709866220735772,64.21219528347002,1.2609728923822863,2.440643917562697,14.892084711813286,4.489783270402612,2026-04-14
10,002938,鹏鼎控股,73.69768171995906,60.33,12.033426183843998,63.60949658110818,1.3240950999531784,1.7190086700071459,14.177028331346134,4.753843918710583,2026-04-14
11,688008,688008,73.67638987373975,153.36,0.5639344262295065,56.15783243174066,3.7062898446199366,1.7759710324216567,10.242503315685601,4.492617773502136,2026-04-14
12,002432,002432,73.44485644113955,77.8,43.11994113318616,58.76736854546027,0.179142797593574,1.3804038337014082,6.131190701925466,7.297216014450991,2026-04-14
13,688256,688256,73.27179585909269,1241.98,13.946255401524809,68.51015384787867,37.74976122355177,0.9863625991593131,15.438792985260841,4.403256261675114,2026-04-14
14,002415,002415,71.63536568937272,33.48,5.415617128463457,68.5427018664913,0.334846861003292,3.147752607900102,7.973877287752952,2.29843430816052,2026-04-14
15,688012,688012,71.36106056433026,324.5,1.162826947657214,52.15000455382025,5.18743713076314,1.4404803317972712,4.584642655708653,4.414057031715289,2026-04-14
16,000612,000612,70.94341716214474,13.56,0.2958579881656931,59.36254228277578,0.4818183290464413,2.3900195936758606,12.741633755975945,4.774179101777656,2026-04-14
17,603005,603005,70.03932093930258,30.3,-1.1419249592169556,56.28038230701039,0.7007542571382459,2.5651924177966072,9.317218363849578,4.027133947304792,2026-04-14
18,300502,300502,70.0308368896662,520.0,25.83791109067588,66.26935985703476,2.505264319467919,0.9749756433017234,11.626788711955681,5.1822216869115385,2026-04-14
19,002192,002192,68.46051260939011,79.5,37.258287292817684,70.46132862455153,0.72134641335529,1.058418635802874,16.69467828231306,5.840341522066366,2026-04-14
20,002475,002475,68.15482523071253,59.14,20.056841250507507,71.49436798949044,1.3117355835877844,1.4393383644482638,16.117884981641836,4.059810359461936,2026-04-14
21,002901,002901,67.78138086434474,44.66,-0.8216744392627207,51.41157932992564,0.36847810597539965,2.5337952774341477,3.340159429847414,2.9232656040400333,2026-04-14
22,002821,002821,67.59145917539337,121.33,22.456600726685515,68.41546317875145,1.4878032441262814,0.9473532717737025,11.565251373531629,3.9161935918784265,2026-04-14
23,300841,300841,66.83888043738015,61.17,-1.3068731848983495,53.21925266145543,1.025694465591124,1.875583043066873,6.59394277349876,3.586350156789242,2026-04-14
24,002236,002236,66.73148810437229,18.24,1.672240802675562,59.76407420717658,0.2656796226401298,1.9574231197241252,6.3277857122037275,2.3489260475740763,2026-04-14
25,603019,603019,65.95475778782573,88.85,0.8169749234085977,59.17347817789209,1.5407047509109235,1.3529635610261133,7.680654446296005,3.5039792167594097,2026-04-14
26,301371,301371,65.39882791295284,24.02,-0.4145936981757914,56.594135217344565,0.23886620397480274,1.6991431060013267,4.861065636391394,2.554851998381605,2026-04-14
27,601811,601811,65.31358088797701,14.27,4.236669101533974,52.22628056684232,0.18398505743484464,1.8006260229830635,2.720990498128407,3.6915227883020485,2026-04-14
28,002158,002158,65.2216185175804,25.0,3.993344425956735,57.95114944441845,0.551978548143716,1.3843231446988409,8.431644691186655,3.4844173313781006,2026-04-14
29,605118,605118,64.8313700664959,43.77,3.843416370106767,57.61134551556758,0.8884057976244764,1.44345404649475,7.20321340223863,4.599342931249158,2026-04-14
30,002709,002709,64.27820996317973,49.35,3.1347962382445083,63.3967226646599,0.3230483563864096,1.2886212874272729,9.881546134663296,5.027810843130327,2026-04-14
31,002463,002463,64.01363004987388,97.54,16.18820726622989,71.38694380053559,1.245976747147678,1.0915609634839814,17.530108505087895,4.817152627396797,2026-04-14
32,688543,688543,63.74868726479998,72.5,4.406682027649778,60.534291484175064,1.5234315786318637,1.0595629642425592,7.77784384848665,4.073743887882342,2026-04-14
33,605117,605117,63.742011752591445,144.5,11.153846153846159,68.95584480067262,0.5613916030230346,1.1718442320180484,10.069660002818377,6.006095601330734,2026-04-14
34,300017,300017,63.557046866228156,18.67,7.237219988512367,51.779187842926376,0.3437938805329249,1.3973463702483477,6.548723070338119,6.514956085536397,2026-04-14
35,002648,002648,63.424038205817254,29.98,10.995927434283592,65.47880710198041,0.28257168379715614,1.0903856889358245,9.545994336347903,5.039262536385205,2026-04-14
36,603259,603259,63.34875444063865,106.55,16.959385290889138,64.63553193148417,1.3063198202768806,0.7498707783202243,8.328207526548296,2.9495572192749377,2026-04-14
37,300498,300498,63.22771772698243,17.23,-1.8233618233618243,61.8441817636936,-0.042712648478159726,1.7238961842234037,2.3858335561696498,3.069072025232635,2026-04-14
