涨跌排名,对比锚定日,申万一级,指数代码,涨跌幅_pct,指数行情日,触发家数
1,2026-05-06,综合,801230.SI,4.03,2026-04-30,0
2,2026-05-06,电子,801080.SI,2.21,2026-04-30,0
3,2026-05-06,国防军工,801740.SI,1.97,2026-04-30,0
4,2026-05-06,房地产,801180.SI,1.62,2026-04-30,0
5,2026-05-06,农林牧渔,801010.SI,0.88,2026-04-30,0
6,2026-05-06,机械设备,801890.SI,0.83,2026-04-30,0
7,2026-05-06,计算机,801750.SI,0.57,2026-04-30,0
8,2026-05-06,纺织服饰,801130.SI,0.43,2026-04-30,0
9,2026-05-06,轻工制造,801140.SI,0.42,2026-04-30,0
10,2026-05-06,社会服务,801210.SI,0.28,2026-04-30,0
11,2026-05-06,石油石化,801960.SI,0.23,2026-04-30,0
12,2026-05-06,家用电器,801110.SI,0.22,2026-04-30,0
13,2026-05-06,汽车,801880.SI,0.15,2026-04-30,0
14,2026-05-06,环保,801970.SI,0.1,2026-04-30,0
15,2026-05-06,非银金融,801790.SI,0.06,2026-04-30,0
16,2026-05-06,商贸零售,801200.SI,-0.18,2026-04-30,0
17,2026-05-06,通信,801770.SI,-0.2,2026-04-30,0
18,2026-05-06,煤炭,801950.SI,-0.21,2026-04-30,0
19,2026-05-06,医药生物,801150.SI,-0.28,2026-04-30,0
20,2026-05-06,交通运输,801170.SI,-0.35,2026-04-30,0
21,2026-05-06,电力设备,801730.SI,-0.44,2026-04-30,0
22,2026-05-06,食品饮料,801120.SI,-0.48,2026-04-30,0
23,2026-05-06,建筑装饰,801720.SI,-0.52,2026-04-30,0
24,2026-05-06,有色金属,801050.SI,-0.53,2026-04-30,0
25,2026-05-06,基础化工,801030.SI,-0.62,2026-04-30,0
26,2026-05-06,银行,801780.SI,-0.69,2026-04-30,0
27,2026-05-06,公用事业,801160.SI,-0.99,2026-04-30,0
28,2026-05-06,美容护理,801980.SI,-1.03,2026-04-30,0
29,2026-05-06,建筑材料,801710.SI,-1.25,2026-04-30,0
30,2026-05-06,钢铁,801040.SI,-1.44,2026-04-30,0
31,2026-05-06,传媒,801760.SI,-1.57,2026-04-30,0
