date,variant,symbol,name,weight,state,state_code,upside,fair_price,close,side
2025-06-06,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.19772032224612324,51.71494802801489,32.55,long
2025-06-06,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-06-06,A,000905.SH,中证500,-1.0,,,,,5762.0778,short_index
2025-06-13,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.25804442577543396,50.63846794082663,32.55,long
2025-06-13,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-06-13,A,000905.SH,中证500,-1.0,,,,,5740.2397,short_index
2025-06-20,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.1615395700732556,49.54462680437133,32.55,long
2025-06-20,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-06-20,A,000905.SH,中证500,-1.0,,,,,5639.513,short_index
2025-06-27,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.1377989476757019,51.55962292899302,32.55,long
2025-06-27,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-06-27,A,000905.SH,中证500,-1.0,,,,,5863.7282,short_index
2025-07-04,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.1558872400423792,51.73567105780258,32.55,long
2025-07-04,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-07-04,A,000905.SH,中证500,-1.0,,,,,5911.4352,short_index
2025-07-11,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.0802305129483677,52.22451147479168,32.55,long
2025-07-11,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-07-11,A,000905.SH,中证500,-1.0,,,,,6027.0789,short_index
2025-07-18,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.03298433105457399,52.74103458428353,32.55,long
2025-07-18,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-07-18,A,000905.SH,中证500,-1.0,,,,,6099.6104,short_index
2025-07-25,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.014852084131561583,55.05006553872834,32.55,long
2025-07-25,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-07-25,A,000905.SH,中证500,-1.0,,,,,6299.5908,short_index
2025-08-01,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.007802947381372882,54.52122804139356,32.55,long
2025-08-01,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
2025-08-01,A,000905.SH,中证500,-1.0,,,,,6213.2014,short_index
2025-08-08,A,002891,中宠股份,0.5,缩量回踩确认,confirming,-0.01721446807018079,58.56418984769793,32.55,long
2025-08-08,A,003032,传智教育,0.5,缩量回踩确认,confirming,,,8.01,long
