date,variant,equity,day_return,long_ret,short_ret,equity_long,equity_short,n_long,n_short,position_scale
2025-06-03,A,1000000.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0,
2025-06-04,A,1000000.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0,
2025-06-05,A,1000000.0,0.0,0.0,0.0,1000000.0,1000000.0,0,0,
2025-06-06,A,998800.0,0.0,0.0,0.0,999400.0,999400.0,10,10,
2025-06-09,A,977753.044487777,-0.021072242202866454,0.006277217501144173,-0.027349459704010627,1005673.4511706434,972066.9499718118,10,10,
2025-06-10,A,974369.0796064058,-0.0034609607205508997,-0.0058172770365307,0.0023563163159798007,999823.1700968998,974357.4471862552,10,10,
2025-06-11,A,978094.297381903,0.0038232101710391955,0.003688960024254862,0.00013425014678433364,1003511.4778027111,974488.2548165603,10,10,
2025-06-12,A,954882.9749719837,-0.02373117037084243,-0.0010577797222117934,-0.022673390648630637,1002449.9837104846,952393.3019326022,10,10,
2025-06-13,A,953737.1154020174,0.0,0.0,0.0,1001848.5137202583,951821.8659514426,10,10,
2025-06-16,A,957596.5453688708,0.004046639167677413,-0.0016836451539296803,0.005730284321607093,1000161.7563251614,957276.0758668671,10,10,
2025-06-17,A,957392.5592763703,-0.00021301882665204427,-8.590114017036337e-05,-0.0001271176864816809,1000075.8412899383,957154.3891467786,10,10,
2025-06-18,A,975640.6206666221,0.019060166295886315,-0.007306718615516562,0.026366884911402877,992768.5685234567,982391.5687678559,10,10,
2025-06-19,A,978847.2725743444,0.0032867142263218393,-0.022157374248298157,0.025444088474619996,970771.4238087353,1007387.6267603061,10,10,
2025-06-20,A,977672.6558472553,0.0,0.0,0.0,970188.9609544501,1006783.1941842498,10,10,
2025-06-23,A,974491.3895501196,-0.003253917636040238,0.013090580740338887,-0.016344498376379125,982889.2978812099,990327.8279015396,10,10,
2025-06-24,A,998138.0523176307,0.024265645670227667,0.022106597059581547,0.002159048610646119,1004617.6355436448,992465.9938224547,10,10,
2025-06-25,A,1008226.5843910411,0.010107351432985856,0.006616147980127884,0.003491203452857972,1011264.3344838477,995930.8945269318,10,10,
2025-06-26,A,1009879.7455662431,0.0016396722728754811,0.0009489398542521291,0.000690732418623352,1012223.9635140232,996618.8162824902,10,10,
2025-06-27,A,1008667.8898715636,0.0,0.0,0.0,1011616.6291359147,996020.8449927206,10,10,
2025-06-30,A,991783.588102621,-0.016739208156108343,0.00013440328925307088,-0.016873611445361415,1011752.5937383336,979214.376262833,10,10,
2025-07-01,A,970252.5953654146,-0.021709365828887387,0.010799260221530538,-0.032508626050417926,1022678.7732779223,947381.4622817113,10,10,
2025-07-02,A,989102.2260694548,0.01942754989172795,-0.00034638854700804736,0.019773938438735997,1022324.5290635906,966114.9249948696,10,10,
2025-07-03,A,986363.9052524654,-0.0027684912083063,0.002917580282150234,-0.005686071490456534,1025307.2429515449,960621.5264633518,10,10,
2025-07-04,A,985180.2685661624,0.0,0.0,0.0,1024692.058605774,960045.1535474737,10,10,
2025-07-07,A,980344.4927397462,-0.004908518756119851,0.0045715470950125296,-0.009480065851132381,1029376.4866095756,950943.8622717832,10,10,
2025-07-08,A,981464.4850580576,0.0011424477075209771,0.004232406824754098,-0.0030899591172331205,1033733.2266767434,948005.4846145796,10,10,
2025-07-09,A,972609.4070085236,-0.009022311234226865,-0.009501961973606688,0.000479650739379822,1023910.7328660073,948460.1961462111,10,10,
2025-07-10,A,989452.436312025,0.017317362121044944,0.009076418192058778,0.008240943928986166,1033204.1748688365,956276.4034415272,10,10,
2025-07-11,A,988265.0933884506,0.0,0.0,0.0,1032584.2523639152,955702.6375994622,10,10,
2025-07-14,A,994176.2739347793,0.005981371380892598,0.009910951930980107,-0.003929580550087509,1042818.145253781,951947.127103084,10,10,
2025-07-15,A,1008382.1821460199,0.01428912415603718,-0.015882429869830527,0.030171554025867707,1026255.659194801,980668.8512782443,10,10,
2025-07-16,A,1008638.4646972883,0.00025415220122502157,0.004671266265056496,-0.004417114063831475,1031049.5726349211,976337.1251033017,10,10,
2025-07-17,A,1013068.5832876132,0.004392176925013947,0.00531375048615409,-0.0009215735611401436,1036528.3128027588,975437.3586220469,10,10,
2025-07-18,A,1011852.9009876681,0.0,0.0,0.0,1035906.3958150771,974852.0962068737,10,10,
2025-07-21,A,1006284.02275289,-0.0055036440863512025,0.012798290526878042,-0.018301934613229244,1049164.2268273695,957010.4168845259,10,10,
2025-07-22,A,1020362.9406915006,0.013990998187663507,0.00979389032827469,0.004197107859388817,1059439.6262012657,961027.0928267488,10,10,
2025-07-23,A,1022065.4330825718,0.0016685164887677451,-0.006800804421842511,0.008469320910610256,1052234.584506721,969166.3396796895,10,10,
2025-07-24,A,1031983.8303484234,0.009704268381269312,0.0231346781739198,-0.01343040979265049,1076577.6929827523,956150.0385805481,10,10,
2025-07-25,A,1030745.4497520054,0.0,0.0,0.0,1075931.7463669626,955576.3485573998,10,10,
2025-07-28,A,1030223.9426463966,-0.0005059514021957033,-0.0012603240536014915,0.0007543726514057881,1074575.7237069828,956297.2092210818,10,10,
2025-07-29,A,1015725.7363116649,-0.01407286875656304,-0.007985560027085902,-0.006087308729477138,1065994.6347616713,950475.9328714156,10,10,
2025-07-30,A,1004385.3736077957,-0.01116478818883605,-0.0013017065963874756,-0.009863081592448574,1064607.0225138883,941101.3111938463,10,10,
2025-07-31,A,990403.9466963953,-0.013920380840651381,-0.02317650322603255,0.00925612238538117,1039933.1544221382,949812.2601072992,10,10,
2025-08-01,A,989215.4619603596,0.0,0.0,0.0,1039309.194529485,949242.3727512348,10,10,
2025-08-04,A,992846.8142670807,0.003670941717312937,0.00906501848188589,-0.005394076764572953,1048730.5515862887,944122.0865244293,10,10,
2025-08-05,A,1005739.2481360765,0.012985320276736692,0.011953789351631074,0.0010315309251056179,1061266.855686571,945095.9776537545,10,10,
2025-08-06,A,1015480.0437561421,0.00968520979778611,0.010497067683400441,-0.0008118578856143311,1072407.0457008625,944328.6940316339,10,10,
2025-08-07,A,1004512.3198030156,-0.010800531256683612,0.00919945807607161,-0.019999989332755222,1082272.6093582716,925442.1302243865,10,10,
2025-08-08,A,1003306.905019252,0.0,0.0,0.0,1081623.2457926567,924886.8649462517,10,10,
2025-08-11,A,1005865.448539888,0.0025501105472676266,0.004066443505080331,-0.0015163329578127046,1086021.605615454,923484.4285106857,10,10,
2025-08-12,A,989210.717836022,-0.016557612877589105,-0.002204566762953986,-0.014353046114635119,1083627.3984798642,910229.6139221243,10,10,
2025-08-13,A,1001430.2313196593,0.012352791233771145,0.012989328015236702,-0.0006365367814655575,1097702.9902050167,909650.2192932836,10,10,
2025-08-14,A,992600.4886083403,-0.008817132172735906,-0.02305417213759061,0.014237039964854705,1072396.3565128823,922600.9458194011,10,10,
2025-08-15,A,991409.3680220103,0.0,0.0,0.0,1071752.9186989744,922047.3852519094,10,10,
2025-08-18,A,996698.0650400609,0.00533452395008357,0.003361658241720478,0.0019728657083630924,1075355.7857312066,923866.4609197588,10,10,
2025-08-19,A,995935.0206209145,-0.0007655722890519867,0.002930673916870052,-0.003696246205922039,1078507.3028838043,920451.6230188055,10,10,
2025-08-20,A,983341.4138332378,-0.012645008486422405,0.001930055767137084,-0.01457506425355949,1080588.8821236347,907035.9814710133,10,10,
2025-08-21,A,969403.3678999319,-0.014174167524352476,-0.0063223125032094265,-0.00785185502114305,1073757.0615233553,899914.0664455427,10,10,
2025-08-22,A,968240.0838584519,0.0,0.0,0.0,1073112.8072864413,899374.1180056754,10,10,
2025-08-25,A,965419.1961980987,-0.0029134175576702066,0.020855913761905542,-0.02376933131957575,1095493.5554520036,877996.5966145473,10,10,
