trade_date,total_score,position_pct,position_label,risk_penalty,risk_signal_count,factor_scores,calibration_loaded,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d
20241101,20.1,100.0,满仓 100%,30.0,4,"{'站上20日线': 0.0, '站上60日线': 20.0, '资金活跃度': 15.6, '市场广度': 4.5, '热点持续性': 10.0}",True,5.509844669989494,1.794371797041694,1.6638528035727962
20241104,77.4,20.0,轻仓 20%,0.0,1,"{'站上20日线': 16.0, '站上60日线': 20.0, '资金活跃度': 13.2, '市场广度': 18.2, '热点持续性': 10.0}",True,4.829259630635829,0.4121010914362122,1.6245236854055545
20241105,81.0,20.0,轻仓 20%,0.0,1,"{'站上20日线': 20.0, '站上60日线': 20.0, '资金活跃度': 12.2, '市场广度': 18.8, '热点持续性': 10.0}",True,1.032870838679667,-1.2098393412740993,-0.24153031120373036
20241106,76.6,20.0,轻仓 20%,0.0,1,"{'站上20日线': 20.0, '站上60日线': 20.0, '资金活跃度': 13.6, '市场广度': 13.0, '热点持续性': 10.0}",True,1.6393255618480707,-0.4674292517106826,-0.566119891854322
20241107,83.0,20.0,轻仓 20%,0.0,1,"{'站上20日线': 20.0, '站上60日线': 20.0, '资金活跃度': 13.6, '市场广度': 19.4, '热点持续性': 10.0}",True,-2.6168502949971195,-2.8887005353937067,-2.93332027914337
20241108,75.4,20.0,轻仓 20%,0.0,1,"{'站上20日线': 20.0, '站上60日线': 20.0, '资金活跃度': 14.6, '市场广度': 10.8, '热点持续性': 10.0}",True,-3.521446633315539,-5.361806780766343,-1.3967714424114819
20241111,69.9,40.0,中仓 40%,10.0,2,"{'站上20日线': 20.0, '站上60日线': 20.0, '资金活跃度': 11.8, '市场广度': 18.1, '热点持续性': 10.0}",True,-4.213669499110651,-5.945305300703674,-1.9461130087537026
20241112,57.4,0.0,空仓,10.0,2,"{'站上20日线': 20.0, '站上60日线': 20.0, '资金活跃度': 10.8, '市场广度': 6.6, '热点持续性': 10.0}",True,-2.219782691847605,-4.740336568107361,0.02018135693235834
20241113,72.8,40.0,中仓 40%,0.0,0,"{'站上20日线': 20.0, '站上60日线': 20.0, '资金活跃度': 11.7, '市场广度': 11.1, '热点持续性': 10.0}",True,-2.0727752785773657,-3.765293399678271,-0.19735538664540364
20241114,42.6,70.0,重仓 70%,20.0,3,"{'站上20日线': 20.0, '站上60日线': 20.0, '资金活跃度': 9.8, '市场广度': 2.8, '热点持续性': 10.0}",True,-0.27915531713658126,-2.4894855195613075,2.416118117345767
20241115,44.5,70.0,重仓 70%,0.0,1,"{'站上20日线': 0.0, '站上60日线': 20.0, '资金活跃度': 10.1, '市场广度': 4.4, '热点持续性': 10.0}",True,-1.9075329005568409,-0.12821828079958575,1.83599294844492
20241118,35.6,100.0,满仓 100%,10.0,2,"{'站上20日线': 0.0, '站上60日线': 20.0, '资金活跃度': 10.1, '市场广度': 5.5, '热点持续性': 10.0}",True,-1.8078109815230392,1.2074466929691274,1.8798268970494192
20241119,59.6,0.0,空仓,0.0,0,"{'站上20日线': 4.0, '站上60日线': 20.0, '资金活跃度': 7.4, '市场广度': 18.2, '热点持续性': 10.0}",True,-2.5777748768099795,0.9801674818764816,0.46249715108426237
20241120,73.9,40.0,中仓 40%,0.0,0,"{'站上20日线': 16.0, '站上60日线': 20.0, '资金活跃度': 9.7, '市场广度': 18.2, '热点持续性': 10.0}",True,-1.7283427830367626,-0.09915411548367947,0.4221747379066665
20241121,65.5,0.0,空仓,0.0,0,"{'站上20日线': 16.0, '站上60日线': 20.0, '资金活跃度': 8.6, '市场广度': 10.9, '热点持续性': 10.0}",True,-2.2165177295219607,-0.045947015430392035,-0.011001648793473873
20241122,39.5,70.0,重仓 70%,0.0,1,"{'站上20日线': 0.0, '站上60日线': 20.0, '资金活跃度': 7.9, '市场广度': 1.6, '热点持续性': 10.0}",True,1.8139156577165583,4.1896777648424255,3.0875966992569337
20241125,52.2,70.0,重仓 70%,0.0,0,"{'站上20日线': 0.0, '站上60日线': 20.0, '资金活跃度': 6.2, '市场广度': 16.0, '热点持续性': 10.0}",True,3.07077141739327,4.251985830942151,2.680877516809832
20241126,36.0,100.0,满仓 100%,10.0,2,"{'站上20日线': 0.0, '站上60日线': 20.0, '资金活跃度': 9.3, '市场广度': 6.7, '热点持续性': 10.0}",True,3.652084885340545,4.9974120771939745,4.103707478581531
20241127,56.9,70.0,重仓 70%,0.0,1,"{'站上20日线': 0.0, '站上60日线': 20.0, '资金活跃度': 8.1, '市场广度': 18.8, '热点持续性': 10.0}",True,1.6578418576540077,3.707537684768014,2.5249783301235063
