## 一、新闻涉及个股整理（按题材分类）,,,,,,,,,## 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理
,,,,,,,,,,,,,,,,,,,,,,,,
| 题材              | 股票名称                               | 股票代码             |,,,,,,,,,---,,,,,---,,,,,---,,,,,---
| --------------- | ---------------------------------- | ---------------- |,,,,,,,,,,,,,,,,,,,,,,,,
| **低空经济/EVTOL**  | 宗申动力                               | **001696**       |,,,,,,,,,### ① 贵金属（黄金）,,,,,## ① 稀土永磁（今日最强主线）,,,,,# ① 玻纤概念（今日最强方向之一）,,,,,# ① 燃气轮机（军工+能源装备）
|                 | 中信海直                               | **000099**       |,,,,,,,,,,,,,,,,,,,,,,,,
|                 | 万丰奥威                               | **002085**       |,,,,,,,,,| 股票   | 代码              |,,,,,| 股票   | 代码                       |,,,,,| 股票   | 代码         |,,,,,| 股票   | 代码         |
|                 | 创远信科                               | **831961（北交所）**  |,,,,,,,,,| ---- | --------------- |,,,,,| ---- | ------------------------ |,,,,,| ---- | ---------- |,,,,,| ---- | ---------- |
|                 | 索辰科技                               | **688507**       |,,,,,,,,,| 赤峰黄金 | **600988**      |,,,,,| 盛和资源 | **600392**               |,,,,,| 山东玻纤 | **605006** |,,,,,| 应流股份 | **603308** |
| **航空航天/军工**     | 晨曦航空                               | **300581**       |,,,,,,,,,| 招金黄金 | **1818.HK**（港股） |,,,,,| 中科三环 | **000970**               |,,,,,| 中国巨石 | **600176** |,,,,,| 杰瑞股份 | **002353** |
|                 | 航天发展                               | **000547**       |,,,,,,,,,| 四川黄金 | **001337**      |,,,,,| 厦门钨业 | **600549**               |,,,,,| 中材科技 | **002080** |,,,,,| 博盈特焊 | **301468** |
|                 | 中航西飞                               | **000768**       |,,,,,,,,,| 湖南黄金 | **002155**      |,,,,,| 华宏科技 | **002645**               |,,,,,| 长海股份 | **300196** |,,,,,| 万泽股份 | **000534** |
|                 | 航发科技                               | **600391**       |,,,,,,,,,| 西部黄金 | **601069**      |,,,,,| 中稀有色 | **000831**               |,,,,,| 国际复材 | **301526** |,,,,,| 联德股份 | **605060** |
|                 | 超卓航科                               | **688237**       |,,,,,,,,,,,,,,| 中国稀土 | **000831（原五矿稀土，更名中国稀土）** |,,,,,| 宏和科技 | **603256** |,,,,,| 飞沃科技 | **301232** |
|                 | 中航高科                               | **600862**       |,,,,,,,,,**逻辑：**,,,,,| 北方稀土 | **600111**               |,,,,,,,,,,| 东方电气 | **600875** |
|                 | 海特高新                               | **002023**       |,,,,,,,,,,,,,,| 安泰科技 | **000969**               |,,,,,**特点：**,,,,,
| **钼资源/工业金属**    | 金钼股份                               | **601958**       |,,,,,,,,,* 美联储降息预期升温,,,,,,,,,,,,,,,**逻辑：**
|                 | 盛龙股份（若新闻指盛达资源则需确认，市场通常为盛达资源000603） | **待确认**          |,,,,,,,,,* 地缘局势变化,,,,,**逻辑：**,,,,,* 山东玻纤、中国巨石双双涨停，并创历史新高。,,,,,
|                 | 洛阳钼业                               | **603993**       |,,,,,,,,,* 黄金价格维持高位,,,,,,,,,,* 属于AI服务器、PCB上游材料方向继续强化。,,,,,* 国产燃气轮机国产替代
|                 | 永杉锂业                               | **603399**       |,,,,,,,,,,,,,,* 稀土价格上涨,,,,,,,,,,* 航空发动机产业链
|                 | 海亮股份                               | **002203**       |,,,,,,,,,---,,,,,* 小金属持续强势,,,,,---,,,,,* 电力装备升级
| **稀土永磁**        | 安泰科技                               | **000969**       |,,,,,,,,,,,,,,* 新能源汽车、电机需求提升,,,,,,,,,,
|                 | 杭华股份                               | **688571**       |,,,,,,,,,## ② 钛白粉,,,,,* 军工永磁材料需求增加,,,,,# ② PCB（AI服务器核心主线）,,,,,属于高端装备制造方向。
|                 | 中钢天源                               | **002057**       |,,,,,,,,,,,,,,,,,,,,,,,,
|                 | 金田股份                               | **601609**       |,,,,,,,,,| 股票   | 代码           |,,,,,今天已经成为整个市场最强方向。,,,,,| 股票   | 代码         |,,,,,---
|                 | 中航泰达                               | **836263（北交所）**  |,,,,,,,,,| ---- | ------------ |,,,,,,,,,,| ---- | ---------- |,,,,,
|                 | 大地熊                                | **688077**       |,,,,,,,,,| 金浦钛业 | **000545**   |,,,,,---,,,,,| 华正新材 | **603186** |,,,,,# ② PCB（CCL覆铜板产业链）
|                 | 争光股份                               | **301092**       |,,,,,,,,,| 安纳达  | **002136**   |,,,,,,,,,,| 生益科技 | **600183** |,,,,,
| **影视传媒**        | 博纳影业                               | **001330**       |,,,,,,,,,| 惠云钛业 | **300891**   |,,,,,# ② 元件（被动元件）,,,,,| 南亚新材 | **688519** |,,,,,| 股票   | 代码         |
|                 | 华智数媒                               | **待确认（可能北交所个股）** |,,,,,,,,,| 国城矿业 | **000688**   |,,,,,,,,,,| 宏和科技 | **603256** |,,,,,| ---- | ---------- |
|                 | 上海电影                               | **601595**       |,,,,,,,,,| 钒钛股份 | **000629**   |,,,,,| 股票   | 代码         |,,,,,| 山东玻纤 | **605006** |,,,,,| 世名科技 | **300522** |
|                 | 光线传媒                               | **300251**       |,,,,,,,,,| 安宁股份 | **002978**   |,,,,,| ---- | ---------- |,,,,,| 中材科技 | **002080** |,,,,,| 中京电子 | **002579** |
|                 | 北京文化                               | **000802**       |,,,,,,,,,| 钛能化学 | **待确认（北交所）** |,,,,,| 风华高科 | **000636** |,,,,,| 中国巨石 | **600176** |,,,,,| 亨通股份 | **600226** |
| **电网设备/数据中心电力** | 华明装备                               | **002270**       |,,,,,,,,,,,,,,| 兴森科技 | **002436** |,,,,,| 深南电路 | **002916** |,,,,,| 贤丰控股 | **002141** |
|                 | 泰永长征                               | **002927**       |,,,,,,,,,逻辑：,,,,,| 江海股份 | **002484** |,,,,,,,,,,| 合锻智能 | **603011** |
|                 | 科林电气                               | **603050**       |,,,,,,,,,,,,,,| 本川智能 | **300964** |,,,,,其中：,,,,,| 铜冠铜箔 | **301217** |
|                 | 中熔电气                               | **301031**       |,,,,,,,,,钛精矿涨价→钛白粉涨价→化工涨价链。,,,,,,,,,,,,,,,| 金安国纪 | **002636** |
|                 | 三星电气                               | **601567**       |,,,,,,,,,,,,,,主要受AI服务器需求刺激。,,,,,* 华正新材3连板创新高,,,,,| 鼎泰高科 | **301377** |
|                 | 安靠智电                               | **300617**       |,,,,,,,,,---,,,,,,,,,,* 深南电路涨停创历史新高，总市值突破3000亿元,,,,,
| **先进封装/半导体**    | 蓝箭电子                               | **301348**       |,,,,,,,,,,,,,,---,,,,,,,,,,PCB主线继续强化，资金继续围绕CCL（覆铜板）产业链炒作。
|                 | 联瑞新材                               | **688300**       |,,,,,,,,,## ③ MLCC（电子元件）,,,,,,,,,,PCB已经成为AI产业链核心方向。,,,,,
|                 | 光力科技                               | **300480**       |,,,,,,,,,,,,,,# ③ PCB,,,,,,,,,,---
|                 | 正业科技                               | **300410**       |,,,,,,,,,| 股票   | 代码         |,,,,,,,,,,---,,,,,
|                 | 太极实业                               | **600667**       |,,,,,,,,,| ---- | ---------- |,,,,,| 股票   | 代码                     |,,,,,,,,,,# ③ 稀有金属（锆+稀土）
|                 | 华正新材                               | **603186**       |,,,,,,,,,| 双星新材 | **002585** |,,,,,| ---- | ---------------------- |,,,,,# ③ 光纤通信,,,,,
|                 | 大港股份                               | **002077**       |,,,,,,,,,| 宏达电子 | **300726** |,,,,,| 宝鼎科技 | **002552**             |,,,,,,,,,,| 股票   | 代码           |
,,,,,,,,,| 振华科技 | **000733** |,,,,,| 国际复材 | **301526**             |,,,,,| 股票   | 代码         |,,,,,| ---- | ------------ |
---,,,,,,,,,| 达利凯普 | **301566** |,,,,,| 泰金新能 | **（北交所）920098左右，待确认）** |,,,,,| ---- | ---------- |,,,,,| 东方锆业 | **002167**   |
,,,,,,,,,| 洁美科技 | **002859** |,,,,,| 逸豪新材 | **301176**             |,,,,,| 通鼎互联 | **002491** |,,,,,| 中稀有色 | **000831**   |
# 二、今日盘面分析,,,,,,,,,| 三环集团 | **300408** |,,,,,| 生益科技 | **600183**             |,,,,,| 杭电股份 | **603618** |,,,,,| 三祥新材 | **603663**   |
,,,,,,,,,| 利和兴  | **301013** |,,,,,| 中材科技 | **002080**             |,,,,,| 永鼎股份 | **600105** |,,,,,| 盛和资源 | **600392**   |
从今天的热点来看，市场呈现出**"科技+军工+资源"三条主线共振**。,,,,,,,,,,,,,,,,,,,| 中天科技 | **600522** |,,,,,| 天和磁材 | **603072**   |
,,,,,,,,,逻辑：,,,,,PCB板块继续延续昨日强势。,,,,,| 烽火通信 | **600498** |,,,,,| 爱迪特  | **301580**   |
## ① 最强主线：军工+低空经济+SpaceX,,,,,,,,,,,,,,,,,,,,,,,,| 长裕集团 | **待确认（北交所）** |
,,,,,,,,,消费电子+AI服务器被动元件需求提升。,,,,,---,,,,,属于AI算力网络建设方向。,,,,,| 国瓷材料 | **300285**   |
强度：★★★★★,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,---,,,,,# ④ MLCC,,,,,---,,,,,今天锆概念全面爆发。
催化：,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,## ④ 整车,,,,,| 股票   | 代码         |,,,,,# ④ 面板,,,,,---
* SpaceX上市预期,,,,,,,,,,,,,,| ---- | ---------- |,,,,,,,,,,
* 军工景气度提升,,,,,,,,,| 股票   | 代码         |,,,,,| 双星新材 | **002585** |,,,,,| 股票   | 代码         |,,,,,# ④ 机器人
* 低空经济政策持续推进,,,,,,,,,| ---- | ---------- |,,,,,| 宏达电子 | **300726** |,,,,,| ---- | ---------- |,,,,,
,,,,,,,,,| 众泰汽车 | **000980** |,,,,,| 振华科技 | **000733** |,,,,,| 深天马A | **000050** |,,,,,| 股票   | 代码         |
表现：,,,,,,,,,| 汉马科技 | **600375** |,,,,,| 火炬电子 | **603678** |,,,,,| 长信科技 | **300088** |,,,,,| ---- | ---------- |
