# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理,,,,,# 一、今日热点板块及股票代码整理
,,,,,,,,,,,,,,,,,,,,
---,,,,,---,,,,,---,,,,,---,,,,,---
,,,,,,,,,,,,,,,,,,,,
# ① 光纤通信（今日最强方向之一）,,,,,# ① 光纤通信（今日绝对核心主线）,,,,,# ① 创新药（今日最强主线）,,,,,# ① 算力租赁（今日最强方向之一）,,,,,# ① PCB（CCL/玻纤，今日最强主线）
,,,,,,,,,,,,,,,,,,,,
| 股票   | 代码         |,,,,,| 股票   | 代码         |,,,,,| 股票   | 代码         |,,,,,| 股票   | 代码         |,,,,,| 股票   | 代码         |
| ---- | ---------- |,,,,,| ---- | ---------- |,,,,,| ---- | ---------- |,,,,,| ---- | ---------- |,,,,,| ---- | ---------- |
| 特发信息 | **000070** |,,,,,| 长飞光纤 | **601869** |,,,,,| 海欣股份 | **600851** |,,,,,| 航锦科技 | **000818** |,,,,,| 中材科技 | **002080** |
| 亨通光电 | **600487** |,,,,,| 特发信息 | **000070** |,,,,,| 海南海药 | **000566** |,,,,,| 神州数码 | **000034** |,,,,,| 超声电子 | **000823** |
| 通鼎互联 | **002491** |,,,,,| 三孚股份 | **603938** |,,,,,| 迦南科技 | **300412** |,,,,,| 中创环保 | **300056** |,,,,,| 贤丰控股 | **002141** |
| 长飞光纤 | **601869** |,,,,,| 长江通信 | **600345** |,,,,,| 景峰医药 | **000908** |,,,,,| 盈峰环境 | **000967** |,,,,,| 国际复材 | **301526** |
| 永鼎股份 | **600105** |,,,,,| 烽火通信 | **600498** |,,,,,| 新华制药 | **000756** |,,,,,| 平治信息 | **300571** |,,,,,| 中国巨石 | **600176** |
,,,,,| 长盈通  | **688143** |,,,,,| 乐普医疗 | **300003** |,,,,,| 群兴玩具 | **002575** |,,,,,| 广合科技 | **001389** |
### 特点,,,,,| 亨通光电 | **600487** |,,,,,| 博瑞医药 | **688166** |,,,,,| 宏景科技 | **301396** |,,,,,| 宏和科技 | **603256** |
,,,,,| 中天科技 | **600522** |,,,,,,,,,,,,,,,
* 特发信息涨停并创历史新高,,,,,| 通鼎互联 | **002491** |,,,,,### 龙头表现,,,,,### 龙头表现,,,,,### 龙头表现
* 长飞光纤A/H股同步大涨,,,,,,,,,,,,,,,,,,,,
* AI算力网络建设继续强化,,,,,### 龙头表现,,,,,* 海欣股份4连板,,,,,* 航锦科技2连板,,,,,* **中材科技13天7板，续创历史新高**
,,,,,,,,,,* 海南海药2连板,,,,,* 神州数码涨停,,,,,* 超声电子涨停
---,,,,,* 长飞光纤涨停历史新高,,,,,* 创新药ETF开盘大涨4.5%,,,,,,,,,,* 贤丰控股涨停
,,,,,* 特发信息历史新高,,,,,,,,,,AI基础设施继续强化。,,,,,* 国际复材、中国巨石继续趋势创新高
# ② 有色金属（钴+钨+钼）,,,,,* 长盈通大涨10%+,,,,,创新药正式从轮动题材升级为市场主线之一。,,,,,,,,,,
