# 房地产,,,,# 绿电 / 电力,,,# 房地产,,,# 光学光电子
,,,,,,,,,,
| 公司   | 股票代码   |,,,,| 公司   | 股票代码   |,,,| 公司   | 股票代码   |,,,| 公司    | 股票代码   |
| ---- | ------ |,,,,| ---- | ------ |,,,| ---- | ------ |,,,| ----- | ------ |
| 大悦城  | 000031 |,,,,| 韶能股份 | 000601 |,,,| 大悦城  | 000031 |,,,| 实益达   | 002137 |
| 华丽家族 | 600503 |,,,,| 大唐发电 | 601991 |,,,| 华丽家族 | 600503 |,,,| 长信科技  | 300088 |
| 大龙地产 | 600159 |,,,,| 晋控电力 | 000767 |,,,| 大龙地产 | 600159 |,,,| TCL科技 | 000100 |
| 荣盛发展 | 002146 |,,,,| 华电辽能 | 600396 |,,,| 荣盛发展 | 002146 |,,,| 苏大维格  | 300331 |
| 沙河股份 | 000014 |,,,,| 京能电力 | 600578 |,,,| 沙河股份 | 000014 |,,,| 联域股份  | 001326 |
| 上海临港 | 600848 |,,,,| 金房能源 | 001210 |,,,| 上海临港 | 600848 |,,,| 龙腾光电  | 688055 |
| 陆家嘴  | 600663 |,,,,| 湖南发展 | 000722 |,,,| 陆家嘴  | 600663 |,,,| 光莆股份  | 300632 |
,,,,,,,,,,
---,,,,---,,,---,,,---
,,,,,,,,,,
# 电力,,,,# 人形机器人,,,# 电力,,,# 电力
,,,,,,,,,,
| 公司   | 股票代码   |,,,,| 公司   | 股票代码   |,,,| 公司   | 股票代码   |,,,| 公司   | 股票代码   |
| ---- | ------ |,,,,| ---- | ------ |,,,| ---- | ------ |,,,| ---- | ------ |
| 深南电A | 000037 |,,,,| 中大力德 | 002896 |,,,| 深南电A | 000037 |,,,| 豫能控股 | 001896 |
| 金房能源 | 001210 |,,,,| 绿的谐波 | 688017 |,,,| 金房能源 | 001210 |,,,| 新中港  | 605162 |
| 粤电力A | 000539 |,,,,| 科达自控 | 831832 |,,,| 粤电力A | 000539 |,,,| 广西能源 | 600310 |
| 晋控电力 | 000767 |,,,,| 三协电机 | 873806 |,,,| 晋控电力 | 000767 |,,,| 长源电力 | 000966 |
| 华能国际 | 600011 |,,,,| 昊志机电 | 300503 |,,,| 华能国际 | 600011 |,,,| 恒盛能源 | 605580 |
| 华能蒙电 | 600863 |,,,,| 模塑科技 | 000700 |,,,| 华能蒙电 | 600863 |,,,| 西昌电力 | 600505 |
| 江苏国信 | 002608 |,,,,,,,| 江苏国信 | 002608 |,,,| 中闽能源 | 600163 |
| 协鑫能科 | 002015 |,,,,---,,,| 协鑫能科 | 002015 |,,,| 协鑫能科 | 002015 |
,,,,,,,,,,| 华电辽能 | 600396 |
