# A股热点复盘（2026-07-03）,,,,,,## 一、今日题材梳理（按热度排序）,,,,# 一、今日热点题材梳理（按市场强度排序）,,,# 一、今日热点题材梳理（按市场强度排序）,,,,,## 一、今日热点题材梳理（按强度排序）
,,,,,,,,,,,,,,,,,,
---,,,,,,| 题材                  | 龙头/涨停              | 主要跟涨                     | 强度    |,,,,| 排名  | 题材          | 龙头股            | 跟涨个股                            | 热度    |,,,| 排名  | 题材         | 龙头股                           | 跟涨个股                          | 热度    |,,,,,| 热点等级  | 题材        | 龙头股       | 板块强度     |
,,,,,,| ------------------- | ------------------ | ------------------------ | ----- |,,,,| --- | ----------- | -------------- | ------------------------------- | ----- |,,,| --- | ---------- | ----------------------------- | ----------------------------- | ----- |,,,,,| ----- | --------- | --------- | -------- |
# 一、今日热点板块及股票代码整理,,,,,,| ???? PCB（CCL+铜箔+封装） | 光华科技、天海电子、威尔高、诺德股份 | 金安国纪、鼎泰高科、山东玻纤、圣泉集团      | ★★★★★ |,,,,| ??1 | AI服务器/算力    | 浪潮信息、紫光股份、华勤技术 | 中科曙光、神州数码                       | ????? |,,,| ??1 | AI算力/AI服务器 | 浪潮信息（2连板）、广脉科技                | 深桑达A、宏景科技、利通电子、广电运通、赛意信息      | ????? |,,,,,| ★★★★★ | AI算力/算力租赁 | 华胜天成      | 持续主线     |
,,,,,,| ???? 半导体材料（硅片）      | 有研硅（20CM）          | 上海合晶、沪硅产业、TCL中环、立昂微、中晶科技 | ★★★★★ |,,,,| ??2 | 算力租赁        | 网宿科技（20CM）     | 飞利信、深信服、优刻得、奥飞数据、云天励飞、协创数据      | ????? |,,,| ??2 | 先进封装+半导体材料 | 上海合晶（20CM）、朗迪集团、同兴达、三佳科技、中京电子 | 太极实业、联瑞新材、雅克科技、华海诚科、有研新材、沪硅产业 | ????? |,,,,,| ★★★★☆ | 半导体设备     | 亚翔集成      | 科技轮动     |
## ① 人形机器人（★★★★★ 今日绝对主线）,,,,,,| ???? 锂矿             | 雅化集团（一字）           | 天华新能、盛新锂能、赣锋锂业、天齐锂业、融捷股份 | ★★★★☆ |,,,,| ??3 | 黄金/贵金属      | 招金黄金（5天3板）     | 赤峰黄金、西部黄金、四川黄金、晓程科技、中国黄金国际、灵宝黄金 | ????☆ |,,,| ??3 | PCB产业链     | 宝鼎科技                          | 本川智能、泰金新能、木林森、满坤科技            | ????☆ |,,,,,| ★★★★☆ | 创新药/CXO   | 哈药股份      | 趋势加强     |
,,,,,,| ??? 铜箔              | 光华科技、诺德股份          | 万顺新材、双星新材、璞泰来、纳科诺尔、洪田股份  | ★★★★☆ |,,,,| 4   | AI网络设备（交换机） | 紫光股份           | 锐捷网络、星网锐捷、菲菱科思、翱捷科技             | ????  |,,,| 4   | AI应用       | 欢瑞世纪（6天3板）                    | 海天瑞声、华凯易佰、福石控股、赛意信息、中文在线      | ????  |,,,,,| ★★★☆☆ | AI应用      | 欢瑞世纪      | 应用补涨     |
| 股票   | 代码              | 地位        |,,,,,,| ??? 先进封装            | 实益达                | 长电科技、华天科技、甬矽电子、深科技、盛合晶微  | ★★★★  |,,,,| 5   | 油气          | 山东墨龙           | 通源石油、中油工程、中海油服、海油发展、蓝焰控股        | ???   |,,,| 5   | AI手机       | 道明光学                          | 弘信电子、奥尼电子、中兴通讯、福蓉科技           | ????  |,,,,,| ★★★☆☆ | 玻璃基板      | 亚玛顿、三峡新材  | PCB产业链分支 |
| ---- | --------------- | --------- |,,,,,,| ??? 算力芯片            | 沐曦股份               | 海光信息、寒武纪、龙芯中科、芯原股份、摩尔线程  | ★★★★  |,,,,| 6   | 创新药         | 太极集团           | 亚虹医药、赛升药业、上海莱士、美迪西、悦康药业         | ???   |,,,| 6   | MLCC       | 艾华集团、中京电子                     | 南亚新材、江海股份、麦捷科技、法拉电子           | ????  |,,,,,| ★★★☆☆ | CRO医疗服务   | 药明康德、康龙化成 | 中报驱动     |
| 雷赛智能 | **002979**      | 2连板，控制器龙头 |,,,,,,| ?? 化工（有机硅）          | 晨光新材、宿迁联盛、阿科力3连板   | 东岳硅材、合盛硅业、硅宝科技、润禾材料      | ★★★☆  |,,,,| 7   | 旅游酒店        | 岭南控股           | 西藏旅游、西域旅游、天府文旅、陕西旅游             | ??☆   |,,,| 7   | 半导体材料（硅片）  | 上海合晶                          | 神工股份、恒坤新材、有研新材、沪硅产业           | ????  |,,,,,
| 卧龙电驱 | **600580**      | 涨停，电机龙头   |,,,,,,,,,,,,,| 8   | 券商         | 华安证券                          | 招商证券、长江证券、中信建投、天风证券、中金公司      | ???   |,,,,,---
