symbol,stock_name,optimal_base_cost,start_date,end_date,return_pct,updated_at
002475,立讯精密,60.40,2026-01-10,2026-04-25,3.366592,2026-05-06 10:20:17
002192,融捷股份,78.21,2026-01-10,2026-04-25,4.362638,2026-05-06 10:20:18
300285,国瓷材料,33.69,2026-01-10,2026-04-25,4.327040,2026-05-06 10:20:19
601872,招商轮船,17.42,2026-01-10,2026-04-25,1.564198,2026-05-06 10:20:20
600176,中国巨石,30.94,2026-01-10,2026-04-25,0.862566,2026-05-06 10:20:21
002028,思源电气,204.88,2026-01-10,2026-04-25,16.110516,2026-05-06 10:20:22
000408,藏格矿业,86.06,2026-01-10,2026-04-25,5.108447,2026-05-06 10:20:23
600487,亨通光电,61.08,2026-01-10,2026-04-25,3.406440,2026-05-06 10:20:24
002432,九安医疗,78.59,2026-01-10,2026-04-25,8.765108,2026-05-06 10:20:25
002595,豪迈科技,83.70,2026-01-10,2026-04-25,9.338836,2026-05-06 10:20:27
603508,思维列控,24.67,2026-01-10,2026-04-25,0.020000,2026-05-06 10:20:28
603516,淳中科技,146.95,2026-01-10,2026-04-25,5.505689,2026-05-06 10:20:29
000901,航天科技,21.48,2026-01-10,2026-04-25,0.597616,2026-05-06 10:20:30
688313,仕佳光子,120.91,2026-01-10,2026-04-25,6.745158,2026-05-06 10:20:31
000422,湖北宜化,15.99,2026-01-10,2026-04-25,1.738675,2026-05-06 10:20:32
000912,泸天化,5.12,2026-01-10,2026-04-25,0.540296,2026-05-06 10:20:33
002274,华昌化工,6.29,2026-01-10,2026-04-25,0.506604,2026-05-06 10:20:34
603095,越剑智能,18.87,2026-01-10,2026-04-25,1.191715,2026-05-06 10:20:35
603283,赛腾股份,46.47,2026-01-10,2026-04-25,3.884526,2026-05-06 10:20:36
002175,*ST东智,2.53,2026-01-10,2026-04-25,-0.012000,2026-05-06 10:20:37
603338,浙江鼎力,48.80,2026-01-10,2026-04-25,1.384000,2026-05-06 10:20:37
300823,建科智能,16.62,2026-01-10,2026-04-25,0.620155,2026-05-06 10:20:38
600320,振华重工,5.09,2026-01-10,2026-04-25,0.177435,2026-05-06 10:20:39
002484,江海股份,32.07,2026-01-10,2026-04-25,2.683320,2026-05-06 10:20:40
002902,铭普光磁,27.99,2026-01-10,2026-04-25,1.333786,2026-05-06 10:20:41
603228,景旺电子,63.48,2026-01-10,2026-04-25,5.306862,2026-05-06 10:20:42
605118,力鼎光电,41.73,2026-01-10,2026-04-25,4.653472,2026-05-06 10:20:43
002217,合力泰,2.62,2026-01-10,2026-04-25,0.147418,2026-05-06 10:20:43
603931,格林达,29.33,2026-01-10,2026-04-25,1.637488,2026-05-06 10:20:44
603773,沃格光电,52.72,2026-01-10,2026-04-25,1.470148,2026-05-06 10:20:45
000565,渝三峡Ａ,7.05,2026-01-10,2026-04-25,0.180000,2026-05-06 10:20:46
603125,常青科技,18.33,2026-01-10,2026-04-25,1.723930,2026-05-06 10:20:47
600338,西藏珠峰,20.37,2026-01-10,2026-04-25,1.691739,2026-05-06 10:20:48
001332,锡装股份,55.70,2026-01-10,2026-04-25,4.343634,2026-05-06 10:20:49
600815,厦工股份,4.07,2026-01-10,2026-04-25,0.340644,2026-05-06 10:20:49
