date,symbol,name,strength,rs_index,rs_sector,stock_pct,hs300_pct,sector_code,sector_name,sector_pct,close,rank
2026-01-05,002517,恺英网络,100,4.7333,1.0098,6.6298,1.8965,801764.SI,游戏Ⅱ,5.62,23.16,1
2026-01-05,603367,辰欣药业,95,3.2437,1.5102,5.1402,1.8965,801151.SI,化学制药,3.63,18.0,2
2026-01-05,600857,宁波中百,62,-0.1408,1.6257,1.7557,1.8965,801203.SI,一般零售,0.13,13.91,3
2026-01-05,002558,巨人网络,40,1.1056,-2.6179,3.0021,1.8965,801764.SI,游戏Ⅱ,5.62,44.26,4
2026-01-05,600661,昂立教育,24,-1.3111,-1.5746,0.5854,1.8965,801994.SI,教育,2.16,10.31,5
2026-01-05,000056,*ST皇庭,18,-1.8965,-1.6,0.0,1.8965,801183.SI,房地产服务,1.6,2.01,6
2026-01-06,000056,*ST皇庭,100,2.9314,3.9576,4.4776,1.5462,801183.SI,房地产服务,0.52,2.1,1
2026-01-06,002517,恺英网络,100,2.9011,3.4473,4.4473,1.5462,801764.SI,游戏Ⅱ,1.0,24.19,2
2026-01-06,002558,巨人网络,59,0.2839,0.8301,1.8301,1.5462,801764.SI,游戏Ⅱ,1.0,45.07,3
2026-01-06,603367,辰欣药业,28,-1.7684,-0.5422,-0.2222,1.5462,801151.SI,化学制药,0.32,17.96,4
2026-01-06,600661,昂立教育,25,-1.7402,-0.994,-0.194,1.5462,801994.SI,教育,0.8,10.29,5
2026-01-06,600857,宁波中百,24,-1.3305,-1.5643,0.2157,1.5462,801203.SI,一般零售,1.78,13.94,6
2026-01-07,600857,宁波中百,70,1.1536,1.1108,0.8608,-0.2928,801203.SI,一般零售,-0.25,14.06,1
2026-01-07,002558,巨人网络,59,0.5147,0.5019,0.2219,-0.2928,801764.SI,游戏Ⅱ,-0.28,45.17,2
2026-01-07,603367,辰欣药业,54,0.8496,-0.5932,0.5568,-0.2928,801151.SI,化学制药,1.15,18.06,3
2026-01-07,002517,恺英网络,47,-0.1619,-0.1747,-0.4547,-0.2928,801764.SI,游戏Ⅱ,-0.28,24.08,4
2026-01-07,600661,昂立教育,34,-1.1649,-0.4977,-1.4577,-0.2928,801994.SI,教育,-0.96,10.14,5
2026-01-07,000056,*ST皇庭,17,-2.0882,-1.471,-2.381,-0.2928,801183.SI,房地产服务,-0.91,2.05,6
2026-01-08,603367,辰欣药业,71,1.7026,0.5359,0.8859,-0.8167,801151.SI,化学制药,0.35,18.22,1
2026-01-08,600661,昂立教育,70,2.3946,-0.4921,1.5779,-0.8167,801994.SI,教育,2.07,10.3,2
2026-01-08,002517,恺英网络,55,1.315,-1.0417,0.4983,-0.8167,801764.SI,游戏Ⅱ,1.54,24.2,3
2026-01-08,000056,*ST皇庭,52,1.3045,-1.4022,0.4878,-0.8167,801183.SI,房地产服务,1.89,2.06,4
2026-01-08,002558,巨人网络,50,1.0602,-1.2965,0.2435,-0.8167,801764.SI,游戏Ⅱ,1.54,45.28,5
2026-01-08,600857,宁波中百,35,-0.179,-1.6257,-0.9957,-0.8167,801203.SI,一般零售,0.63,13.92,6
2026-01-09,603367,辰欣药业,72,1.6916,0.5805,2.1405,0.4489,801151.SI,化学制药,1.56,18.61,1
2026-01-09,002517,恺英网络,71,3.1048,-1.1963,3.5537,0.4489,801764.SI,游戏Ⅱ,4.75,25.06,2
2026-01-09,000056,*ST皇庭,65,1.0074,0.6363,1.4563,0.4489,801183.SI,房地产服务,0.82,2.09,3
2026-01-09,002558,巨人网络,54,2.1571,-2.144,2.606,0.4489,801764.SI,游戏Ⅱ,4.75,46.46,4
2026-01-09,600661,昂立教育,40,0.6191,-1.972,1.068,0.4489,801994.SI,教育,3.04,10.41,5
2026-01-09,600857,宁波中百,28,-0.5207,-2.0418,-0.0718,0.4489,801203.SI,一般零售,1.97,13.91,6
2026-01-12,002558,巨人网络,97,4.9234,-0.2353,5.5747,0.6513,801764.SI,游戏Ⅱ,5.81,49.05,1
2026-01-12,002517,恺英网络,81,4.0175,-1.1412,4.6688,0.6513,801764.SI,游戏Ⅱ,5.81,26.23,2
2026-01-12,600661,昂立教育,67,3.4793,-2.2294,4.1306,0.6513,801994.SI,教育,6.36,10.84,3
2026-01-12,000056,*ST皇庭,56,0.3056,0.4269,0.9569,0.6513,801183.SI,房地产服务,0.53,2.11,4
2026-01-12,600857,宁波中百,29,-0.4356,-2.1343,0.2157,0.6513,801203.SI,一般零售,2.35,13.94,5
2026-01-12,603367,辰欣药业,19,-1.9947,-1.3534,-1.3434,0.6513,801151.SI,化学制药,0.01,18.36,6
2026-01-13,600661,昂立教育,85,2.6325,1.0595,2.0295,-0.603,801994.SI,教育,0.97,11.06,1
2026-01-13,000056,*ST皇庭,70,1.0769,1.1239,0.4739,-0.603,801183.SI,房地产服务,-0.65,2.12,2
2026-01-13,002517,恺英网络,47,0.298,-0.705,-0.305,-0.603,801764.SI,游戏Ⅱ,0.4,26.15,3
2026-01-13,603367,辰欣药业,39,-0.1595,-1.2325,-0.7625,-0.603,801151.SI,化学制药,0.47,18.22,4
2026-01-13,002558,巨人网络,36,-0.3348,-1.3378,-0.9378,-0.603,801764.SI,游戏Ⅱ,0.4,48.59,5
2026-01-13,600857,宁波中百,24,-1.4773,-1.3503,-2.0803,-0.603,801203.SI,一般零售,-0.73,13.65,6
2026-01-14,600857,宁波中百,90,2.306,2.1048,1.9048,-0.4012,801203.SI,一般零售,-0.2,13.91,1
2026-01-14,603367,辰欣药业,65,0.6207,1.0495,0.2195,-0.4012,801151.SI,化学制药,-0.83,18.26,2
2026-01-14,600661,昂立教育,55,1.0341,-0.6371,0.6329,-0.4012,801994.SI,教育,1.27,11.13,3
2026-01-14,002517,恺英网络,41,-0.5548,-0.466,-0.956,-0.4012,801764.SI,游戏Ⅱ,-0.49,25.9,4
2026-01-14,000056,*ST皇庭,25,-1.0139,-1.8751,-1.4151,-0.4012,801183.SI,房地产服务,0.46,2.09,5
2026-01-14,002558,巨人网络,0,-3.5296,-3.4408,-3.9308,-0.4012,801764.SI,游戏Ⅱ,-0.49,46.68,6
2026-01-15,002517,恺英网络,100,5.2823,5.6826,5.4826,0.2003,801764.SI,游戏Ⅱ,-0.2,27.32,1
2026-01-15,600857,宁波中百,80,0.8062,2.7165,1.0065,0.2003,801203.SI,一般零售,-1.71,14.05,2
2026-01-15,603367,辰欣药业,36,-1.4051,0.0252,-1.2048,0.2003,801151.SI,化学制药,-1.23,18.04,3
2026-01-15,600661,昂立教育,32,-2.716,1.2043,-2.5157,0.2003,801994.SI,教育,-3.72,10.85,4
2026-01-15,000056,*ST皇庭,12,-2.1142,-2.1239,-1.9139,0.2003,801183.SI,房地产服务,0.21,2.05,5
2026-01-15,002558,巨人网络,12,-2.2783,-1.878,-2.078,0.2003,801764.SI,游戏Ⅱ,-0.2,45.71,6
2026-01-16,002558,巨人网络,59,-0.9885,2.3199,-1.4001,-0.4116,801764.SI,游戏Ⅱ,-3.72,45.07,1
2026-01-16,603367,辰欣药业,54,0.0236,0.452,-0.388,-0.4116,801151.SI,化学制药,-0.84,17.97,2
2026-01-16,600661,昂立教育,46,-1.5239,1.3745,-1.9355,-0.4116,801994.SI,教育,-3.31,10.64,3
2026-01-16,000056,*ST皇庭,32,-1.5396,-0.2712,-1.9512,-0.4116,801183.SI,房地产服务,-1.68,2.01,4
2026-01-16,600857,宁波中百,32,-1.4389,-0.4805,-1.8505,-0.4116,801203.SI,一般零售,-1.37,13.79,5
2026-01-16,002517,恺英网络,7,-3.871,-0.5626,-4.2826,-0.4116,801764.SI,游戏Ⅱ,-3.72,26.15,6
2026-01-19,002558,巨人网络,100,9.9521,8.8267,10.0067,0.0546,801764.SI,游戏Ⅱ,1.18,49.58,1
2026-01-19,600857,宁波中百,83,2.2659,1.3005,2.3205,0.0546,801203.SI,一般零售,1.02,14.11,2
2026-01-19,000056,*ST皇庭,67,1.4379,0.3225,1.4925,0.0546,801183.SI,房地产服务,1.17,2.04,3
2026-01-19,600661,昂立教育,61,0.1334,1.228,0.188,0.0546,801994.SI,教育,-1.04,10.66,4
2026-01-19,002517,恺英网络,41,-0.0164,-1.1418,0.0382,0.0546,801764.SI,游戏Ⅱ,1.18,26.16,5
2026-01-19,603367,辰欣药业,41,-0.778,-0.1734,-0.7234,0.0546,801151.SI,化学制药,-0.55,17.84,6
2026-01-20,002558,巨人网络,100,2.7292,2.8202,2.4002,-0.329,801764.SI,游戏Ⅱ,-0.42,50.77,1
2026-01-20,603367,辰欣药业,84,1.7303,2.1213,1.4013,-0.329,801151.SI,化学制药,-0.72,18.09,2
2026-01-20,600661,昂立教育,75,1.0795,1.7605,0.7505,-0.329,801994.SI,教育,-1.01,10.74,3
2026-01-20,600857,宁波中百,52,0.4707,-0.2883,0.1417,-0.329,801203.SI,一般零售,0.43,14.13,4
2026-01-20,000056,*ST皇庭,46,1.7996,-2.6994,1.4706,-0.329,801183.SI,房地产服务,4.17,2.07,5
2026-01-20,002517,恺英网络,4,-2.6144,-2.5234,-2.9434,-0.329,801764.SI,游戏Ⅱ,-0.42,25.39,6
2026-01-21,603367,辰欣药业,64,0.7404,0.7892,0.8292,0.0888,801151.SI,化学制药,0.04,18.24,1
2026-01-21,002517,恺英网络,56,-0.01,0.7188,0.0788,0.0888,801764.SI,游戏Ⅱ,-0.64,25.41,2
2026-01-21,600661,昂立教育,51,-0.275,0.4838,-0.1862,0.0888,801994.SI,教育,-0.67,10.72,3
2026-01-21,000056,*ST皇庭,45,-0.5719,0.0869,-0.4831,0.0888,801183.SI,房地产服务,-0.57,2.06,4
2026-01-21,600857,宁波中百,33,-1.575,-0.1062,-1.4862,0.0888,801203.SI,一般零售,-1.38,13.92,5
2026-01-21,002558,巨人网络,24,-1.7433,-1.0145,-1.6545,0.0888,801764.SI,游戏Ⅱ,-0.64,49.93,6
2026-01-22,600857,宁波中百,99,3.0756,2.3191,3.0891,0.0135,801203.SI,一般零售,0.77,14.35,1
2026-01-22,000056,*ST皇庭,83,1.9282,1.7517,1.9417,0.0135,801183.SI,房地产服务,0.19,2.1,2
2026-01-22,603367,辰欣药业,58,0.0413,0.9048,0.0548,0.0135,801151.SI,化学制药,-0.85,18.25,3
2026-01-22,600661,昂立教育,57,0.8261,-0.1104,0.8396,0.0135,801994.SI,教育,0.95,10.81,4
2026-01-22,002558,巨人网络,15,-1.9162,-1.9327,-1.9027,0.0135,801764.SI,游戏Ⅱ,0.03,48.98,5
2026-01-22,002517,恺英网络,9,-2.2961,-2.3126,-2.2826,0.0135,801764.SI,游戏Ⅱ,0.03,24.83,6
2026-01-23,002517,恺英网络,96,2.9461,2.127,2.497,-0.4491,801764.SI,游戏Ⅱ,0.37,25.45,1
2026-01-23,603367,辰欣药业,79,2.2573,0.8282,1.8082,-0.4491,801151.SI,化学制药,0.98,18.58,2
2026-01-23,002558,巨人网络,69,1.4087,0.5896,0.9596,-0.4491,801764.SI,游戏Ⅱ,0.37,49.45,3
2026-01-23,000056,*ST皇庭,57,0.4491,0.35,0.0,-0.4491,801183.SI,房地产服务,-0.35,2.1,4
2026-01-23,600661,昂立教育,54,0.9116,-0.6875,0.4625,-0.4491,801994.SI,教育,1.15,10.86,5
2026-01-23,600857,宁波中百,35,-0.4568,-1.3259,-0.9059,-0.4491,801203.SI,一般零售,0.42,14.22,6
2026-01-26,600857,宁波中百,81,0.6786,3.0436,0.7736,0.095,801203.SI,一般零售,-2.27,14.33,1
2026-01-26,603367,辰欣药业,71,1.0352,1.3702,1.1302,0.095,801151.SI,化学制药,-0.24,18.79,2
2026-01-26,600661,昂立教育,64,-0.4633,2.3317,-0.3683,0.095,801994.SI,教育,-2.7,10.82,3
2026-01-26,000056,*ST皇庭,32,-1.9998,0.3052,-1.9048,0.095,801183.SI,房地产服务,-2.21,2.06,4
2026-01-26,002517,恺英网络,5,-3.7885,-0.9335,-3.6935,0.095,801764.SI,游戏Ⅱ,-2.76,24.51,5
2026-01-26,002558,巨人网络,0,-7.3346,-4.4796,-7.2396,0.095,801764.SI,游戏Ⅱ,-2.76,45.87,6
2026-01-27,002558,巨人网络,95,2.4687,2.5017,2.4417,-0.027,801764.SI,游戏Ⅱ,-0.06,46.99,1
2026-01-27,002517,恺英网络,60,0.5574,0.5904,0.5304,-0.027,801764.SI,游戏Ⅱ,-0.06,24.64,2
2026-01-27,000056,*ST皇庭,53,-0.4584,0.9146,-0.4854,-0.027,801183.SI,房地产服务,-1.4,2.05,3
2026-01-27,603367,辰欣药业,30,-1.6228,-0.5198,-1.6498,-0.027,801151.SI,化学制药,-1.13,18.48,4
2026-01-27,600661,昂立教育,29,-0.8972,-1.5242,-0.9242,-0.027,801994.SI,教育,0.6,10.72,5
2026-01-27,600857,宁波中百,6,-2.9039,-1.8509,-2.9309,-0.027,801203.SI,一般零售,-1.08,13.91,6
2026-01-28,600661,昂立教育,82,0.858,2.9394,1.1194,0.2614,801994.SI,教育,-1.82,10.84,1
2026-01-28,600857,宁波中百,67,0.7451,1.1765,1.0065,0.2614,801203.SI,一般零售,-0.17,14.05,2
2026-01-28,002517,恺英网络,54,-0.3832,0.9382,-0.1218,0.2614,801764.SI,游戏Ⅱ,-1.06,24.61,3
2026-01-28,000056,*ST皇庭,14,-1.7248,-2.3234,-1.4634,0.2614,801183.SI,房地产服务,0.86,2.02,4
2026-01-28,002558,巨人网络,0,-5.603,-4.2816,-5.3416,0.2614,801764.SI,游戏Ⅱ,-1.06,44.48,5
2026-01-28,603367,辰欣药业,0,-4.1034,-2.882,-3.842,0.2614,801151.SI,化学制药,-0.96,17.77,6
2026-01-29,002517,恺英网络,54,0.5804,-0.2191,1.3409,0.7605,801764.SI,游戏Ⅱ,1.56,24.94,1
2026-01-29,600661,昂立教育,32,-1.2218,-0.7013,-0.4613,0.7605,801994.SI,教育,0.24,10.79,2
2026-01-29,603367,辰欣药业,13,-2.4487,-1.5982,-1.6882,0.7605,801151.SI,化学制药,-0.09,17.47,3
2026-01-29,000056,*ST皇庭,1,-0.7605,-5.22,0.0,0.7605,801183.SI,房地产服务,5.22,2.02,4
2026-01-29,002558,巨人网络,0,-2.7839,-3.5834,-2.0234,0.7605,801764.SI,游戏Ⅱ,1.56,43.58,5
2026-01-29,600857,宁波中百,0,-3.4651,-2.9646,-2.7046,0.7605,801203.SI,一般零售,0.26,13.67,6
2026-01-30,600857,宁波中百,83,1.6582,1.9984,0.6584,-0.9998,801203.SI,一般零售,-1.34,13.76,1
2026-01-30,000056,*ST皇庭,64,0.5048,1.135,-0.495,-0.9998,801183.SI,房地产服务,-1.63,2.01,2
2026-01-30,600661,昂立教育,64,0.073,1.6032,-0.9268,-0.9998,801994.SI,教育,-2.53,10.69,3
2026-01-30,002558,巨人网络,60,1.1834,-0.2364,0.1836,-0.9998,801764.SI,游戏Ⅱ,0.42,43.66,4
2026-01-30,603367,辰欣药业,48,-0.0305,-0.2103,-1.0303,-0.9998,801151.SI,化学制药,-0.82,17.29,5
2026-01-30,002517,恺英网络,43,0.238,-1.1818,-0.7618,-0.9998,801764.SI,游戏Ⅱ,0.42,24.75,6
2026-02-02,600661,昂立教育,100,4.2839,4.0715,2.1515,-2.1324,801994.SI,教育,-1.92,10.92,1
2026-02-02,603367,辰欣药业,55,-0.1232,0.7644,-2.2556,-2.1324,801151.SI,化学制药,-3.02,16.9,2
2026-02-02,002558,巨人网络,32,-1.4636,-0.406,-3.596,-2.1324,801764.SI,游戏Ⅱ,-3.19,42.09,3
2026-02-02,600857,宁波中百,32,-0.8473,-1.2097,-2.9797,-2.1324,801203.SI,一般零售,-1.77,13.35,4
