date,strategy,hold_days,equity,cash,long_symbol,long_name,short_symbol,short_name,target_long,target_short,action,reason,rebalance,day_return
2026-01-05,stagger,3,99993.05,76833.05,002517,恺英网络,,,002517,603367,t0,T0买第一 002517,True,0.0
2026-01-06,stagger,3,101008.79,29280.79,002517,恺英网络,603367,辰欣药业,002517,603367,t1,T1加第一 002517；T1买第二 603367,True,0.010158105988366195
2026-01-07,stagger,3,100911.75,5795.75,002517,恺英网络,603367,辰欣药业,002517,603367,t2_lock,T2锁第一；T2加第二 603367,False,-0.0009607084690351764
2026-01-08,stagger,3,101491.13,101491.13,,,,,002517,603367,t3_flat,T3清仓，次日新一轮 T0,True,0.005741452308576589
2026-01-09,stagger,3,101483.87,77290.87,603367,辰欣药业,,,603367,002517,t0,T0买第一 603367,True,-7.153334483522844e-05
2026-01-12,stagger,3,101144.63,29801.63,603367,辰欣药业,002517,恺英网络,603367,002517,t1,T1加第一 603367；T1买第二 002517,True,-0.003342797234673789
2026-01-13,stagger,3,100701.57,6259.57,603367,辰欣药业,002517,恺英网络,603367,002517,t2_lock,T2锁第一；T2加第二 002517,False,-0.004380459941373038
2026-01-14,stagger,3,100280.29,100280.29,,,,,603367,002517,t3_flat,T3清仓，次日新一轮 T0,True,-0.004183450168651959
2026-01-15,stagger,3,100272.92,75684.92,002517,恺英网络,,,002517,600857,t0,T0买第一 002517,True,-7.349400365708192e-05
2026-01-16,stagger,3,99205.41,27313.41,002517,恺英网络,600857,宁波中百,002517,600857,t1,T1加第一 002517；T1买第二 600857,True,-0.010646044814492273
2026-01-19,stagger,3,99792.21,3319.21,002517,恺英网络,600857,宁波中百,002517,600857,t2_lock,T2锁第一；T2加第二 600857,False,0.005914999998487991
2026-01-20,stagger,3,98400.09,98400.09,,,,,002517,600857,t3_flat,T3清仓，次日新一轮 T0,True,-0.013950187093762279
2026-01-21,stagger,3,98392.97,74680.97,603367,辰欣药业,,,603367,002517,t0,T0买第一 603367,True,-7.235765739643796e-05
2026-01-22,stagger,3,98392.15,28595.15,603367,辰欣药业,002517,恺英网络,603367,002517,t1,T1加第一 603367；T1买第二 002517,True,-8.333928735004825e-06
2026-01-23,stagger,3,99801.28,5683.28,603367,辰欣药业,002517,恺英网络,603367,002517,t2_lock,T2锁第一；T2加第二 002517,False,0.01432156935283957
2026-01-26,stagger,3,98580.9,98580.9,,,,,603367,002517,t3_flat,T3清仓，次日新一轮 T0,True,-0.012228099679683524
2026-01-27,stagger,3,98573.85,75078.85,002558,巨人网络,,,002558,002517,t0,T0买第一 002558,True,-7.151486748435687e-05
2026-01-28,stagger,3,97304.8,28214.8,002558,巨人网络,002517,恺英网络,002558,002517,t1,T1加第一 002558；T1买第二 002517,True,-0.012874104034690803
2026-01-29,stagger,3,96728.07,5762.07,002558,巨人网络,002517,恺英网络,002558,002517,t2_lock,T2锁第一；T2加第二 002517,False,-0.0059270457366953355
2026-01-30,stagger,3,96374.52,96374.52,,,,,002558,002517,t3_flat,T3清仓，次日新一轮 T0,True,-0.0036550920534236253
2026-02-02,stagger,3,96367.31,72343.31,600661,昂立教育,,,600661,603367,t0,T0买第一 600661,True,-7.48123051612648e-05
2026-02-03,stagger,3,96859.13,25058.13,600661,昂立教育,603367,辰欣药业,600661,603367,t1,T1加第一 600661；T1买第二 603367,True,0.005103597890197431
2026-02-04,stagger,3,96347.94,1096.94,600661,昂立教育,603367,辰欣药业,600661,603367,t2_lock,T2锁第一；T2加第二 603367,False,-0.005277664583607122
2026-02-05,stagger,3,96475.58,96475.58,,,,,600661,603367,t3_flat,T3清仓，次日新一轮 T0,True,0.001324781827198418
2026-02-06,stagger,3,96475.58,96475.58,,,,,000056,002558,t0,T0第一未买进,True,0.0
2026-02-09,stagger,3,96462.24,52007.24,000056,*ST皇庭,002558,巨人网络,000056,002558,t1,T1加第一 000056；T1买第二 002558,True,-0.00013827333300298061
2026-02-10,stagger,3,99206.03,31306.03,000056,*ST皇庭,002558,巨人网络,000056,002558,t2_lock,T2锁第一；T2加第二 002558,False,0.028444187072578897
2026-02-11,stagger,3,96732.76,72862.76,000056,*ST皇庭,,,000056,002558,hold_fail,T3未能清完，次日续卖,False,-0.024930641816833132
2026-02-12,stagger,3,95944.28,95944.28,,,,,000056,002558,flat,延期清仓完成，次日新一轮 T0,True,-0.008151116540042858
2026-02-13,stagger,3,95938.18,75608.18,002558,巨人网络,,,002558,603367,t0,T0买第一 002558,True,-6.357856872762913e-05
2026-02-24,stagger,3,95064.0,28318.0,002558,巨人网络,603367,辰欣药业,002558,603367,t1,T1加第一 002558；T1买第二 603367,True,-0.009111909356629422
2026-02-25,stagger,3,94500.32,6042.32,002558,巨人网络,603367,辰欣药业,002558,603367,t2_lock,T2锁第一；T2加第二 603367,False,-0.005929479087772416
2026-02-26,stagger,3,93355.41,93355.41,,,,,002558,603367,t3_flat,T3清仓，次日新一轮 T0,True,-0.01211540870972716
2026-02-27,stagger,3,93348.55,70458.55,600661,昂立教育,,,600661,603367,t0,T0买第一 600661,True,-7.348261873629802e-05
2026-03-02,stagger,3,92075.23,26062.23,600661,昂立教育,603367,辰欣药业,600661,603367,t1,T1加第一 600661；T1买第二 603367,True,-0.013640490398619032
2026-03-03,stagger,3,90233.35,3109.35,600661,昂立教育,603367,辰欣药业,600661,603367,t2_lock,T2锁第一；T2加第二 603367,False,-0.02000407710086627
2026-03-04,stagger,3,88999.58,88999.58,,,,,600661,603367,t3_flat,T3清仓，次日新一轮 T0,True,-0.01367310423474255
2026-03-05,stagger,3,88992.95,66882.95,000056,*ST皇庭,,,000056,002517,t0,T0买第一 000056,True,-7.44947335706847e-05
2026-03-06,stagger,3,89089.8,23039.8,000056,*ST皇庭,002517,恺英网络,000056,002517,t1,T1加第一 000056；T1买第二 002517,True,0.0010882884543101934
2026-03-09,stagger,3,88283.42,1783.42,000056,*ST皇庭,002517,恺英网络,000056,002517,t2_lock,T2锁第一；T2加第二 002517,False,-0.00905131676129034
2026-03-10,stagger,3,90292.56,90292.56,,,,,000056,002517,t3_flat,T3清仓，次日新一轮 T0,True,0.022757840600194257
2026-03-11,stagger,3,90286.01,68464.01,002558,巨人网络,,,002558,603367,t0,T0买第一 002558,True,-7.254196802042312e-05
2026-03-12,stagger,3,89853.0,25092.0,002558,巨人网络,603367,辰欣药业,002558,603367,t1,T1加第一 002558；T1买第二 603367,True,-0.004795981127087123
2026-03-13,stagger,3,89246.42,3128.42,002558,巨人网络,603367,辰欣药业,002558,603367,t2_lock,T2锁第一；T2加第二 603367,False,-0.006750804091126605
2026-03-16,stagger,3,88440.11,88440.11,,,,,002558,603367,t3_flat,T3清仓，次日新一轮 T0,True,-0.009034648112495658
2026-03-17,stagger,3,88433.77,67291.77,002517,恺英网络,,,002517,600661,t0,T0买第一 002517,True,-7.168693028536399e-05
2026-03-18,stagger,3,88420.98,24653.98,002517,恺英网络,600661,昂立教育,002517,600661,t1,T1加第一 002517；T1买第二 600661,True,-0.00014462800805625786
2026-03-19,stagger,3,86961.37,2603.37,002517,恺英网络,600661,昂立教育,002517,600661,t2_lock,T2锁第一；T2加第二 600661,False,-0.01650750760735742
2026-03-20,stagger,3,83984.21,83984.21,,,,,002517,600661,t3_flat,T3清仓，次日新一轮 T0,True,-0.03423543120353312
2026-03-23,stagger,3,83978.66,65474.66,002558,巨人网络,,,002558,000056,t0,T0买第一 002558,True,-6.608385076201095e-05
2026-03-24,stagger,3,84158.81,25947.81,002558,巨人网络,000056,*ST皇庭,002558,000056,t1,T1加第一 002558；T1买第二 000056,True,0.0021451878370051247
2026-03-25,stagger,3,85701.53,5013.53,002558,巨人网络,000056,*ST皇庭,002558,000056,t2_lock,T2锁第一；T2加第二 000056,False,0.018331057675363915
2026-03-26,stagger,3,84507.88,84507.88,,,,,002558,000056,t3_flat,T3清仓，次日新一轮 T0,True,-0.013927989383620054
2026-03-27,stagger,3,84501.98,64809.98,603367,辰欣药业,,,603367,002517,t0,T0买第一 603367,True,-6.981597455779642e-05
2026-03-30,stagger,3,84790.09,25193.09,603367,辰欣药业,002517,恺英网络,603367,002517,t1,T1加第一 603367；T1买第二 002517,True,0.003409505907435495
2026-03-31,stagger,3,84460.76,4090.76,603367,辰欣药业,002517,恺英网络,603367,002517,t2_lock,T2锁第一；T2加第二 002517,False,-0.003884062394555854
2026-04-01,stagger,3,89374.48,89374.48,,,,,603367,002517,t3_flat,T3清仓，次日新一轮 T0,True,0.058177548958830094
2026-04-02,stagger,3,89368.34,68886.34,002517,恺英网络,,,002517,600857,t0,T0买第一 002517,True,-6.86997004066825e-05
2026-04-03,stagger,3,88959.23,25187.23,002517,恺英网络,600857,宁波中百,002517,600857,t1,T1加第一 002517；T1买第二 600857,True,-0.004577795671263485
2026-04-07,stagger,3,89041.6,3064.6,002517,恺英网络,600857,宁波中百,002517,600857,t2_lock,T2锁第一；T2加第二 600857,False,0.000925929777045198
2026-04-08,stagger,3,93036.56,93036.56,,,,,002517,600857,t3_flat,T3清仓，次日新一轮 T0,True,0.044866219834324594
2026-04-09,stagger,3,93029.61,69845.61,600661,昂立教育,,,600661,002517,t0,T0买第一 600661,True,-7.470181614621652e-05
2026-04-10,stagger,3,93304.24,25283.24,600661,昂立教育,002517,恺英网络,600661,002517,t1,T1加第一 600661；T1买第二 002517,True,0.002952070851420352
2026-04-13,stagger,3,91003.74,3616.74,600661,昂立教育,002517,恺英网络,600661,002517,t2_lock,T2锁第一；T2加第二 002517,False,-0.024655899881934618
2026-04-14,stagger,3,90129.48,90129.48,,,,,600661,002517,t3_flat,T3清仓，次日新一轮 T0,True,-0.009606857915949507
2026-04-15,stagger,3,90123.02,68595.02,002517,恺英网络,,,002517,002558,t0,T0买第一 002517,True,-7.167466183088944e-05
2026-04-16,stagger,3,90590.47,26756.47,002517,恺英网络,002558,巨人网络,002517,002558,t1,T1加第一 002517；T1买第二 002558,True,0.005186799110815432
2026-04-17,stagger,3,88849.73,4279.73,002517,恺英网络,002558,巨人网络,002517,002558,t2_lock,T2锁第一；T2加第二 002558,False,-0.019215487015356136
2026-04-20,stagger,3,88185.55,88185.55,,,,,002517,002558,t3_flat,T3清仓，次日新一轮 T0,True,-0.007475318157972977
2026-04-21,stagger,3,88185.55,88185.55,,,,,000056,600661,t0,T0第一未买进,True,0.0
2026-04-22,stagger,3,88172.43,44414.43,000056,*ST皇庭,600661,昂立教育,000056,600661,t1,T1加第一 000056；T1买第二 600661,True,-0.00014877720896466773
2026-04-23,stagger,3,87897.11,23345.11,000056,*ST皇庭,600661,昂立教育,000056,600661,t2_lock,T2锁第一；T2加第二 600661,False,-0.003122518002509289
2026-04-24,stagger,3,88206.33,66783.33,000056,*ST皇庭,,,000056,600661,hold_fail,T3未能清完，次日续卖,False,0.003517976870911932
2026-04-27,stagger,3,89298.3,89298.3,,,,,000056,600661,flat,延期清仓完成，次日新一轮 T0,True,0.01237972376812424
2026-04-28,stagger,3,89292.56,70158.56,002558,巨人网络,,,002558,002517,t0,T0买第一 002558,True,-6.427893924076944e-05
2026-04-29,stagger,3,90108.06,28488.06,002558,巨人网络,002517,恺英网络,002558,002517,t1,T1加第一 002558；T1买第二 002517,True,0.009132899762309465
2026-04-30,stagger,3,89009.64,7049.64,002558,巨人网络,002517,恺英网络,002558,002517,t2_lock,T2锁第一；T2加第二 002517,False,-0.012190030503375637
2026-05-06,stagger,3,89111.93,89111.93,,,,,002558,002517,t3_flat,T3清仓，次日新一轮 T0,True,0.0011492013674023749
2026-05-07,stagger,3,89105.96,69209.96,002558,巨人网络,,,002558,600857,t0,T0买第一 002558,True,-6.699439682189556e-05
2026-05-08,stagger,3,89003.47,27563.47,002558,巨人网络,600857,宁波中百,002558,600857,t1,T1加第一 002558；T1买第二 600857,True,-0.0011502036451883635
2026-05-11,stagger,3,88815.83,5405.83,002558,巨人网络,600857,宁波中百,002558,600857,t2_lock,T2锁第一；T2加第二 600857,False,-0.00210823240936564
2026-05-12,stagger,3,86540.87,86540.87,,,,,002558,600857,t3_flat,T3清仓，次日新一轮 T0,True,-0.0256143527567102
2026-05-13,stagger,3,86540.87,86540.87,,,,,600857,002558,t0,T0第一未买进,True,0.0
2026-05-14,stagger,3,86534.43,65058.43,,,002558,巨人网络,600857,002558,t1,T1第一未加仓；T1买第二 002558,True,-7.441570670596587e-05
2026-05-15,stagger,3,85982.15,44122.15,,,002558,巨人网络,600857,002558,t2_lock,T2锁第一；T2加第二 002558,False,-0.006382199547625089
2026-05-18,stagger,3,82745.22,82745.22,,,,,600857,002558,t3_flat,T3清仓，次日新一轮 T0,True,-0.03764653477495028
2026-05-19,stagger,3,82739.05,62153.05,000056,*ST皇庭,,,000056,002517,t0,T0买第一 000056,True,-7.456624080515173e-05
2026-05-20,stagger,3,81739.77,21228.77,000056,*ST皇庭,002517,恺英网络,000056,002517,t1,T1加第一 000056；T1买第二 002517,True,-0.012077489407963937
2026-05-21,stagger,3,79050.87,1542.87,000056,*ST皇庭,002517,恺英网络,000056,002517,t2_lock,T2锁第一；T2加第二 002517,False,-0.03289585962867292
2026-05-22,stagger,3,77136.35,77136.35,,,,,000056,002517,t3_flat,T3清仓，次日新一轮 T0,True,-0.024218835289225638
2026-05-25,stagger,3,77130.57,57858.57,000056,*ST皇庭,,,000056,600661,t0,T0买第一 000056,True,-7.493224659971265e-05
2026-05-26,stagger,3,78147.0,39310.0,000056,*ST皇庭,600661,昂立教育,000056,600661,t1,T1第一未加仓；T1买第二 600661,True,0.01317804341391482
2026-05-27,stagger,3,78533.37,20538.37,000056,*ST皇庭,600661,昂立教育,000056,600661,t2_lock,T2锁第一；T2加第二 600661,False,0.004944143729125772
2026-05-28,stagger,3,79207.4,79207.4,,,,,000056,600661,t3_flat,T3清仓，次日新一轮 T0,True,0.008582720950342404
2026-05-29,stagger,3,79201.5,59521.5,000056,*ST皇庭,,,000056,600857,t0,T0买第一 000056,True,-7.448798975850934e-05
2026-06-01,stagger,3,78697.94,20989.94,000056,*ST皇庭,600857,宁波中百,000056,600857,t1,T1加第一 000056；T1买第二 600857,True,-0.006357960392164297
2026-06-02,stagger,3,81656.49,2801.49,000056,*ST皇庭,600857,宁波中百,000056,600857,t2_lock,T2锁第一；T2加第二 600857,False,0.03759374133554205
2026-06-03,stagger,3,83925.53,83925.53,,,,,000056,600857,t3_flat,T3清仓，次日新一轮 T0,True,0.02778762594375528
2026-06-04,stagger,3,83919.29,63094.29,000056,*ST皇庭,,,000056,600661,t0,T0买第一 000056,True,-7.435163054680949e-05
2026-06-05,stagger,3,84984.14,42588.14,000056,*ST皇庭,600661,昂立教育,000056,600661,t1,T1第一未加仓；T1买第二 600661,True,0.0126889777070327
2026-06-08,stagger,3,85329.93,21885.93,000056,*ST皇庭,600661,昂立教育,000056,600661,t2_lock,T2锁第一；T2加第二 600661,False,0.00406887685161017
2026-06-09,stagger,3,84005.53,62347.53,000056,*ST皇庭,,,000056,600661,hold_fail,T3未能清完，次日续卖,False,-0.015520931518401504
2026-06-10,stagger,3,82934.53,62347.53,000056,*ST皇庭,,,000056,600661,hold_fail,T3 清仓未完成，继续锁仓待卖,False,-0.012749160680255223
2026-06-11,stagger,3,81863.53,62347.53,000056,*ST皇庭,,,000056,600661,hold_fail,T3 清仓未完成，继续锁仓待卖,False,-0.012913800801668485
2026-06-12,stagger,3,82799.16,82799.16,,,,,000056,600661,flat,延期清仓完成，次日新一轮 T0,True,0.011429143111712836
2026-06-15,stagger,3,82799.16,82799.16,,,,,000056,600857,t0,T0第一未买进,True,0.0
2026-06-16,stagger,3,82786.76,41453.76,000056,*ST皇庭,600857,宁波中百,000056,600857,t1,T1加第一 000056；T1买第二 600857,True,-0.0001497599734104904
2026-06-17,stagger,3,82227.95,22103.95,000056,*ST皇庭,600857,宁波中百,000056,600857,t2_lock,T2锁第一；T2加第二 600857,False,-0.006749992390087445
2026-06-18,stagger,3,81812.15,81812.15,,,,,000056,600857,t3_flat,T3清仓，次日新一轮 T0,True,-0.005056674768129321
2026-06-22,stagger,3,81806.06,61506.06,000056,*ST皇庭,,,000056,002558,t0,T0买第一 000056,True,-7.443882112856404e-05
2026-06-23,stagger,3,82844.01,41348.01,000056,*ST皇庭,002558,巨人网络,000056,002558,t1,T1第一未加仓；T1买第二 002558,True,0.012687935343665302
