date,symbol,name,strength,rs_index,rs_sector,stock_pct,hs300_pct,sector_code,sector_name,sector_pct,close,rank
2026-01-05,002268,电科网安,100,3.7105,4.227,5.607,1.8965,801101.SI,计算机设备,1.38,21.66,1
2026-01-05,600667,太极实业,96,2.2544,2.9509,4.1509,1.8965,801726.SI,工程咨询服务Ⅱ,1.2,8.28,2
2026-01-05,000933,神火股份,74,1.731,0.8975,3.6275,1.8965,801055.SI,工业金属,2.73,27.71,3
2026-01-05,600131,国网信通,42,0.0434,-1.0201,1.9399,1.8965,801103.SI,IT服务Ⅱ,2.96,16.29,4
2026-01-05,002226,江南化工,40,-1.0193,0.0772,0.8772,1.8965,801034.SI,化学制品,0.8,5.75,5
2026-01-05,603099,长白山,40,-1.8075,1.039,0.089,1.8965,801993.SI,旅游及景区,-0.95,45.0,6
2026-01-05,600985,淮北矿业,39,-1.1659,0.1406,0.7306,1.8965,801951.SI,煤炭开采,0.59,11.03,7
2026-01-05,601168,西部矿业,37,-0.3357,-1.1692,1.5608,1.8965,801055.SI,工业金属,2.73,27.98,8
2026-01-05,603501,豪威集团,35,0.3616,-2.3419,2.2581,1.8965,801081.SI,半导体,4.6,128.61,9
2026-01-05,600050,中国联通,34,-0.9064,-0.8799,0.9901,1.8965,801223.SI,通信服务,1.87,5.1,10
2026-01-05,000028,国药一致,33,-0.9301,-0.9036,0.9664,1.8965,801154.SI,医药商业,1.87,21.94,11
2026-01-05,002649,博彦科技,27,-0.8196,-1.8831,1.0769,1.8965,801103.SI,IT服务Ⅱ,2.96,13.14,12
2026-01-05,600566,济川药业,27,-1.286,-1.2595,0.6105,1.8965,801155.SI,中药Ⅱ,1.87,24.72,13
2026-01-05,000915,华特达因,20,-0.8871,-2.6206,1.0094,1.8965,801151.SI,化学制药,3.63,31.02,14
2026-01-05,000056,*ST皇庭,18,-1.8965,-1.6,0.0,1.8965,801183.SI,房地产服务,1.6,2.01,15
2026-01-05,603031,安孚科技,14,-1.5678,-2.5813,0.3287,1.8965,801737.SI,电池,2.91,30.52,16
2026-01-05,600989,宝丰能源,12,-2.568,-1.4815,-0.6715,1.8965,801033.SI,化学原料,0.81,19.23,17
2026-01-06,000056,*ST皇庭,100,2.9314,3.9576,4.4776,1.5462,801183.SI,房地产服务,0.52,2.1,1
2026-01-06,600667,太极实业,82,1.8354,1.7016,3.3816,1.5462,801726.SI,工程咨询服务Ⅱ,1.68,8.56,2
2026-01-06,000933,神火股份,78,3.1092,-0.3646,4.6554,1.5462,801055.SI,工业金属,5.02,29.0,3
2026-01-06,600989,宝丰能源,75,2.978,-0.5958,4.5242,1.5462,801033.SI,化学原料,5.12,20.1,4
2026-01-06,603031,安孚科技,67,0.3542,1.6404,1.9004,1.5462,801737.SI,电池,0.26,31.1,5
2026-01-06,000915,华特达因,55,-0.2567,0.9695,1.2895,1.5462,801151.SI,化学制药,0.32,31.42,6
2026-01-06,601168,西部矿业,52,1.6346,-1.8392,3.1808,1.5462,801055.SI,工业金属,5.02,28.87,7
2026-01-06,600050,中国联通,48,-0.3697,0.1765,1.1765,1.5462,801223.SI,通信服务,1.0,5.16,8
2026-01-06,603501,豪威集团,48,0.1333,-0.4205,1.6795,1.5462,801081.SI,半导体,2.1,130.77,9
2026-01-06,002226,江南化工,44,0.1929,-1.0109,1.7391,1.5462,801034.SI,化学制品,2.75,5.85,10
2026-01-06,000028,国药一致,42,-0.5435,-0.2673,1.0027,1.5462,801154.SI,医药商业,1.27,22.16,11
2026-01-06,600131,国网信通,39,-0.4412,-0.815,1.105,1.5462,801103.SI,IT服务Ⅱ,1.92,16.47,12
2026-01-06,603099,长白山,34,-1.324,-0.3578,0.2222,1.5462,801993.SI,旅游及景区,0.58,45.1,13
2026-01-06,600985,淮北矿业,30,-0.8209,-1.4247,0.7253,1.5462,801951.SI,煤炭开采,2.15,11.11,14
2026-01-06,600566,济川药业,29,-1.5462,-0.66,0.0,1.5462,801155.SI,中药Ⅱ,0.66,24.72,15
2026-01-06,002649,博彦科技,22,-1.394,-1.7678,0.1522,1.5462,801103.SI,IT服务Ⅱ,1.92,13.16,16
2026-01-06,002268,电科网安,0,-3.1621,-3.2459,-1.6159,1.5462,801101.SI,计算机设备,1.63,21.31,17
2026-01-07,600985,淮北矿业,100,4.2532,1.6204,3.9604,-0.2928,801951.SI,煤炭开采,2.34,11.55,1
2026-01-07,603031,安孚科技,100,5.6947,5.8519,5.4019,-0.2928,801737.SI,电池,-0.45,32.78,2
2026-01-07,000933,神火股份,76,1.2238,1.681,0.931,-0.2928,801055.SI,工业金属,-0.75,29.27,3
2026-01-07,600131,国网信通,68,0.7785,1.2757,0.4857,-0.2928,801103.SI,IT服务Ⅱ,-0.79,16.55,4
2026-01-07,600989,宝丰能源,68,1.0391,0.8963,0.7463,-0.2928,801033.SI,化学原料,-0.15,20.25,5
2026-01-07,603099,长白山,65,1.3793,0.1365,1.0865,-0.2928,801993.SI,旅游及景区,0.95,45.59,6
2026-01-07,600667,太极实业,51,0.0592,0.0864,-0.2336,-0.2928,801726.SI,工程咨询服务Ⅱ,-0.32,8.54,7
2026-01-07,002268,电科网安,46,-0.2234,-0.1862,-0.5162,-0.2928,801101.SI,计算机设备,-0.33,21.2,8
2026-01-07,600566,济川药业,43,-0.4758,-0.2186,-0.7686,-0.2928,801155.SI,中药Ⅱ,-0.55,24.53,9
2026-01-07,000028,国药一致,42,-0.2938,-0.6766,-0.5866,-0.2928,801154.SI,医药商业,0.09,22.03,10
2026-01-07,002649,博彦科技,37,-0.923,-0.4258,-1.2158,-0.2928,801103.SI,IT服务Ⅱ,-0.79,13.0,11
2026-01-07,601168,西部矿业,33,-1.162,-0.7048,-1.4548,-0.2928,801055.SI,工业金属,-0.75,28.45,12
2026-01-07,002226,江南化工,31,-0.9038,-1.3066,-1.1966,-0.2928,801034.SI,化学制品,0.11,5.78,13
2026-01-07,600050,中国联通,29,-0.87,-1.4928,-1.1628,-0.2928,801223.SI,通信服务,0.33,5.1,14
2026-01-07,000915,华特达因,26,-0.6938,-2.1366,-0.9866,-0.2928,801151.SI,化学制药,1.15,31.11,15
2026-01-07,000056,*ST皇庭,17,-2.0882,-1.471,-2.381,-0.2928,801183.SI,房地产服务,-0.91,2.05,16
2026-01-07,603501,豪威集团,16,-0.7625,-3.2353,-1.0553,-0.2928,801081.SI,半导体,2.18,129.39,17
2026-01-08,603031,安孚科技,100,10.7923,10.7256,9.9756,-0.8167,801737.SI,电池,-0.75,36.05,1
2026-01-08,002226,江南化工,87,2.2008,1.8541,1.3841,-0.8167,801034.SI,化学制品,-0.47,5.86,2
2026-01-08,603501,豪威集团,86,2.6252,1.1785,1.8085,-0.8167,801081.SI,半导体,0.63,131.73,3
2026-01-08,600050,中国联通,82,2.5814,0.7147,1.7647,-0.8167,801223.SI,通信服务,1.05,5.19,4
2026-01-08,002268,电科网安,69,1.7129,0.1762,0.8962,-0.8167,801101.SI,计算机设备,0.72,21.39,5
2026-01-08,002649,博彦科技,62,2.2013,-1.2254,1.3846,-0.8167,801103.SI,IT服务Ⅱ,2.61,13.18,6
2026-01-08,600131,国网信通,57,1.9043,-1.5224,1.0876,-0.8167,801103.SI,IT服务Ⅱ,2.61,16.73,7
2026-01-08,000028,国药一致,55,1.0891,-0.7676,0.2724,-0.8167,801154.SI,医药商业,1.04,22.09,8
2026-01-08,000056,*ST皇庭,52,1.3045,-1.4022,0.4878,-0.8167,801183.SI,房地产服务,1.89,2.06,9
2026-01-08,000915,华特达因,48,0.3988,-0.7679,-0.4179,-0.8167,801151.SI,化学制药,0.35,30.98,10
2026-01-08,600566,济川药业,46,0.2867,-0.85,-0.53,-0.8167,801155.SI,中药Ⅱ,0.32,24.4,11
2026-01-08,600989,宝丰能源,37,-0.6154,-0.8221,-1.4321,-0.8167,801033.SI,化学原料,-0.61,19.96,12
2026-01-08,600985,淮北矿业,34,-0.3954,-1.4521,-1.2121,-0.8167,801951.SI,煤炭开采,0.24,11.41,13
2026-01-08,601168,西部矿业,34,-1.1868,-0.5435,-2.0035,-0.8167,801055.SI,工业金属,-1.46,27.88,14
2026-01-08,000933,神火股份,24,-1.7457,-1.1024,-2.5624,-0.8167,801055.SI,工业金属,-1.46,28.52,15
2026-01-08,600667,太极实业,17,-0.1201,-4.0368,-0.9368,-0.8167,801726.SI,工程咨询服务Ⅱ,3.1,8.46,16
2026-01-08,603099,长白山,9,-2.0567,-2.5134,-2.8734,-0.8167,801993.SI,旅游及景区,-0.36,44.28,17
2026-01-09,002649,博彦科技,100,7.2901,4.339,7.739,0.4489,801103.SI,IT服务Ⅱ,3.4,14.2,1
2026-01-09,000933,神火股份,71,2.2159,-0.1752,2.6648,0.4489,801055.SI,工业金属,2.84,29.28,2
2026-01-09,600050,中国联通,70,2.634,-0.8271,3.0829,0.4489,801223.SI,通信服务,3.91,5.35,3
2026-01-09,603099,长白山,70,1.1319,1.0708,1.5808,0.4489,801993.SI,旅游及景区,0.51,44.98,4
2026-01-09,000056,*ST皇庭,65,1.0074,0.6363,1.4563,0.4489,801183.SI,房地产服务,0.82,2.09,5
2026-01-09,002226,江南化工,55,0.2337,0.3726,0.6826,0.4489,801034.SI,化学制品,0.31,5.9,6
2026-01-09,002268,电科网安,51,0.4394,-0.4717,0.8883,0.4489,801101.SI,计算机设备,1.36,21.58,7
2026-01-09,600566,济川药业,44,-0.285,-0.4161,0.1639,0.4489,801155.SI,中药Ⅱ,0.58,24.44,8
2026-01-09,601168,西部矿业,43,0.663,-1.7281,1.1119,0.4489,801055.SI,工业金属,2.84,28.19,9
2026-01-09,000028,国药一致,37,-0.2678,-1.2489,0.1811,0.4489,801154.SI,医药商业,1.43,22.13,10
2026-01-09,603501,豪威集团,35,-0.707,-0.9881,-0.2581,0.4489,801081.SI,半导体,0.73,131.39,11
2026-01-09,600985,淮北矿业,31,-0.8871,-1.2982,-0.4382,0.4489,801951.SI,煤炭开采,0.86,11.36,12
2026-01-09,603031,安孚科技,31,-1.0592,-1.0703,-0.6103,0.4489,801737.SI,电池,0.46,35.83,13
2026-01-09,000915,华特达因,30,-0.6426,-1.7537,-0.1937,0.4489,801151.SI,化学制药,1.56,30.92,14
2026-01-09,600667,太极实业,28,-1.1581,-1.3592,-0.7092,0.4489,801726.SI,工程咨询服务Ⅱ,0.65,8.4,15
2026-01-09,600131,国网信通,26,-0.0305,-2.9816,0.4184,0.4489,801103.SI,IT服务Ⅱ,3.4,16.8,16
2026-01-09,600989,宝丰能源,6,-2.503,-2.4141,-2.0541,0.4489,801033.SI,化学原料,0.36,19.55,17
2026-01-12,002268,电科网安,100,9.2653,5.3366,9.9166,0.6513,801101.SI,计算机设备,4.58,23.72,1
2026-01-12,600131,国网信通,81,4.8844,-2.2043,5.5357,0.6513,801103.SI,IT服务Ⅱ,7.74,17.73,2
2026-01-12,002649,博彦科技,77,4.6304,-2.4583,5.2817,0.6513,801103.SI,IT服务Ⅱ,7.74,14.95,3
2026-01-12,600667,太极实业,63,0.8963,0.5376,1.5476,0.6513,801726.SI,工程咨询服务Ⅱ,1.01,8.53,4
2026-01-12,603501,豪威集团,58,0.8861,-0.0926,1.5374,0.6513,801081.SI,半导体,1.63,133.41,5
2026-01-12,000056,*ST皇庭,56,0.3056,0.4269,0.9569,0.6513,801183.SI,房地产服务,0.53,2.11,6
2026-01-12,600985,淮北矿业,51,-0.4752,0.7161,0.1761,0.6513,801951.SI,煤炭开采,-0.54,11.38,7
2026-01-12,603099,长白山,50,0.1935,-0.2752,0.8448,0.6513,801993.SI,旅游及景区,1.12,45.36,8
2026-01-12,002226,江南化工,43,-0.6513,-0.06,0.0,0.6513,801034.SI,化学制品,0.06,5.9,9
2026-01-12,000028,国药一致,42,-0.2898,-0.6885,0.3615,0.6513,801154.SI,医药商业,1.05,22.21,10
2026-01-12,000915,华特达因,39,-0.91,-0.2687,-0.2587,0.6513,801151.SI,化学制药,0.01,30.84,11
2026-01-12,600566,济川药业,36,-0.9786,-0.4873,-0.3273,0.6513,801155.SI,中药Ⅱ,0.16,24.36,12
2026-01-12,600050,中国联通,31,0.6571,-3.2516,1.3084,0.6513,801223.SI,通信服务,4.56,5.42,13
2026-01-12,601168,西部矿业,24,-1.5381,-1.3368,-0.8868,0.6513,801055.SI,工业金属,0.45,27.94,14
2026-01-12,603031,安孚科技,23,-2.2421,-0.5408,-1.5908,0.6513,801737.SI,电池,-1.05,35.26,15
2026-01-12,000933,神火股份,19,-1.8125,-1.6112,-1.1612,0.6513,801055.SI,工业金属,0.45,28.94,16
2026-01-12,600989,宝丰能源,2,-2.9531,-2.3518,-2.3018,0.6513,801033.SI,化学原料,0.05,19.1,17
