date,track,action,symbol,name,price,shares,fee,cash_after
2026-01-09,1,BUY,002649,博彦科技,14.2,7000,29.82,570.18
2026-01-16,1,SELL,002649,博彦科技,14.4,7000,80.64,101289.54
2026-01-16,1,BUY,600131,国网信通,18.08,5600,30.3744,11.17
2026-01-23,1,SELL,600131,国网信通,19.08,5600,85.4784,106773.69
2026-01-23,1,BUY,601168,西部矿业,31.63,3300,31.3137,2363.37
2026-02-13,1,SELL,601168,西部矿业,31.82,3300,84.0048,107285.37
2026-02-13,1,BUY,002268,电科网安,20.34,5200,31.7304,1485.64
2026-02-27,1,SELL,002268,电科网安,20.09,5200,83.5744,105870.06
2026-02-27,1,BUY,601168,西部矿业,34.58,3000,31.122,2098.94
2026-03-06,1,SELL,601168,西部矿业,31.53,3000,75.672,96613.27
2026-03-06,1,BUY,600131,国网信通,21.41,4500,28.9035,239.37
2026-03-13,1,SELL,600131,国网信通,21.88,4500,78.768,98620.6
2026-03-13,1,BUY,600989,宝丰能源,34.22,2800,28.7448,2775.85
2026-03-20,1,SELL,600989,宝丰能源,31.43,2800,70.4032,90709.45
2026-03-20,1,BUY,603031,安孚科技,34.09,2600,26.5902,2048.86
2026-03-27,1,SELL,603031,安孚科技,33.06,2600,68.7648,87936.1
2026-03-27,1,BUY,000933,神火股份,29.71,2900,25.8477,1751.25
2026-04-03,1,SELL,000933,神火股份,29.94,2900,69.4608,88507.79
2026-04-03,1,BUY,603031,安孚科技,33.22,2600,25.9116,2109.88
2026-04-10,1,SELL,603031,安孚科技,35.34,2600,73.5072,93920.37
2026-04-10,1,BUY,600131,国网信通,18.45,5000,27.675,1642.69
2026-04-24,1,SELL,600131,国网信通,18.07,5000,72.28,91920.41
2026-04-24,1,BUY,600566,济川药业,24.94,3600,26.9352,2109.48
2026-04-30,1,SELL,600566,济川药业,25.86,3600,74.4768,95131.0
2026-04-30,1,BUY,603031,安孚科技,41.5,2200,27.39,3803.61
2026-05-08,1,SELL,603031,安孚科技,48.98,2200,86.2048,111473.41
2026-05-08,1,BUY,601168,西部矿业,32.4,3400,33.048,1280.36
2026-05-15,1,SELL,601168,西部矿业,30.42,3400,82.7424,104625.62
2026-05-15,1,BUY,600985,淮北矿业,13.22,7900,31.3314,156.28
2026-05-22,1,SELL,600985,淮北矿业,12.66,7900,80.0112,100090.27
2026-05-22,1,BUY,601168,西部矿业,31.78,3100,29.5554,1542.72
2026-05-29,1,SELL,601168,西部矿业,30.47,3100,75.5656,95924.15
2026-05-29,1,BUY,000056,*ST皇庭,1.6,59900,28.752,55.4
2026-07-03,1,SELL,000056,*ST皇庭,2.24,59900,107.3408,134124.06
2026-07-03,1,BUY,601168,西部矿业,29.22,4500,39.447,2594.61
2026-07-17,1,SELL,601168,西部矿业,31.65,4500,113.94,144905.67
2026-07-17,1,BUY,002649,博彦科技,8.83,16400,43.4436,50.23
2026-07-24,1,SELL,002649,博彦科技,8.4,16400,110.208,137700.02
2026-07-24,1,BUY,603031,安孚科技,37.49,3600,40.4892,2695.53
2026-07-31,1,SELL,603031,安孚科技,37.47,3600,107.9136,137479.62
2026-07-31,1,BUY,000056,*ST皇庭,1.91,71900,41.1987,109.42
2026-08-27,1,SELL,000056,*ST皇庭,2.06,71900,118.4912,148104.93
2026-08-27,1,BUY,603031,安孚科技,40.7,3600,43.956,1540.97
2026-01-09,2,BUY,000933,神火股份,29.28,3400,29.8656,418.13
2026-01-16,2,SELL,000933,神火股份,30.29,3400,82.3888,103321.75
2026-01-16,2,BUY,600667,太极实业,9.28,11100,30.9024,282.84
2026-01-23,2,SELL,600667,太极实业,9.65,11100,85.692,107312.15
2026-01-23,2,BUY,002268,电科网安,20.58,5200,32.1048,264.05
2026-02-06,2,SELL,002268,电科网安,19.42,5200,80.7872,101167.26
2026-02-06,2,BUY,600989,宝丰能源,22.29,4500,30.0915,832.17
2026-02-13,2,SELL,600989,宝丰能源,22.71,4500,81.756,102945.41
2026-02-13,2,BUY,600985,淮北矿业,12.87,7900,30.5019,1241.91
2026-02-27,2,SELL,600985,淮北矿业,13.31,7900,84.1192,106306.79
2026-02-27,2,BUY,000933,神火股份,31.59,3300,31.2741,2028.52
2026-03-06,2,SELL,000933,神火股份,34.19,3300,90.2616,114765.25
2026-03-06,2,BUY,600989,宝丰能源,28.23,4000,33.876,1811.38
2026-03-13,2,SELL,600989,宝丰能源,34.22,4000,109.504,138581.87
2026-03-13,2,BUY,600050,中国联通,5.01,27600,41.4828,264.39
2026-03-20,2,SELL,600050,中国联通,4.63,27600,102.2304,127950.16
2026-03-20,2,BUY,600566,济川药业,26.52,4800,38.1888,615.97
2026-03-27,2,SELL,600566,济川药业,23.94,4800,91.9296,115436.04
2026-03-27,2,BUY,002268,电科网安,16.82,6800,34.3128,1025.73
2026-04-03,2,SELL,002268,电科网安,16.26,6800,88.4544,111505.28
2026-04-03,2,BUY,600131,国网信通,17.89,6200,33.2754,554.0
2026-04-10,2,SELL,600131,国网信通,18.45,6200,91.512,114852.49
2026-04-10,2,BUY,002649,博彦科技,11.57,9900,34.3629,275.13
2026-04-17,2,SELL,002649,博彦科技,11.81,9900,93.5352,117100.59
2026-04-17,2,BUY,600050,中国联通,4.58,25500,35.037,275.55
2026-04-24,2,SELL,600050,中国联通,4.44,25500,90.576,113404.98
