date,symbol,name,strength,rs_index,rs_sector,stock_pct,hs300_pct,sector_code,sector_name,sector_pct,close,rank
2026-01-05,600667,太极实业,96,2.2544,2.9509,4.1509,1.8965,801726.SI,工程咨询服务Ⅱ,1.2,8.28,1
2026-01-05,000933,神火股份,74,1.731,0.8975,3.6275,1.8965,801055.SI,工业金属,2.73,27.71,2
2026-01-05,600131,国网信通,42,0.0434,-1.0201,1.9399,1.8965,801103.SI,IT服务Ⅱ,2.96,16.29,3
2026-01-05,600985,淮北矿业,39,-1.1659,0.1406,0.7306,1.8965,801951.SI,煤炭开采,0.59,11.03,4
2026-01-05,000056,*ST皇庭,18,-1.8965,-1.6,0.0,1.8965,801183.SI,房地产服务,1.6,2.01,5
2026-01-05,600989,宝丰能源,12,-2.568,-1.4815,-0.6715,1.8965,801033.SI,化学原料,0.81,19.23,6
2026-01-06,000056,*ST皇庭,100,2.9314,3.9576,4.4776,1.5462,801183.SI,房地产服务,0.52,2.1,1
2026-01-06,600667,太极实业,82,1.8354,1.7016,3.3816,1.5462,801726.SI,工程咨询服务Ⅱ,1.68,8.56,2
2026-01-06,000933,神火股份,78,3.1092,-0.3646,4.6554,1.5462,801055.SI,工业金属,5.02,29.0,3
2026-01-06,600989,宝丰能源,75,2.978,-0.5958,4.5242,1.5462,801033.SI,化学原料,5.12,20.1,4
2026-01-06,600131,国网信通,39,-0.4412,-0.815,1.105,1.5462,801103.SI,IT服务Ⅱ,1.92,16.47,5
2026-01-06,600985,淮北矿业,30,-0.8209,-1.4247,0.7253,1.5462,801951.SI,煤炭开采,2.15,11.11,6
2026-01-07,600985,淮北矿业,100,4.2532,1.6204,3.9604,-0.2928,801951.SI,煤炭开采,2.34,11.55,1
2026-01-07,000933,神火股份,76,1.2238,1.681,0.931,-0.2928,801055.SI,工业金属,-0.75,29.27,2
2026-01-07,600131,国网信通,68,0.7785,1.2757,0.4857,-0.2928,801103.SI,IT服务Ⅱ,-0.79,16.55,3
2026-01-07,600989,宝丰能源,68,1.0391,0.8963,0.7463,-0.2928,801033.SI,化学原料,-0.15,20.25,4
2026-01-07,600667,太极实业,51,0.0592,0.0864,-0.2336,-0.2928,801726.SI,工程咨询服务Ⅱ,-0.32,8.54,5
2026-01-07,000056,*ST皇庭,17,-2.0882,-1.471,-2.381,-0.2928,801183.SI,房地产服务,-0.91,2.05,6
2026-01-08,600131,国网信通,57,1.9043,-1.5224,1.0876,-0.8167,801103.SI,IT服务Ⅱ,2.61,16.73,1
2026-01-08,000056,*ST皇庭,52,1.3045,-1.4022,0.4878,-0.8167,801183.SI,房地产服务,1.89,2.06,2
2026-01-08,600989,宝丰能源,37,-0.6154,-0.8221,-1.4321,-0.8167,801033.SI,化学原料,-0.61,19.96,3
2026-01-08,600985,淮北矿业,34,-0.3954,-1.4521,-1.2121,-0.8167,801951.SI,煤炭开采,0.24,11.41,4
2026-01-08,000933,神火股份,24,-1.7457,-1.1024,-2.5624,-0.8167,801055.SI,工业金属,-1.46,28.52,5
2026-01-08,600667,太极实业,17,-0.1201,-4.0368,-0.9368,-0.8167,801726.SI,工程咨询服务Ⅱ,3.1,8.46,6
2026-01-09,000933,神火股份,71,2.2159,-0.1752,2.6648,0.4489,801055.SI,工业金属,2.84,29.28,1
2026-01-09,000056,*ST皇庭,65,1.0074,0.6363,1.4563,0.4489,801183.SI,房地产服务,0.82,2.09,2
2026-01-09,600985,淮北矿业,31,-0.8871,-1.2982,-0.4382,0.4489,801951.SI,煤炭开采,0.86,11.36,3
2026-01-09,600667,太极实业,28,-1.1581,-1.3592,-0.7092,0.4489,801726.SI,工程咨询服务Ⅱ,0.65,8.4,4
2026-01-09,600131,国网信通,26,-0.0305,-2.9816,0.4184,0.4489,801103.SI,IT服务Ⅱ,3.4,16.8,5
2026-01-09,600989,宝丰能源,6,-2.503,-2.4141,-2.0541,0.4489,801033.SI,化学原料,0.36,19.55,6
2026-01-12,600131,国网信通,81,4.8844,-2.2043,5.5357,0.6513,801103.SI,IT服务Ⅱ,7.74,17.73,1
2026-01-12,600667,太极实业,63,0.8963,0.5376,1.5476,0.6513,801726.SI,工程咨询服务Ⅱ,1.01,8.53,2
2026-01-12,000056,*ST皇庭,56,0.3056,0.4269,0.9569,0.6513,801183.SI,房地产服务,0.53,2.11,3
2026-01-12,600985,淮北矿业,51,-0.4752,0.7161,0.1761,0.6513,801951.SI,煤炭开采,-0.54,11.38,4
2026-01-12,000933,神火股份,19,-1.8125,-1.6112,-1.1612,0.6513,801055.SI,工业金属,0.45,28.94,5
2026-01-12,600989,宝丰能源,2,-2.9531,-2.3518,-2.3018,0.6513,801033.SI,化学原料,0.05,19.1,6
2026-01-13,000933,神火股份,88,2.9527,1.0597,2.3497,-0.603,801055.SI,工业金属,1.29,29.62,1
2026-01-13,000056,*ST皇庭,70,1.0769,1.1239,0.4739,-0.603,801183.SI,房地产服务,-0.65,2.12,2
2026-01-13,600989,宝丰能源,62,0.7077,0.6047,0.1047,-0.603,801033.SI,化学原料,-0.5,19.12,3
2026-01-13,600985,淮北矿业,37,-0.6272,-0.8202,-1.2302,-0.603,801951.SI,煤炭开采,-0.41,11.24,4
2026-01-13,600131,国网信通,35,-1.5403,0.0767,-2.1433,-0.603,801103.SI,IT服务Ⅱ,-2.22,17.35,5
2026-01-13,600667,太极实业,27,-1.8589,-0.6119,-2.4619,-0.603,801726.SI,工程咨询服务Ⅱ,-1.85,8.32,6
2026-01-14,600989,宝丰能源,100,7.3573,4.9361,6.9561,-0.4012,801033.SI,化学原料,2.02,20.45,1
2026-01-14,600131,国网信通,51,2.2456,-2.7356,1.8444,-0.4012,801103.SI,IT服务Ⅱ,4.58,17.67,2
2026-01-14,000933,神火股份,47,0.4687,-1.0125,0.0675,-0.4012,801055.SI,工业金属,1.08,29.64,3
2026-01-14,600985,淮北矿业,34,-1.0223,-0.7835,-1.4235,-0.4012,801951.SI,煤炭开采,-0.64,11.08,4
2026-01-14,600667,太极实业,32,-0.32,-1.8612,-0.7212,-0.4012,801726.SI,工程咨询服务Ⅱ,1.14,8.26,5
2026-01-14,000056,*ST皇庭,25,-1.0139,-1.8751,-1.4151,-0.4012,801183.SI,房地产服务,0.46,2.09,6
2026-01-15,000933,神火股份,100,3.2073,2.5576,3.4076,0.2003,801055.SI,工业金属,0.85,30.65,1
2026-01-15,600667,太极实业,100,3.6738,3.9841,3.8741,0.2003,801726.SI,工程咨询服务Ⅱ,-0.11,8.58,2
2026-01-15,600131,国网信通,70,-0.4267,3.0736,-0.2264,0.2003,801103.SI,IT服务Ⅱ,-3.3,17.63,3
2026-01-15,600989,宝丰能源,70,1.4134,0.7537,1.6137,0.2003,801033.SI,化学原料,0.86,20.78,4
2026-01-15,600985,淮北矿业,45,-0.5613,0.069,-0.361,0.2003,801951.SI,煤炭开采,-0.43,11.04,5
2026-01-15,000056,*ST皇庭,12,-2.1142,-2.1239,-1.9139,0.2003,801183.SI,房地产服务,0.21,2.05,6
2026-01-16,600131,国网信通,100,2.9641,5.8325,2.5525,-0.4116,801103.SI,IT服务Ⅱ,-3.28,18.08,1
2026-01-16,600667,太极实业,100,8.5701,7.4185,8.1585,-0.4116,801726.SI,工程咨询服务Ⅱ,0.74,9.28,2
2026-01-16,600989,宝丰能源,44,-0.599,0.0494,-1.0106,-0.4116,801033.SI,化学原料,-1.06,20.57,3
2026-01-16,600985,淮北矿业,41,-0.7659,-0.1775,-1.1775,-0.4116,801951.SI,煤炭开采,-1.0,10.91,4
