date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-01-05,1,100000.0,100000.0,,,0,,,,hold,非调仓日,False,False,0.0
2026-01-06,1,100000.0,100000.0,,,0,,,,hold,非调仓日,False,False,0.0
2026-01-07,1,100000.0,100000.0,,,0,,,,hold,非调仓日,False,False,0.0
2026-01-08,1,100000.0,100000.0,,,0,,,,hold,非调仓日,False,False,0.0
2026-01-09,1,99970.13,418.13,000933,神火股份,3400,000933,神火股份,71.0,entry,,False,True,-0.0002986999999999851
2026-01-12,1,98814.13,418.13,000933,神火股份,3400,000933,神火股份,19.0,hold,非调仓日,False,False,-0.011563454003710949
2026-01-13,1,101126.13,418.13,000933,神火股份,3400,000933,神火股份,88.0,hold,非调仓日,False,False,0.023397463500412385
2026-01-14,1,101194.13,418.13,000933,神火股份,3400,000933,神火股份,47.0,hold,非调仓日,False,False,0.0006724275911675903
2026-01-15,1,104628.13,418.13,000933,神火股份,3400,000933,神火股份,100.0,hold,非调仓日,False,False,0.033934774675171475
2026-01-16,1,103290.83,234.83,600131,国网信通,5700,600131,国网信通,100.0,switch,,True,True,-0.012781457529633777
2026-01-19,1,105342.83,234.83,600131,国网信通,5700,600131,国网信通,97.0,hold,非调仓日,False,False,0.019866235947566757
2026-01-20,1,106482.83,234.83,600131,国网信通,5700,600131,国网信通,88.0,hold,非调仓日,False,False,0.010821809134992755
2026-01-21,1,104373.83,234.83,600131,国网信通,5700,600131,国网信通,13.0,hold,非调仓日,False,False,-0.019806010039364996
2026-01-22,1,106083.83,234.83,600131,国网信通,5700,600131,国网信通,69.0,hold,非调仓日,False,False,0.016383417184173465
2026-01-23,1,108990.83,234.83,600131,国网信通,5700,600131,国网信通,85.0,hold,目标未变,False,True,0.02740285677845522
2026-01-26,1,106710.83,234.83,600131,国网信通,5700,600131,国网信通,24.0,hold,非调仓日,False,False,-0.020919191091580802
2026-01-27,1,107679.83,234.83,600131,国网信通,5700,600131,国网信通,63.0,hold,非调仓日,False,False,0.009080615341479303
2026-01-28,1,105456.83,234.83,600131,国网信通,5700,600131,国网信通,14.0,hold,非调仓日,False,False,-0.02064453482142381
2026-01-29,1,104943.83,234.83,600131,国网信通,5700,600131,国网信通,33.0,hold,非调仓日,False,False,-0.004864549787813699
2026-01-30,1,110016.83,234.83,600131,国网信通,5700,600131,国网信通,100.0,hold,目标未变,False,True,0.04834014539015774
2026-02-02,1,108477.83,234.83,600131,国网信通,5700,600131,国网信通,70.0,hold,非调仓日,False,False,-0.013988768809281238
2026-02-03,1,109275.83,234.83,600131,国网信通,5700,600131,国网信通,23.0,hold,非调仓日,False,False,0.00735634184422751
2026-02-04,1,109503.83,234.83,600131,国网信通,5700,600131,国网信通,66.0,hold,非调仓日,False,False,0.0020864632188106746
2026-02-05,1,105627.83,234.83,600131,国网信通,5700,600131,国网信通,0.0,hold,非调仓日,False,False,-0.03539602222132321
2026-02-06,1,103518.83,234.83,600131,国网信通,5700,000056,*ST皇庭,100.0,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.01996632894948236
2026-02-09,1,109218.83,234.83,600131,国网信通,5700,000056,*ST皇庭,0.0,hold,非调仓日,False,False,0.0550624461269511
2026-02-10,1,109104.83,234.83,600131,国网信通,5700,000056,*ST皇庭,100.0,hold,非调仓日,False,False,-0.0010437760594944612
2026-02-11,1,112125.83,234.83,600131,国网信通,5700,000056,*ST皇庭,0.0,hold,非调仓日,False,False,0.02768896665711318
2026-02-12,1,110472.83,234.83,600131,国网信通,5700,000056,*ST皇庭,1.0,hold,非调仓日,False,False,-0.014742365786723721
2026-02-13,1,107675.74,854.74,600985,淮北矿业,8300,600985,淮北矿业,100.0,switch,,True,True,-0.02531925723275119
2026-02-24,1,110663.74,854.74,600985,淮北矿业,8300,600985,淮北矿业,67.0,hold,非调仓日,False,False,0.02774998342244972
2026-02-25,1,110331.74,854.74,600985,淮北矿业,8300,600985,淮北矿业,38.0,hold,非调仓日,False,False,-0.00300007933944757
2026-02-26,1,110497.74,854.74,600985,淮北矿业,8300,600985,淮北矿业,60.0,hold,非调仓日,False,False,0.0015045534494426693
2026-02-27,1,111206.19,641.19,000933,神火股份,3500,000933,神火股份,73.0,switch,,True,True,0.006411443347167145
2026-03-02,1,116141.19,641.19,000933,神火股份,3500,000933,神火股份,99.0,hold,非调仓日,False,False,0.04437702613496608
2026-03-03,1,115651.19,641.19,000933,神火股份,3500,000933,神火股份,99.0,hold,非调仓日,False,False,-0.004219002750014855
2026-03-04,1,121321.19,641.19,000933,神火股份,3500,000933,神火股份,100.0,hold,非调仓日,False,False,0.04902673288532533
2026-03-05,1,124261.19,641.19,000933,神火股份,3500,000933,神火股份,85.0,hold,非调仓日,False,False,0.024233194547465198
2026-03-06,1,120174.49,278.49,600131,国网信通,5600,600131,国网信通,100.0,switch,,True,True,-0.032887983770314766
2026-03-09,1,124990.49,278.49,600131,国网信通,5600,600131,国网信通,100.0,hold,非调仓日,False,False,0.04007506085526136
2026-03-10,1,125774.49,278.49,600131,国网信通,5600,600131,国网信通,42.0,hold,非调仓日,False,False,0.006272477210066185
2026-03-11,1,125942.49,278.49,600131,国网信通,5600,600131,国网信通,53.0,hold,非调仓日,False,False,0.0013357239611944127
2026-03-12,1,129526.49,278.49,600131,国网信通,5600,600131,国网信通,100.0,hold,非调仓日,False,False,0.02845743323004024
2026-03-13,1,122672.53,2902.53,600989,宝丰能源,3500,600989,宝丰能源,100.0,switch,,True,True,-0.05291550786252297
2026-03-16,1,120677.53,2902.53,600989,宝丰能源,3500,600989,宝丰能源,40.0,hold,非调仓日,False,False,-0.016262809611899298
2026-03-17,1,116652.53,2902.53,600989,宝丰能源,3500,600989,宝丰能源,15.0,hold,非调仓日,False,False,-0.03335335086821878
2026-03-18,1,113187.53,2902.53,600989,宝丰能源,3500,600989,宝丰能源,0.0,hold,非调仓日,False,False,-0.02970359922755217
2026-03-19,1,115847.53,2902.53,600989,宝丰能源,3500,600989,宝丰能源,100.0,hold,非调仓日,False,False,0.02350082204285231
2026-03-20,1,112786.01,1068.01,600985,淮北矿业,8300,600985,淮北矿业,81.0,switch,,True,True,-0.02642714954734038
2026-03-23,1,116438.01,1068.01,600985,淮北矿业,8300,600985,淮北矿业,100.0,hold,非调仓日,False,False,0.032379902436481256
2026-03-24,1,116770.01,1068.01,600985,淮北矿业,8300,600985,淮北矿业,48.0,hold,非调仓日,False,False,0.0028513025944019166
2026-03-25,1,114612.01,1068.01,600985,淮北矿业,8300,600985,淮北矿业,13.0,hold,非调仓日,False,False,-0.018480772588783667
2026-03-26,1,113782.01,1068.01,600985,淮北矿业,8300,600985,淮北矿业,44.0,hold,非调仓日,False,False,-0.007241823958937688
2026-03-27,1,114984.91,2086.91,000933,神火股份,3800,000933,神火股份,100.0,switch,,True,True,0.01057197003287258
2026-03-30,1,119696.91,2086.91,000933,神火股份,3800,000933,神火股份,100.0,hold,非调仓日,False,False,0.0409792902390409
2026-03-31,1,116010.91,2086.91,000933,神火股份,3800,000933,神火股份,15.0,hold,非调仓日,False,False,-0.030794445737989395
2026-04-01,1,116998.91,2086.91,000933,神火股份,3800,000933,神火股份,24.0,hold,非调仓日,False,False,0.008516440393407931
2026-04-02,1,118822.91,2086.91,000933,神火股份,3800,000933,神火股份,100.0,hold,非调仓日,False,False,0.015589888828878795
2026-04-03,1,115733.54,1237.54,600131,国网信通,6400,600131,国网信通,77.0,switch,,True,True,-0.025999784048379326
2026-04-07,1,114325.54,1237.54,600131,国网信通,6400,600131,国网信通,30.0,hold,非调仓日,False,False,-0.012165876892731409
2026-04-08,1,119893.54,1237.54,600131,国网信通,6400,600131,国网信通,45.0,hold,非调仓日,False,False,0.048703028212243815
2026-04-09,1,117013.54,1237.54,600131,国网信通,6400,600131,国网信通,27.0,hold,非调仓日,False,False,-0.024021310906325755
2026-04-10,1,119317.54,1237.54,600131,国网信通,6400,600131,国网信通,68.0,hold,目标未变,False,True,0.01969002903424677
2026-04-13,1,116181.54,1237.54,600131,国网信通,6400,600131,国网信通,0.0,hold,非调仓日,False,False,-0.026282808043142647
2026-04-14,1,115861.54,1237.54,600131,国网信通,6400,600131,国网信通,21.0,hold,非调仓日,False,False,-0.0027543101942012482
2026-04-15,1,117397.54,1237.54,600131,国网信通,6400,600131,国网信通,85.0,hold,非调仓日,False,False,0.013257203382589289
2026-04-16,1,117653.54,1237.54,600131,国网信通,6400,600131,国网信通,17.0,hold,非调仓日,False,False,0.002180624909176032
2026-04-17,1,117589.54,1237.54,600131,国网信通,6400,600131,国网信通,53.0,hold,目标未变,False,True,-0.0005439700326909103
2026-04-20,1,119061.54,1237.54,600131,国网信通,6400,600131,国网信通,59.0,hold,非调仓日,False,False,0.012518120234163765
2026-04-21,1,118293.54,1237.54,600131,国网信通,6400,600131,国网信通,54.0,hold,非调仓日,False,False,-0.00645044571068043
2026-04-22,1,119381.54,1237.54,600131,国网信通,6400,600131,国网信通,36.0,hold,非调仓日,False,False,0.009197459134285824
2026-04-23,1,118805.54,1237.54,600131,国网信通,6400,600131,国网信通,49.0,hold,非调仓日,False,False,-0.004824866558095997
2026-04-24,1,116758.55,1825.55,600989,宝丰能源,3900,600989,宝丰能源,100.0,switch,,True,True,-0.017229752080584748
2026-04-27,1,117499.55,1825.55,600989,宝丰能源,3900,600989,宝丰能源,61.0,hold,非调仓日,False,False,0.00634643030424753
2026-04-28,1,122569.55,1825.55,600989,宝丰能源,3900,600989,宝丰能源,100.0,hold,非调仓日,False,False,0.04314910142209061
2026-04-29,1,123232.55,1825.55,600989,宝丰能源,3900,600989,宝丰能源,37.0,hold,非调仓日,False,False,0.005409173811929735
2026-04-30,1,121423.43,326.43,600985,淮北矿业,8300,600985,淮北矿业,48.0,switch,,True,True,-0.014680536919831733
2026-05-06,1,120593.43,326.43,600985,淮北矿业,8300,600985,淮北矿业,21.0,hold,非调仓日,False,False,-0.006835583544296142
2026-05-07,1,113455.43,326.43,600985,淮北矿业,8300,600985,淮北矿业,0.0,hold,非调仓日,False,False,-0.05919062091525218
2026-05-08,1,110926.69,380.69,600131,国网信通,6200,600131,国网信通,55.0,switch,,True,True,-0.02228839994700993
2026-05-11,1,111856.69,380.69,600131,国网信通,6200,600131,国网信通,52.0,hold,非调仓日,False,False,0.008383915539172726
2026-05-12,1,111236.69,380.69,600131,国网信通,6200,600131,国网信通,58.0,hold,非调仓日,False,False,-0.005542806603699768
2026-05-13,1,114274.69,380.69,600131,国网信通,6200,600131,国网信通,66.0,hold,非调仓日,False,False,0.0273111326847284
2026-05-14,1,110678.69,380.69,600131,国网信通,6200,600131,国网信通,41.0,hold,非调仓日,False,False,-0.031468035485373025
2026-05-15,1,107832.51,750.51,600985,淮北矿业,8100,600985,淮北矿业,83.0,switch,,True,True,-0.025715700104509853
2026-05-18,1,108399.51,750.51,600985,淮北矿业,8100,600985,淮北矿业,52.0,hold,非调仓日,False,False,0.005258154521303515
2026-05-19,1,109614.51,750.51,600985,淮北矿业,8100,600985,淮北矿业,65.0,hold,非调仓日,False,False,0.011208537750770242
2026-05-20,1,107832.51,750.51,600985,淮北矿业,8100,600985,淮北矿业,31.0,hold,非调仓日,False,False,-0.016256971818785715
2026-05-21,1,104511.51,750.51,600985,淮北矿业,8100,600985,淮北矿业,31.0,hold,非调仓日,False,False,-0.030797762196206002
2026-05-22,1,103183.53,27.53,600667,太极实业,8200,600667,太极实业,55.0,switch,,True,True,-0.012706543040091889
2026-05-25,1,109169.53,27.53,600667,太极实业,8200,600667,太极实业,100.0,hold,非调仓日,False,False,0.058013134460509264
2026-05-26,1,108595.53,27.53,600667,太极实业,8200,600667,太极实业,52.0,hold,非调仓日,False,False,-0.005257877358270213
2026-05-27,1,113925.53,27.53,600667,太极实业,8200,600667,太极实业,100.0,hold,非调仓日,False,False,0.0490812098803699
2026-05-28,1,111547.53,27.53,600667,太极实业,8200,600667,太极实业,9.0,hold,非调仓日,False,False,-0.02087328450435999
2026-05-29,1,105117.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,switch,,True,True,-0.057640541211445906
2026-06-01,1,102493.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,6.0,hold,非调仓日,False,False,-0.024962454052769534
2026-06-02,1,107741.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,非调仓日,False,False,0.05120306219289028
2026-06-03,1,109709.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,88.0,hold,非调仓日,False,False,0.018265879365190196
2026-06-04,1,114957.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,非调仓日,False,False,0.04783525857792004
2026-06-05,1,120861.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,目标未变,False,True,0.05135794530639792
2026-06-08,1,126109.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,非调仓日,False,False,0.04342146948413084
2026-06-09,1,119549.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,0.0,hold,非调仓日,False,False,-0.05201813307713343
2026-06-10,1,113645.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,0.0,hold,非调仓日,False,False,-0.04938524818136569
2026-06-11,1,107741.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,0.0,hold,非调仓日,False,False,-0.05195085399935784
2026-06-12,1,112989.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,目标未变,False,True,0.048709011640507116
2026-06-15,1,118893.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,非调仓日,False,False,0.05225247183663462
2026-06-16,1,114957.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,7.0,hold,非调仓日,False,False,-0.03310515504289668
2026-06-17,1,110365.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,0.0,hold,非调仓日,False,False,-0.03994506857164282
2026-06-18,1,109709.87,157.87,000056,*ST皇庭,65600,600667,太极实业,100.0,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.005943866523228647
2026-06-22,1,114957.87,157.87,000056,*ST皇庭,65600,600667,太极实业,100.0,hold,非调仓日,False,False,0.04783525857792004
2026-06-23,1,120861.87,157.87,000056,*ST皇庭,65600,600667,太极实业,0.0,hold,非调仓日,False,False,0.05135794530639792
2026-06-24,1,123485.87,157.87,000056,*ST皇庭,65600,600667,太极实业,100.0,hold,非调仓日,False,False,0.02171073474206553
2026-06-25,1,129389.87,157.87,000056,*ST皇庭,65600,600667,太极实业,100.0,hold,非调仓日,False,False,0.04781113822982341
2026-06-26,1,135949.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,目标未变,False,True,0.050699486752711076
2026-06-29,1,142509.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,非调仓日,False,False,0.04825308034498299
2026-06-30,1,149725.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,100.0,hold,非调仓日,False,False,0.050635089345039797
2026-07-01,1,147101.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,0.0,hold,非调仓日,False,False,-0.01752536151568196
2026-07-02,1,143165.87,157.87,000056,*ST皇庭,65600,000056,*ST皇庭,39.0,hold,非调仓日,False,False,-0.026756967807411325
2026-07-03,1,146940.64,1344.64,000933,神火股份,6600,000933,神火股份,97.0,switch,,True,True,0.026366409815412162
2026-07-06,1,149976.64,1344.64,000933,神火股份,6600,000933,神火股份,88.0,hold,非调仓日,False,False,0.020661404496400637
2026-07-07,1,145092.64,1344.64,000933,神火股份,6600,000933,神火股份,22.0,hold,非调仓日,False,False,-0.032565071467129836
2026-07-08,1,145818.64,1344.64,000933,神火股份,6600,000933,神火股份,81.0,hold,非调仓日,False,False,0.005003699705236508
2026-07-09,1,142254.64,1344.64,000933,神火股份,6600,000933,神火股份,0.0,hold,非调仓日,False,False,-0.02444131971056651
2026-07-10,1,156378.64,1344.64,000933,神火股份,6600,000933,神火股份,100.0,hold,目标未变,False,True,0.09928674382782865
2026-07-13,1,154002.64,1344.64,000933,神火股份,6600,000933,神火股份,64.0,hold,非调仓日,False,False,-0.0151938909303726
2026-07-14,1,164232.64,1344.64,000933,神火股份,6600,000933,神火股份,98.0,hold,非调仓日,False,False,0.06642743267258266
2026-07-15,1,169710.64,1344.64,000933,神火股份,6600,000933,神火股份,100.0,hold,非调仓日,False,False,0.03335512356130921
2026-07-16,1,163638.64,1344.64,000933,神火股份,6600,000933,神火股份,5.0,hold,非调仓日,False,False,-0.03577854635395872
2026-07-17,1,159438.57,1238.57,600131,国网信通,11300,600131,国网信通,100.0,switch,,True,True,-0.02566673739160874
2026-07-20,1,170173.57,1238.57,600131,国网信通,11300,600131,国网信通,100.0,hold,非调仓日,False,False,0.06733000678568546
2026-07-21,1,170964.57,1238.57,600131,国网信通,11300,600131,国网信通,0.0,hold,非调仓日,False,False,0.004648195368998742
2026-07-22,1,173789.57,1238.57,600131,国网信通,11300,600131,国网信通,80.0,hold,非调仓日,False,False,0.01652389147061295
2026-07-23,1,177631.57,1238.57,600131,国网信通,11300,600131,国网信通,95.0,hold,非调仓日,False,False,0.022107195500857824
2026-07-24,1,170100.5,684.5,600667,太极实业,10400,600667,太极实业,83.0,switch,,True,True,-0.04239713695037439
2026-07-27,1,187052.5,684.5,600667,太极实业,10400,600667,太极实业,100.0,hold,非调仓日,False,False,0.09965873116187196
2026-07-28,1,191732.5,684.5,600667,太极实业,10400,600667,太极实业,100.0,hold,非调仓日,False,False,0.02501971371673739
2026-07-29,1,181644.5,684.5,600667,太极实业,10400,600667,太极实业,0.0,hold,非调仓日,False,False,-0.05261497137939575
2026-07-30,1,163548.5,684.5,600667,太极实业,10400,600667,太极实业,0.0,hold,非调仓日,False,False,-0.09962316502839341
2026-07-31,1,179679.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,100.0,switch,,True,True,0.0986300088352996
2026-08-03,1,180619.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,57.0,hold,非调仓日,False,False,0.005231543379317749
2026-08-04,1,178739.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,23.0,hold,非调仓日,False,False,-0.010408633540747503
2026-08-05,1,196599.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,100.0,hold,非调仓日,False,False,0.09992207085526639
2026-08-06,1,193779.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,26.0,hold,非调仓日,False,False,-0.014343897172772069
2026-08-07,1,201299.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,100.0,hold,目标未变,False,True,0.03880703660334395
2026-08-10,1,185319.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,0.0,hold,非调仓日,False,False,-0.07938428396841335
2026-08-11,1,180619.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,17.0,hold,非调仓日,False,False,-0.02536163396697666
2026-08-12,1,180619.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,18.0,hold,非调仓日,False,False,0.0
2026-08-13,1,177799.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,53.0,hold,非调仓日,False,False,-0.015612950311121199
2026-08-14,1,184379.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,100.0,hold,目标未变,False,True,0.037008021798062396
2026-08-17,1,187199.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,52.0,hold,非调仓日,False,False,0.015294559383540296
2026-08-18,1,183439.29,139.29,000056,*ST皇庭,94000,000056,*ST皇庭,22.0,hold,非调仓日,False,False,-0.02008554626462522
