date,track,action,symbol,name,price,shares,fee,cash_after
2026-01-09,1,BUY,000933,神火股份,29.28,3400,29.8656,418.13
2026-01-16,1,SELL,000933,神火股份,30.29,3400,82.3888,103321.75
2026-01-16,1,BUY,600131,国网信通,18.08,5700,30.9168,234.83
2026-02-13,1,SELL,600131,国网信通,18.87,5700,86.0472,107707.78
2026-02-13,1,BUY,600985,淮北矿业,12.87,8300,32.0463,854.74
2026-02-27,1,SELL,600985,淮北矿业,13.31,8300,88.3784,111239.36
2026-02-27,1,BUY,000933,神火股份,31.59,3500,33.1695,641.19
2026-03-06,1,SELL,000933,神火股份,34.19,3500,95.732,120210.46
2026-03-06,1,BUY,600131,国网信通,21.41,5600,35.9688,278.49
2026-03-13,1,SELL,600131,国网信通,21.88,5600,98.0224,122708.46
2026-03-13,1,BUY,600989,宝丰能源,34.22,3500,35.931,2902.53
2026-03-20,1,SELL,600989,宝丰能源,31.43,3500,88.004,112819.53
2026-03-20,1,BUY,600985,淮北矿业,13.46,8300,33.5154,1068.01
2026-03-27,1,SELL,600985,淮北矿业,13.74,8300,91.2336,115018.78
2026-03-27,1,BUY,000933,神火股份,29.71,3800,33.8694,2086.91
2026-04-03,1,SELL,000933,神火股份,29.94,3800,91.0176,115767.89
2026-04-03,1,BUY,600131,国网信通,17.89,6400,34.3488,1237.54
2026-04-24,1,SELL,600131,国网信通,18.07,6400,92.5184,116793.03
2026-04-24,1,BUY,600989,宝丰能源,29.47,3900,34.4799,1825.55
2026-04-30,1,SELL,600989,宝丰能源,30.7,3900,95.784,121459.76
2026-04-30,1,BUY,600985,淮北矿业,14.59,8300,36.3291,326.43
2026-05-08,1,SELL,600985,淮北矿业,13.34,8300,88.5776,110959.86
2026-05-08,1,BUY,600131,国网信通,17.83,6200,33.1638,380.69
2026-05-15,1,SELL,600131,国网信通,17.35,6200,86.056,107864.64
2026-05-15,1,BUY,600985,淮北矿业,13.22,8100,32.1246,750.51
2026-05-22,1,SELL,600985,淮北矿业,12.66,8100,82.0368,103214.47
2026-05-22,1,BUY,600667,太极实业,12.58,8200,30.9468,27.53
2026-05-29,1,SELL,600667,太极实业,12.83,8200,84.1648,105149.36
2026-05-29,1,BUY,000056,*ST皇庭,1.6,65600,31.488,157.87
2026-07-03,1,SELL,000056,*ST皇庭,2.24,65600,117.5552,146984.32
2026-07-03,1,BUY,000933,神火股份,22.06,6600,43.6788,1344.64
2026-07-17,1,SELL,000933,神火股份,23.98,6600,126.6144,159486.03
2026-07-17,1,BUY,600131,国网信通,14.0,11300,47.46,1238.57
2026-07-24,1,SELL,600131,国网信通,14.96,11300,135.2384,170151.33
2026-07-24,1,BUY,600667,太极实业,16.29,10400,50.8248,684.5
2026-07-31,1,SELL,600667,太极实业,17.23,10400,143.3536,179733.15
2026-07-31,1,BUY,000056,*ST皇庭,1.91,94000,53.862,139.29
2026-08-28,1,SELL,000056,*ST皇庭,2.08,94000,156.416,195502.87
2026-08-28,1,BUY,000933,神火股份,27.59,7000,57.939,2314.93
2026-01-09,2,BUY,000056,*ST皇庭,2.09,47800,29.9706,68.03
2026-01-16,2,SELL,000056,*ST皇庭,2.01,47800,76.8624,96069.17
2026-01-16,2,BUY,600667,太极实业,9.28,10300,28.6752,456.49
2026-01-23,2,SELL,600667,太极实业,9.65,10300,79.516,99771.98
2026-01-23,2,BUY,600989,宝丰能源,22.15,4500,29.9025,67.07
2026-02-13,2,SELL,600989,宝丰能源,22.71,4500,81.756,102180.32
2026-02-13,2,BUY,600667,太极实业,9.77,10400,30.4824,541.83
2026-02-27,2,SELL,600667,太极实业,11.06,10400,92.0192,115473.82
2026-02-27,2,BUY,600989,宝丰能源,23.6,4800,33.984,2159.83
