date,symbol,name,strength,rs_index,rs_sector,stock_pct,hs300_pct,sector_code,sector_name,sector_pct,close,rank
2026-01-05,600531,豫光金铅,100,5.2834,4.4499,7.1799,1.8965,801055.SI,工业金属,2.73,12.39,1
2026-01-05,600667,太极实业,96,2.2544,2.9509,4.1509,1.8965,801726.SI,工程咨询服务Ⅱ,1.2,8.28,2
2026-01-05,002696,百洋股份,80,0.8139,2.7804,2.7104,1.8965,801014.SI,饲料,-0.07,7.2,3
2026-01-05,002128,电投能源,78,0.9831,2.2896,2.8796,1.8965,801951.SI,煤炭开采,0.59,27.51,4
2026-01-05,000933,神火股份,74,1.731,0.8975,3.6275,1.8965,801055.SI,工业金属,2.73,27.71,5
2026-01-05,000623,吉林敖东,67,0.9131,0.9396,2.8096,1.8965,801155.SI,中药Ⅱ,1.87,19.76,6
2026-01-05,600999,招商证券,58,0.4377,0.4542,2.3342,1.8965,801193.SI,证券Ⅱ,1.88,16.66,7
2026-01-05,600961,株冶集团,52,0.4637,-0.3698,2.3602,1.8965,801055.SI,工业金属,2.73,16.48,8
2026-01-05,600993,马应龙,45,-0.3156,-0.2891,1.5809,1.8965,801155.SI,中药Ⅱ,1.87,27.63,9
2026-01-05,603231,索宝蛋白,43,-1.058,0.4085,0.8385,1.8965,801012.SI,农产品加工,0.43,18.04,10
2026-01-05,000524,岭南控股,42,-1.7287,1.1178,0.1678,1.8965,801993.SI,旅游及景区,-0.95,11.94,11
2026-01-05,600131,国网信通,42,0.0434,-1.0201,1.9399,1.8965,801103.SI,IT服务Ⅱ,2.96,16.29,12
2026-01-05,603099,长白山,40,-1.8075,1.039,0.089,1.8965,801993.SI,旅游及景区,-0.95,45.0,13
2026-01-05,600985,淮北矿业,39,-1.1659,0.1406,0.7306,1.8965,801951.SI,煤炭开采,0.59,11.03,14
2026-01-05,601168,西部矿业,37,-0.3357,-1.1692,1.5608,1.8965,801055.SI,工业金属,2.73,27.98,15
2026-01-05,603257,中国瑞林,35,-1.1492,-0.4527,0.7473,1.8965,801726.SI,工程咨询服务Ⅱ,1.2,59.32,16
2026-01-05,002170,芭田股份,29,-0.7806,-1.6141,1.1159,1.8965,801038.SI,农化制品,2.73,11.78,17
2026-01-05,000100,TCL科技,28,-1.6718,-0.6453,0.2247,1.8965,801084.SI,光学光电子,0.87,4.46,18
2026-01-05,600887,伊利股份,27,-1.8603,-0.6038,0.0362,1.8965,801127.SI,饮料乳品,0.64,27.64,19
2026-01-05,600661,昂立教育,24,-1.3111,-1.5746,0.5854,1.8965,801994.SI,教育,2.16,10.31,20
2026-01-05,000056,*ST皇庭,18,-1.8965,-1.6,0.0,1.8965,801183.SI,房地产服务,1.6,2.01,21
2026-01-05,000959,首钢股份,18,-2.7229,-0.5464,-0.8264,1.8965,801044.SI,普钢,-0.28,4.8,22
2026-01-05,600989,宝丰能源,12,-2.5796,-1.4931,-0.6831,1.8965,801033.SI,化学原料,0.81,18.9,23
2026-01-05,002345,潮宏基,8,-2.8924,-1.5759,-0.9959,1.8965,801133.SI,饰品,0.58,11.93,24
2026-01-06,000056,*ST皇庭,100,2.9314,3.9576,4.4776,1.5462,801183.SI,房地产服务,0.52,2.1,1
2026-01-06,000100,TCL科技,100,6.7498,4.516,8.296,1.5462,801084.SI,光学光电子,3.78,4.83,2
2026-01-06,002128,电投能源,100,3.0703,2.4665,4.6165,1.5462,801951.SI,煤炭开采,2.15,28.78,3
2026-01-06,000623,吉林敖东,99,2.3506,3.2368,3.8968,1.5462,801155.SI,中药Ⅱ,0.66,20.53,4
2026-01-06,603257,中国瑞林,93,2.4659,2.3321,4.0121,1.5462,801726.SI,工程咨询服务Ⅱ,1.68,61.7,5
