date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-01-05,1,99970.26,850.26,600531,豫光金铅,8000,600531,豫光金铅,100,entry,,False,True,0.0
2026-01-06,1,102578.05,98.05,000056,*ST皇庭,48800,000056,*ST皇庭,100,switch,,True,True,0.026085657874652002
2026-01-07,1,100028.22,698.22,600985,淮北矿业,8600,600985,淮北矿业,100,switch,,True,True,-0.024857462195859603
2026-01-08,1,98716.23,413.23,000959,首钢股份,19700,000959,首钢股份,71,switch,,True,True,-0.013116198608752683
2026-01-09,1,95656.36,366.36,002696,百洋股份,13000,002696,百洋股份,100,switch,,True,True,-0.030996625377610054
2026-01-12,1,93473.83,258.83,000959,首钢股份,18100,000959,首钢股份,100,switch,,True,True,-0.02281636056400227
2026-01-13,1,92828.86,78.86,002696,百洋股份,12500,002696,百洋股份,100,switch,,True,True,-0.006900006130058034
2026-01-14,1,92352.26,12.26,000100,TCL科技,19000,000100,TCL科技,100,switch,,True,True,-0.005134179176605302
2026-01-15,1,92061.0,255.0,600667,太极实业,10700,600667,太极实业,100,switch,,True,True,-0.0031537939623783595
2026-01-16,1,99551.0,255.0,600667,太极实业,10700,600667,太极实业,100,hold,目标未变,False,True,0.08135909885836567
2026-01-19,1,100724.38,196.38,000100,TCL科技,20600,000100,TCL科技,99,switch,,True,True,0.01178672238350198
2026-01-20,1,100408.11,360.11,600667,太极实业,10400,600667,太极实业,100,switch,,True,True,-0.003139954795452704
2026-01-21,1,102791.31,257.31,600531,豫光金铅,6900,600531,豫光金铅,100,switch,,True,True,0.023735134542418823
2026-01-22,1,104677.29,23.29,002696,百洋股份,13400,002696,百洋股份,100,switch,,True,True,0.018347659933509952
2026-01-23,1,103605.29,23.29,002696,百洋股份,13400,600531,豫光金铅,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.010240998787798161
2026-01-26,1,103605.29,23.29,002696,百洋股份,13400,600531,豫光金铅,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.0
2026-01-27,1,104007.29,23.29,002696,百洋股份,13400,600531,豫光金铅,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.003880110754962418
2026-01-28,1,100523.29,23.29,002696,百洋股份,13400,600531,豫光金铅,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0334976519434359
2026-01-29,1,99743.54,137.54,000524,岭南控股,7800,000524,岭南控股,100,switch,,True,True,-0.007756908871565993
2026-01-30,1,98963.54,137.54,000524,岭南控股,7800,600667,太极实业,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.007820055313857877
2026-02-02,1,98153.92,1063.92,600887,伊利股份,3800,600887,伊利股份,77,switch,,True,True,-0.00818099271711581
2026-02-03,1,98616.36,538.36,000959,首钢股份,17800,000959,首钢股份,100,switch,,True,True,0.004711375765736214
2026-02-04,1,99397.59,749.59,600985,淮北矿业,7600,600985,淮北矿业,100,switch,,True,True,0.00792191072556303
2026-02-05,1,95217.59,749.59,600985,淮北矿业,7600,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.04205333348625451
2026-02-06,1,94837.59,749.59,600985,淮北矿业,7600,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.003990859251951195
2026-02-09,1,94050.83,586.83,600531,豫光金铅,5600,600531,豫光金铅,100,switch,,True,True,-0.008295866649500439
2026-02-10,1,92034.83,586.83,600531,豫光金铅,5600,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.021435217530775597
2026-02-11,1,92997.56,2137.56,600887,伊利股份,3500,600887,伊利股份,60,switch,,True,True,0.010460496314275813
2026-02-12,1,92023.07,348.07,600667,太极实业,9500,600667,太极实业,95,switch,,True,True,-0.010478662020809937
2026-02-13,1,93061.02,397.02,600985,淮北矿业,7200,600985,淮北矿业,100,switch,,True,True,0.011279236826156724
2026-02-24,1,95548.28,406.28,000100,TCL科技,20200,000100,TCL科技,100,switch,,True,True,0.026727194694405876
2026-02-25,1,96760.28,406.28,000100,TCL科技,20200,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.01268468673638079
2026-02-26,1,95847.1,52.1,600667,太极实业,8500,600667,太极实业,100,switch,,True,True,-0.00943755020138426
2026-02-27,1,94062.1,52.1,600667,太极实业,8500,603257,中国瑞林,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.018623411662950673
2026-03-02,1,90732.67,1385.67,600531,豫光金铅,4700,600531,豫光金铅,100,switch,,True,True,-0.03539608407637085
2026-03-03,1,81802.67,1385.67,600531,豫光金铅,4700,600887,伊利股份,66,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0984209987427902
2026-03-04,1,78521.38,131.38,000056,*ST皇庭,40200,000056,*ST皇庭,91,switch,,True,True,-0.040112260394434496
2026-03-05,1,80844.63,504.63,600667,太极实业,7800,600667,太极实业,100,switch,,True,True,0.029587483052386565
2026-03-06,1,79665.47,458.47,002696,百洋股份,10300,002696,百洋股份,100,switch,,True,True,-0.01458550802941394
2026-03-09,1,78549.51,459.51,600985,淮北矿业,5700,600985,淮北矿业,100,switch,,True,True,-0.01400807652299052
2026-03-10,1,76641.72,742.72,600667,太极实业,7100,600667,太极实业,100,switch,,True,True,-0.02428773903236303
2026-03-11,1,75848.87,166.87,000100,TCL科技,15800,000100,TCL科技,57,switch,,True,True,-0.010344887875689768
2026-03-12,1,75923.47,186.47,600985,淮北矿业,5300,600985,淮北矿业,100,switch,,True,True,0.0009835347579998377
2026-03-13,1,74199.53,1959.53,600887,伊利股份,2800,600887,伊利股份,55,switch,,True,True,-0.02270628568478239
2026-03-16,1,74483.24,453.24,000524,岭南控股,5500,000524,岭南控股,100,switch,,True,True,0.0038236091252870086
2026-03-17,1,72863.72,1129.72,600667,太极实业,6200,600667,太极实业,100,switch,,True,True,-0.02174341502866961
2026-03-18,1,73218.04,68.04,000524,岭南控股,5500,000524,岭南控股,68,switch,,True,True,0.004862776701491489
2026-03-19,1,71050.2,1075.2,600999,招商证券,4500,600999,招商证券,61,switch,,True,True,-0.029608003710560937
2026-03-20,1,70028.98,36.98,600985,淮北矿业,5200,600985,淮北矿业,81,switch,,True,True,-0.014373217809379835
2026-03-23,1,72316.98,36.98,600985,淮北矿业,5200,600985,淮北矿业,100,hold,目标未变,False,True,0.03267218799988236
2026-03-24,1,72445.27,56.27,000056,*ST皇庭,37900,000056,*ST皇庭,100,switch,,True,True,0.0017739955401900875
2026-03-25,1,72744.53,984.53,000524,岭南控股,6000,000524,岭南控股,100,switch,,True,True,0.004130842496687492
2026-03-26,1,71826.74,1630.74,600887,伊利股份,2800,600887,伊利股份,75,switch,,True,True,-0.012616618734082041
2026-03-27,1,72308.64,652.64,002696,百洋股份,10400,002696,百洋股份,76,switch,,True,True,0.006709200501094692
2026-03-30,1,73372.44,172.44,000056,*ST皇庭,36600,000056,*ST皇庭,100,switch,,True,True,0.014711934839322094
2026-03-31,1,73657.82,1129.82,600999,招商证券,4800,600999,招商证券,85,switch,,True,True,0.003889471305574821
2026-04-01,1,75064.16,220.16,000524,岭南控股,6600,000524,岭南控股,100,switch,,True,True,0.019092881108889737
2026-04-02,1,71619.53,135.53,600887,伊利股份,2800,600887,伊利股份,69,switch,,True,True,-0.045889143367487284
2026-04-03,1,71311.53,135.53,600887,伊利股份,2800,600887,伊利股份,61,hold,目标未变,False,True,-0.004300502949404983
2026-04-07,1,71289.25,309.25,002696,百洋股份,10500,002696,百洋股份,100,switch,,True,True,-0.00031243194473595803
2026-04-08,1,73308.97,573.97,000524,岭南控股,6500,000524,岭南控股,100,switch,,True,True,0.02833134027921469
2026-04-09,1,70696.76,543.76,600667,太极实业,7300,600667,太极实业,83,switch,,True,True,-0.0356328836703067
2026-04-10,1,69817.82,1607.82,000623,吉林敖东,3800,000623,吉林敖东,84,switch,,True,True,-0.012432535805035339
2026-04-13,1,69742.39,211.39,000959,首钢股份,14700,000959,首钢股份,82,switch,,True,True,-0.0010803832030276128
2026-04-14,1,67756.98,50.98,000056,*ST皇庭,34900,000056,*ST皇庭,100,switch,,True,True,-0.028467765443656368
2026-04-15,1,65591.01,647.01,600985,淮北矿业,4800,600985,淮北矿业,83,switch,,True,True,-0.03196674350007922
2026-04-16,1,64944.44,1372.44,600531,豫光金铅,4600,600531,豫光金铅,94,switch,,True,True,-0.009857600912076103
2026-04-17,1,67612.44,1372.44,600531,豫光金铅,4600,600531,豫光金铅,100,hold,目标未变,False,True,0.04108126885072849
2026-04-20,1,70602.44,1372.44,600531,豫光金铅,4600,600531,豫光金铅,100,hold,目标未变,False,True,0.04422263121993519
2026-04-21,1,70924.44,1372.44,600531,豫光金铅,4600,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.004560748891964561
