date,track,action,symbol,name,price,shares,fee,cash_after
2026-01-05,1,BUY,600531,豫光金铅,12.39,8000,29.736,850.26
2026-01-06,1,SELL,600531,豫光金铅,12.73,8000,81.472,102608.79
2026-01-06,1,BUY,000056,*ST皇庭,2.1,48800,30.744,98.05
2026-01-07,1,SELL,000056,*ST皇庭,2.05,48800,80.032,100058.02
2026-01-07,1,BUY,600985,淮北矿业,11.55,8600,29.799,698.22
2026-01-08,1,SELL,600985,淮北矿业,11.41,8600,78.5008,98745.72
2026-01-08,1,BUY,000959,首钢股份,4.99,19700,29.4909,413.23
2026-01-09,1,SELL,000959,首钢股份,4.84,19700,76.2784,95684.95
2026-01-09,1,BUY,002696,百洋股份,7.33,13000,28.587,366.36
2026-01-12,1,SELL,002696,百洋股份,7.17,13000,74.568,93501.79
2026-01-12,1,BUY,000959,首钢股份,5.15,18100,27.9645,258.83
2026-01-13,1,SELL,000959,首钢股份,5.12,18100,74.1376,92856.69
2026-01-13,1,BUY,002696,百洋股份,7.42,12500,27.825,78.86
2026-01-14,1,SELL,002696,百洋股份,7.39,12500,73.9,92379.96
2026-01-14,1,BUY,000100,TCL科技,4.86,19000,27.702,12.26
2026-01-15,1,SELL,000100,TCL科技,4.85,19000,73.72,92088.54
2026-01-15,1,BUY,600667,太极实业,8.58,10700,27.5418,255.0
2026-01-19,1,SELL,600667,太极实业,9.4,10700,80.464,100754.54
2026-01-19,1,BUY,000100,TCL科技,4.88,20600,30.1584,196.38
2026-01-20,1,SELL,000100,TCL科技,4.87,20600,80.2576,100438.12
2026-01-20,1,BUY,600667,太极实业,9.62,10400,30.0144,360.11
2026-01-21,1,SELL,600667,太极实业,9.86,10400,82.0352,102822.07
2026-01-21,1,BUY,600531,豫光金铅,14.86,6900,30.7602,257.31
2026-01-22,1,SELL,600531,豫光金铅,15.15,6900,83.628,104708.68
2026-01-22,1,BUY,002696,百洋股份,7.81,13400,31.3962,23.29
2026-01-29,1,SELL,002696,百洋股份,7.45,13400,79.864,99773.42
2026-01-29,1,BUY,000524,岭南控股,12.77,7800,29.8818,137.54
2026-02-02,1,SELL,000524,岭南控股,12.58,7800,78.4992,98183.04
2026-02-02,1,BUY,600887,伊利股份,25.55,3800,29.127,1063.92
2026-02-03,1,SELL,600887,伊利股份,25.7,3800,78.128,98645.79
2026-02-03,1,BUY,000959,首钢股份,5.51,17800,29.4234,538.36
2026-02-04,1,SELL,000959,首钢股份,5.56,17800,79.1744,99427.19
2026-02-04,1,BUY,600985,淮北矿业,12.98,7600,29.5944,749.59
2026-02-09,1,SELL,600985,淮北矿业,12.29,7600,74.7232,94078.87
2026-02-09,1,BUY,600531,豫光金铅,16.69,5600,28.0392,586.83
2026-02-11,1,SELL,600531,豫光金铅,16.52,5600,74.0096,93024.82
