date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-01-05,1,99970.19,610.19,600667,太极实业,12000,600667,太极实业,96,entry,,False,True,0.0
2026-01-06,1,103217.08,107.08,000056,*ST皇庭,49100,000056,*ST皇庭,100,switch,,True,True,0.032478581865253986
2026-01-07,1,100651.41,166.41,600985,淮北矿业,8700,600985,淮北矿业,100,switch,,True,True,-0.024857029476129333
2026-01-08,1,99324.47,882.47,603231,索宝蛋白,5400,603231,索宝蛋白,70,switch,,True,True,-0.013183521224392258
2026-01-09,1,99593.57,109.57,000056,*ST皇庭,47600,000056,*ST皇庭,65,switch,,True,True,0.0027093021488058255
2026-01-12,1,100435.28,634.28,600667,太极实业,11700,600667,太极实业,63,switch,,True,True,0.008451449225085339
2026-01-13,1,97871.05,33.05,603231,索宝蛋白,5300,603231,索宝蛋白,79,switch,,True,True,-0.02553116793222454
2026-01-14,1,98825.05,33.05,603231,索宝蛋白,5300,603231,索宝蛋白,64,hold,目标未变,False,True,0.009747519823277706
2026-01-15,1,101575.35,331.35,600667,太极实业,11800,600667,太极实业,100,switch,,True,True,0.02782998844928497
2026-01-16,1,109835.35,331.35,600667,太极实业,11800,600667,太极实业,100,hold,目标未变,False,True,0.08131894204647083
2026-01-19,1,111129.35,249.35,600985,淮北矿业,9900,600985,淮北矿业,92,switch,,True,True,0.011781270783950637
2026-01-20,1,111205.3,575.3,600667,太极实业,11500,600667,太极实业,100,switch,,True,True,0.0006834378136828523
2026-01-21,1,113965.3,575.3,600667,太极实业,11500,603257,中国瑞林,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.024818960966788373
2026-01-22,1,111083.78,1009.78,600985,淮北矿业,9400,600985,淮北矿业,100,switch,,True,True,-0.025284187379842837
2026-01-23,1,110493.18,775.18,603257,中国瑞林,1700,603257,中国瑞林,75,switch,,True,True,-0.005316707803785681
2026-01-26,1,113213.18,775.18,603257,中国瑞林,1700,603257,中国瑞林,100,hold,目标未变,False,True,0.024616903957330294
2026-01-27,1,108640.35,510.35,600667,太极实业,11000,600667,太极实业,100,switch,,True,True,-0.04039132192912509
2026-01-28,1,113150.35,510.35,600667,太极实业,11000,600667,太极实业,100,hold,目标未变,False,True,0.041513121045725576
2026-01-29,1,112367.37,1037.37,600985,淮北矿业,9000,600985,淮北矿业,40,switch,,True,True,-0.006919819514477954
2026-01-30,1,112457.37,1037.37,600985,淮北矿业,9000,600667,太极实业,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.0008009442598861938
2026-02-02,1,105772.27,1712.27,603231,索宝蛋白,5500,603231,索宝蛋白,56,switch,,True,True,-0.05944563704450845
2026-02-03,1,104613.7,735.7,600985,淮北矿业,8700,600985,淮北矿业,80,switch,,True,True,-0.01095343798521109
2026-02-04,1,113661.7,735.7,600985,淮北矿业,8700,600985,淮北矿业,100,hold,目标未变,False,True,0.08648962803151017
2026-02-05,1,108876.7,735.7,600985,淮北矿业,8700,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.04209861369309098
2026-02-06,1,108441.7,735.7,600985,淮北矿业,8700,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0039953451932323025
2026-02-09,1,107540.91,66.91,600667,太极实业,10900,600667,太极实业,100,switch,,True,True,-0.008306675384100348
2026-02-10,1,105142.91,66.91,600667,太极实业,10900,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.02229849087198532
2026-02-11,1,102633.52,5121.52,603257,中国瑞林,1700,603257,中国瑞林,49,switch,,True,True,-0.023866468980171862
2026-02-12,1,102949.48,659.48,600667,太极实业,10600,600667,太极实业,95,switch,,True,True,0.003078526391767422
2026-02-13,1,104107.74,1147.74,600985,淮北矿业,8000,600985,淮北矿业,100,switch,,True,True,0.01125076105289713
2026-02-24,1,106987.74,1147.74,600985,淮北矿业,8000,600667,太极实业,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,0.027663649215706743
2026-02-25,1,106667.74,1147.74,600985,淮北矿业,8000,000056,*ST皇庭,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0029909969123564917
2026-02-26,1,106711.42,773.42,600667,太极实业,9400,600667,太极实业,100,switch,,True,True,0.0004094958794476078
2026-02-27,1,104737.42,773.42,600667,太极实业,9400,603257,中国瑞林,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.018498488727823115
2026-03-02,1,101165.42,773.42,600667,太极实业,9400,603257,中国瑞林,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.034104334439400974
2026-03-03,1,92416.47,565.47,603231,索宝蛋白,5100,603231,索宝蛋白,41,switch,,True,True,-0.08648162583617991
2026-03-04,1,91449.3,189.3,000056,*ST皇庭,46800,000056,*ST皇庭,91,switch,,True,True,-0.010465342378907172
2026-03-05,1,94153.93,423.93,600667,太极实业,9100,600667,太极实业,100,switch,,True,True,0.029575185375940505
2026-03-06,1,92778.21,264.21,603231,索宝蛋白,5100,603231,索宝蛋白,59,switch,,True,True,-0.014611392216979047
2026-03-09,1,92218.03,428.03,600985,淮北矿业,6700,600985,淮北矿业,100,switch,,True,True,-0.006037840135092121
2026-03-10,1,89975.37,179.37,600667,太极实业,8400,600667,太极实业,100,switch,,True,True,-0.024319105493795568
2026-03-11,1,89037.65,507.65,600985,淮北矿业,6500,600985,淮北矿业,55,switch,,True,True,-0.010421963255055289
2026-03-12,1,93392.65,507.65,600985,淮北矿业,6500,600985,淮北矿业,100,hold,目标未变,False,True,0.04891189289025477
2026-03-13,1,91277.98,1362.98,603231,索宝蛋白,4900,603231,索宝蛋白,52,switch,,True,True,-0.022642788270811454
2026-03-16,1,91081.98,1362.98,603231,索宝蛋白,4900,600667,太极实业,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0021472867826390907
2026-03-17,1,88976.43,1044.43,600667,太极实业,7600,600667,太极实业,100,switch,,True,True,-0.023117086387450136
2026-03-18,1,89410.84,10.84,000056,*ST皇庭,44700,000056,*ST皇庭,62,switch,,True,True,0.004882304223714051
2026-03-19,1,86187.01,127.01,600985,淮北矿业,6500,600985,淮北矿业,47,switch,,True,True,-0.03605636631978859
2026-03-20,1,87617.01,127.01,600985,淮北矿业,6500,600985,淮北矿业,81,hold,目标未变,False,True,0.016591827469127907
2026-03-23,1,90477.01,127.01,600985,淮北矿业,6500,600985,淮北矿业,100,hold,目标未变,False,True,0.03264206345320386
2026-03-24,1,90637.36,103.36,000056,*ST皇庭,47400,000056,*ST皇庭,100,switch,,True,True,0.0017722734206182533
2026-03-25,1,91011.25,9.25,600667,太极实业,8700,600667,太极实业,64,switch,,True,True,0.004125120149130579
2026-03-26,1,84741.01,128.01,000056,*ST皇庭,44300,000056,*ST皇庭,63,switch,,True,True,-0.0688952189976515
2026-03-27,1,85091.25,2726.25,603257,中国瑞林,1500,603257,中国瑞林,73,switch,,True,True,0.004133063790483504
2026-03-30,1,84505.44,105.44,000056,*ST皇庭,42200,000056,*ST皇庭,100,switch,,True,True,-0.00688449164867122
