date,track,action,symbol,name,price,shares,fee,cash_after
2026-01-05,1,BUY,600667,太极实业,8.28,12000,29.808,610.19
2026-01-06,1,SELL,600667,太极实业,8.56,12000,82.176,103248.02
2026-01-06,1,BUY,000056,*ST皇庭,2.1,49100,30.933,107.08
2026-01-07,1,SELL,000056,*ST皇庭,2.05,49100,80.524,100681.56
2026-01-07,1,BUY,600985,淮北矿业,11.55,8700,30.1455,166.41
2026-01-08,1,SELL,600985,淮北矿业,11.41,8700,79.4136,99354.0
2026-01-08,1,BUY,603231,索宝蛋白,18.23,5400,29.5326,882.47
2026-01-09,1,SELL,603231,索宝蛋白,18.3,5400,79.056,99623.41
2026-01-09,1,BUY,000056,*ST皇庭,2.09,47600,29.8452,109.57
2026-01-12,1,SELL,000056,*ST皇庭,2.11,47600,80.3488,100465.22
2026-01-12,1,BUY,600667,太极实业,8.53,11700,29.9403,634.28
2026-01-13,1,SELL,600667,太极实业,8.32,11700,77.8752,97900.4
2026-01-13,1,BUY,603231,索宝蛋白,18.46,5300,29.3514,33.05
2026-01-15,1,SELL,603231,索宝蛋白,19.18,5300,81.3232,101605.73
2026-01-15,1,BUY,600667,太极实业,8.58,11800,30.3732,331.35
2026-01-19,1,SELL,600667,太极实业,9.4,11800,88.736,111162.62
2026-01-19,1,BUY,600985,淮北矿业,11.2,9900,33.264,249.35
2026-01-20,1,SELL,600985,淮北矿业,11.22,9900,88.8624,111238.49
2026-01-20,1,BUY,600667,太极实业,9.62,11500,33.189,575.3
2026-01-22,1,SELL,600667,太极实业,9.62,11500,88.504,111116.8
2026-01-22,1,BUY,600985,淮北矿业,11.71,9400,33.0222,1009.78
2026-01-23,1,SELL,600985,淮北矿业,11.66,9400,87.6832,110526.09
2026-01-23,1,BUY,603257,中国瑞林,64.54,1700,32.9154,775.18
2026-01-27,1,SELL,603257,中国瑞林,63.52,1700,86.3872,108672.79
2026-01-27,1,BUY,600667,太极实业,9.83,11000,32.439,510.35
2026-01-29,1,SELL,600667,太极实业,10.18,11000,89.584,112400.77
2026-01-29,1,BUY,600985,淮北矿业,12.37,9000,33.399,1037.37
2026-02-02,1,SELL,600985,淮北矿业,11.65,9000,83.88,105803.49
2026-02-02,1,BUY,603231,索宝蛋白,18.92,5500,31.218,1712.27
2026-02-03,1,SELL,603231,索宝蛋白,18.73,5500,82.412,104644.86
2026-02-03,1,BUY,600985,淮北矿业,11.94,8700,31.1634,735.7
2026-02-09,1,SELL,600985,淮北矿业,12.29,8700,85.5384,107573.16
2026-02-09,1,BUY,600667,太极实业,9.86,10900,32.2422,66.91
2026-02-11,1,SELL,600667,太极实业,9.42,10900,82.1424,102662.77
2026-02-11,1,BUY,603257,中国瑞林,57.36,1700,29.2536,5121.52
2026-02-12,1,SELL,603257,中国瑞林,57.61,1700,78.3496,102980.17
2026-02-12,1,BUY,600667,太极实业,9.65,10600,30.687,659.48
2026-02-13,1,SELL,600667,太极实业,9.77,10600,82.8496,104138.63
2026-02-13,1,BUY,600985,淮北矿业,12.87,8000,30.888,1147.74
2026-02-26,1,SELL,600985,淮北矿业,13.21,8000,84.544,106743.2
2026-02-26,1,BUY,600667,太极实业,11.27,9400,31.7814,773.42
2026-03-03,1,SELL,600667,太极实业,9.76,9400,73.3952,92444.02
2026-03-03,1,BUY,603231,索宝蛋白,18.01,5100,27.5553,565.47
2026-03-04,1,SELL,603231,索宝蛋白,17.84,5100,72.7872,91476.68
2026-03-04,1,BUY,000056,*ST皇庭,1.95,46800,27.378,189.3
2026-03-05,1,SELL,000056,*ST皇庭,2.01,46800,75.2544,94182.05
2026-03-05,1,BUY,600667,太极实业,10.3,9100,28.119,423.93
2026-03-06,1,SELL,600667,太极实业,10.16,9100,73.9648,92805.97
2026-03-06,1,BUY,603231,索宝蛋白,18.14,5100,27.7542,264.21
2026-03-09,1,SELL,603231,索宝蛋白,18.05,5100,73.644,92245.57
2026-03-09,1,BUY,600985,淮北矿业,13.7,6700,27.537,428.03
2026-03-10,1,SELL,600985,淮北矿业,13.38,6700,71.7168,90002.31
2026-03-10,1,BUY,600667,太极实业,10.69,8400,26.9388,179.37
2026-03-11,1,SELL,600667,太极实业,10.59,8400,71.1648,89064.21
2026-03-11,1,BUY,600985,淮北矿业,13.62,6500,26.559,507.65
2026-03-13,1,SELL,600985,淮北矿业,13.98,6500,72.696,91304.95
2026-03-13,1,BUY,603231,索宝蛋白,18.35,4900,26.9745,1362.98
2026-03-17,1,SELL,603231,索宝蛋白,17.9,4900,70.168,89002.81
2026-03-17,1,BUY,600667,太极实业,11.57,7600,26.3796,1044.43
2026-03-18,1,SELL,600667,太极实业,11.64,7600,70.7712,89437.66
2026-03-18,1,BUY,000056,*ST皇庭,2.0,44700,26.82,10.84
2026-03-19,1,SELL,000056,*ST皇庭,1.93,44700,69.0168,86212.82
2026-03-19,1,BUY,600985,淮北矿业,13.24,6500,25.818,127.01
2026-03-24,1,SELL,600985,淮北矿业,13.94,6500,72.488,90664.52
2026-03-24,1,BUY,000056,*ST皇庭,1.91,47400,27.1602,103.36
2026-03-25,1,SELL,000056,*ST皇庭,1.92,47400,72.8064,91038.55
2026-03-25,1,BUY,600667,太极实业,10.46,8700,27.3006,9.25
2026-03-26,1,SELL,600667,太极实业,9.75,8700,67.86,84766.39
2026-03-26,1,BUY,000056,*ST皇庭,1.91,44300,25.3839,128.01
2026-03-27,1,SELL,000056,*ST皇庭,1.92,44300,68.0448,85115.96
2026-03-27,1,BUY,603257,中国瑞林,54.91,1500,24.7095,2726.25
2026-03-30,1,SELL,603257,中国瑞林,54.58,1500,65.496,84530.76
2026-03-30,1,BUY,000056,*ST皇庭,2.0,42200,25.32,105.44
2026-04-01,1,SELL,000056,*ST皇庭,2.03,42200,68.5328,85702.9
2026-04-01,1,BUY,600985,淮北矿业,13.58,6300,25.6662,123.24
2026-04-02,1,SELL,600985,淮北矿业,13.6,6300,68.544,85734.69
2026-04-02,1,BUY,603231,索宝蛋白,17.11,5000,25.665,159.03
2026-04-03,1,SELL,603231,索宝蛋白,16.6,5000,66.4,83092.63
2026-04-03,1,BUY,600667,太极实业,8.54,9700,24.8514,229.78
2026-04-10,1,SELL,600667,太极实业,9.5,9700,73.72,92306.06
2026-04-10,1,BUY,603257,中国瑞林,57.03,1600,27.3744,1030.68
2026-04-13,1,SELL,603257,中国瑞林,56.21,1600,71.9488,90894.73
2026-04-13,1,BUY,600667,太极实业,9.59,9400,27.0438,721.69
