date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-01-05,1,99970.29,934.29,002128,电投能源,3600,002128,电投能源,78,entry,,False,True,0.0
2026-01-06,1,104542.29,934.29,002128,电投能源,3600,002128,电投能源,100,hold,目标未变,False,True,0.04573358744883116
2026-01-07,1,103493.27,538.27,600961,株冶集团,5900,600961,株冶集团,90,switch,,True,True,-0.010034408084995894
2026-01-08,1,101022.51,82.51,600661,昂立教育,9800,600661,昂立教育,70,switch,,True,True,-0.023873629657271578
2026-01-09,1,101988.61,1060.61,002345,潮宏基,8300,002345,潮宏基,100,switch,,True,True,0.00956321516857983
2026-01-12,1,100799.95,1511.95,600131,国网信通,5600,600131,国网信通,81,switch,,True,True,-0.01165483086787833
2026-01-13,1,98564.92,908.92,002345,潮宏基,7800,002345,潮宏基,100,switch,,True,True,-0.022172927665142672
2026-01-14,1,101262.4,762.4,600989,宝丰能源,5000,600989,宝丰能源,100,switch,,True,True,0.027367546181744862
2026-01-15,1,102750.38,1605.38,000933,神火股份,3300,000933,神火股份,100,switch,,True,True,0.01469429916731202
2026-01-16,1,101452.04,204.04,600131,国网信通,5600,600131,国网信通,100,switch,,True,True,-0.01263586567757713
2026-01-19,1,103354.76,1114.76,002345,潮宏基,8000,002345,潮宏基,100,switch,,True,True,0.018754871760094716
2026-01-20,1,105754.76,1114.76,002345,潮宏基,8000,002345,潮宏基,89,hold,目标未变,False,True,0.023220991466672558
2026-01-21,1,105479.85,1082.85,600961,株冶集团,5100,600961,株冶集团,100,switch,,True,True,-0.0025995047409684835
2026-01-22,1,102614.27,1705.27,600989,宝丰能源,4700,600989,宝丰能源,76,switch,,True,True,-0.027167084518986306
2026-01-23,1,103911.32,261.32,002345,潮宏基,7500,002345,潮宏基,100,switch,,True,True,0.012640054838376713
2026-01-26,1,106794.03,234.03,600961,株冶集团,4500,600961,株冶集团,100,switch,,True,True,0.027742020792344668
2026-01-27,1,103036.12,1130.12,601168,西部矿业,2900,601168,西部矿业,68,switch,,True,True,-0.03518839021244913
2026-01-28,1,110774.83,2491.83,000933,神火股份,3100,000933,神火股份,100,switch,,True,True,0.07510676838374741
2026-01-29,1,108580.93,2146.93,601168,西部矿业,2700,601168,西部矿业,98,switch,,True,True,-0.01980504054937393
2026-01-30,1,97942.93,2146.93,601168,西部矿业,2700,600131,国网信通,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0979730050203107
2026-02-02,1,88384.93,2146.93,601168,西部矿业,2700,600661,昂立教育,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.09758744199300551
2026-02-03,1,91121.48,471.48,002345,潮宏基,7400,002345,潮宏基,99,switch,,True,True,0.030961726167571868
2026-02-04,1,90208.68,448.68,002128,电投能源,3200,002128,电投能源,91,switch,,True,True,-0.010017396556772362
2026-02-05,1,87329.15,827.15,600661,昂立教育,7800,600661,昂立教育,73,switch,,True,True,-0.0319207641659317
2026-02-06,1,86783.15,827.15,600661,昂立教育,7800,002345,潮宏基,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0062522078824768235
2026-02-09,1,87390.01,1350.01,600131,国网信通,4500,600131,国网信通,100,switch,,True,True,0.006992832133887683
2026-02-10,1,87205.58,1629.58,600989,宝丰能源,3800,600989,宝丰能源,63,switch,,True,True,-0.002110424292204538
2026-02-11,1,89312.85,977.85,600131,国网信通,4500,600131,国网信通,100,switch,,True,True,0.024164394067443862
2026-02-12,1,87912.2,1156.2,600961,株冶集团,4100,600961,株冶集团,92,switch,,True,True,-0.015682513770414963
2026-02-13,1,83966.73,116.73,600661,昂立教育,7800,600661,昂立教育,59,switch,,True,True,-0.04487966402842836
2026-02-24,1,84576.01,1000.01,002170,芭田股份,6200,002170,芭田股份,100,switch,,True,True,0.007256207309728424
