date,track,action,symbol,name,price,shares,fee,cash_after
2026-01-05,1,BUY,002128,电投能源,27.51,3600,29.7108,934.29
2026-01-07,1,SELL,002128,电投能源,28.52,3600,82.1376,103524.15
2026-01-07,1,BUY,600961,株冶集团,17.45,5900,30.8865,538.27
2026-01-08,1,SELL,600961,株冶集团,17.05,5900,80.476,101052.79
2026-01-08,1,BUY,600661,昂立教育,10.3,9800,30.282,82.51
2026-01-09,1,SELL,600661,昂立教育,10.41,9800,81.6144,102018.89
2026-01-09,1,BUY,002345,潮宏基,12.16,8300,30.2784,1060.61
2026-01-12,1,SELL,002345,潮宏基,12.03,8300,79.8792,100829.74
2026-01-12,1,BUY,600131,国网信通,17.73,5600,29.7864,1511.95
2026-01-13,1,SELL,600131,国网信通,17.35,5600,77.728,98594.22
2026-01-13,1,BUY,002345,潮宏基,12.52,7800,29.2968,908.92
2026-01-14,1,SELL,002345,潮宏基,12.88,7800,80.3712,101292.55
2026-01-14,1,BUY,600989,宝丰能源,20.1,5000,30.15,762.4
2026-01-15,1,SELL,600989,宝丰能源,20.42,5000,81.68,102780.72
2026-01-15,1,BUY,000933,神火股份,30.65,3300,30.3435,1605.38
2026-01-16,1,SELL,000933,神火股份,30.29,3300,79.9656,101482.41
2026-01-16,1,BUY,600131,国网信通,18.08,5600,30.3744,204.04
2026-01-19,1,SELL,600131,国网信通,18.44,5600,82.6112,103385.43
2026-01-19,1,BUY,002345,潮宏基,12.78,8000,30.672,1114.76
2026-01-21,1,SELL,002345,潮宏基,13.06,8000,83.584,105511.17
2026-01-21,1,BUY,600961,株冶集团,20.47,5100,31.3191,1082.85
2026-01-22,1,SELL,600961,株冶集团,19.93,5100,81.3144,102644.54
2026-01-22,1,BUY,600989,宝丰能源,21.47,4700,30.2727,1705.27
2026-01-23,1,SELL,600989,宝丰能源,21.77,4700,81.8552,103942.41
2026-01-23,1,BUY,002345,潮宏基,13.82,7500,31.095,261.32
2026-01-26,1,SELL,002345,潮宏基,14.22,7500,85.32,106826.0
2026-01-26,1,BUY,600961,株冶集团,23.68,4500,31.968,234.03
2026-01-27,1,SELL,600961,株冶集团,22.87,4500,82.332,103066.7
2026-01-27,1,BUY,601168,西部矿业,35.14,2900,30.5718,1130.12
2026-01-28,1,SELL,601168,西部矿业,37.85,2900,87.812,110807.31
2026-01-28,1,BUY,000933,神火股份,34.93,3100,32.4849,2491.83
2026-01-29,1,SELL,000933,神火股份,34.26,3100,84.9648,108612.86
2026-01-29,1,BUY,601168,西部矿业,39.42,2700,31.9302,2146.93
2026-02-03,1,SELL,601168,西部矿业,32.99,2700,71.2584,91148.67
2026-02-03,1,BUY,002345,潮宏基,12.25,7400,27.195,471.48
2026-02-04,1,SELL,002345,潮宏基,12.14,7400,71.8688,90235.61
2026-02-04,1,BUY,002128,电投能源,28.05,3200,26.928,448.68
2026-02-05,1,SELL,002128,电投能源,27.18,3200,69.5808,87355.1
2026-02-05,1,BUY,600661,昂立教育,11.09,7800,25.9506,827.15
