date,track,equity,cash,holding,holding_name,shares,target,target_name,target_strength,action,reason,switched,rebalance,day_return
2026-01-05,1,99970.07,214.07,000933,神火股份,3600,000933,神火股份,74,entry,,False,True,0.0
2026-01-06,1,104614.07,214.07,000933,神火股份,3600,000933,神火股份,78,hold,目标未变,False,True,0.04645390365336355
2026-01-07,1,105470.37,770.37,600961,株冶集团,6000,600961,株冶集团,90,switch,,True,True,0.008185323446454174
2026-01-08,1,102957.91,904.91,600131,国网信通,6100,600131,国网信通,57,switch,,True,True,-0.023821477065075203
2026-01-09,1,103272.04,322.04,600961,株冶集团,5800,600961,株冶集团,97,switch,,True,True,0.003051052609750915
2026-01-12,1,104317.9,1483.9,600131,国网信通,5800,600131,国网信通,81,switch,,True,True,0.010127232888979432
2026-01-13,1,102003.19,1295.19,000933,神火股份,3400,000933,神火股份,88,switch,,True,True,-0.02218900112061295
2026-01-14,1,101960.42,1460.42,600989,宝丰能源,5000,600989,宝丰能源,100,switch,,True,True,-0.00041930061206918445
2026-01-15,1,103448.39,2303.39,000933,神火股份,3300,000933,神火股份,100,switch,,True,True,0.014593604067146826
2026-01-16,1,102150.05,902.05,600131,国网信通,5600,600131,国网信通,100,switch,,True,True,-0.012550606152497812
2026-01-19,1,104166.05,902.05,600131,国网信通,5600,600131,国网信通,97,hold,目标未变,False,True,0.01973567315923974
2026-01-20,1,105171.35,1193.35,600989,宝丰能源,4900,600989,宝丰能源,89,switch,,True,True,0.00965093713354781
2026-01-21,1,103931.37,1581.37,600961,株冶集团,5000,600961,株冶集团,100,switch,,True,True,-0.011790093024383608
2026-01-22,1,101121.37,212.37,600989,宝丰能源,4700,600989,宝丰能源,76,switch,,True,True,-0.02703707263745292
2026-01-23,1,102419.05,852.05,600961,株冶集团,4700,600961,株冶集团,100,switch,,True,True,0.012832895756851537
2026-01-26,1,112148.05,852.05,600961,株冶集团,4700,600961,株冶集团,100,hold,目标未变,False,True,0.0949920937559956
2026-01-27,1,108223.43,2803.43,601168,西部矿业,3000,601168,西部矿业,68,switch,,True,True,-0.0349949909962769
2026-01-28,1,116228.01,959.01,000933,神火股份,3300,000933,神火股份,100,switch,,True,True,0.07396346613667681
2026-01-29,1,113893.45,3517.45,601168,西部矿业,2800,601168,西部矿业,98,switch,,True,True,-0.020086036059638324
2026-01-30,1,102861.45,3517.45,601168,西部矿业,2800,600131,国网信通,100,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0968624622399269
2026-02-02,1,92949.45,3517.45,601168,西部矿业,2800,600131,国网信通,70,hold_fail,涨停/跌停/停牌，继续持有,False,True,-0.0963626314814734
2026-02-03,1,95787.46,2133.46,600989,宝丰能源,4300,600989,宝丰能源,84,switch,,True,True,0.030532832631070095
2026-02-04,1,95984.74,794.74,000933,神火股份,3000,000933,神火股份,85,switch,,True,True,0.002059559779536979
2026-02-05,1,92763.32,227.32,600989,宝丰能源,4300,600989,宝丰能源,44,switch,,True,True,-0.033561793260053596
2026-02-06,1,94483.32,227.32,600989,宝丰能源,4300,600989,宝丰能源,73,hold,目标未变,False,True,0.018541811569486644
