date,track,action,symbol,name,price,shares,fee,cash_after
2026-01-05,1,BUY,000933,神火股份,27.71,3600,29.9268,214.07
2026-01-07,1,SELL,000933,神火股份,29.27,3600,84.2976,105501.78
2026-01-07,1,BUY,600961,株冶集团,17.45,6000,31.41,770.37
2026-01-08,1,SELL,600961,株冶集团,17.05,6000,81.84,102988.53
2026-01-08,1,BUY,600131,国网信通,16.73,6100,30.6159,904.91
2026-01-09,1,SELL,600131,国网信通,16.8,6100,81.984,103302.93
2026-01-09,1,BUY,600961,株冶集团,17.75,5800,30.885,322.04
2026-01-12,1,SELL,600961,株冶集团,17.95,5800,83.288,104348.75
2026-01-12,1,BUY,600131,国网信通,17.73,5800,30.8502,1483.9
2026-01-13,1,SELL,600131,国网信通,17.35,5800,80.504,102033.4
2026-01-13,1,BUY,000933,神火股份,29.62,3400,30.2124,1295.19
2026-01-14,1,SELL,000933,神火股份,29.64,3400,80.6208,101990.57
2026-01-14,1,BUY,600989,宝丰能源,20.1,5000,30.15,1460.42
2026-01-15,1,SELL,600989,宝丰能源,20.42,5000,81.68,103478.74
2026-01-15,1,BUY,000933,神火股份,30.65,3300,30.3435,2303.39
2026-01-16,1,SELL,000933,神火股份,30.29,3300,79.9656,102180.43
2026-01-16,1,BUY,600131,国网信通,18.08,5600,30.3744,902.05
2026-01-20,1,SELL,600131,国网信通,18.64,5600,83.5072,105202.54
2026-01-20,1,BUY,600989,宝丰能源,21.22,4900,31.1934,1193.35
2026-01-21,1,SELL,600989,宝丰能源,20.99,4900,82.2808,103962.07
2026-01-21,1,BUY,600961,株冶集团,20.47,5000,30.705,1581.37
2026-01-22,1,SELL,600961,株冶集团,19.93,5000,79.72,101151.65
2026-01-22,1,BUY,600989,宝丰能源,21.47,4700,30.2727,212.37
2026-01-23,1,SELL,600989,宝丰能源,21.77,4700,81.8552,102449.52
2026-01-23,1,BUY,600961,株冶集团,21.61,4700,30.4701,852.05
2026-01-27,1,SELL,600961,株冶集团,22.87,4700,85.9912,108255.06
2026-01-27,1,BUY,601168,西部矿业,35.14,3000,31.626,2803.43
2026-01-28,1,SELL,601168,西部矿业,37.85,3000,90.84,116262.59
2026-01-28,1,BUY,000933,神火股份,34.93,3300,34.5807,959.01
2026-01-29,1,SELL,000933,神火股份,34.26,3300,90.4464,113926.56
2026-01-29,1,BUY,601168,西部矿业,39.42,2800,33.1128,3517.45
2026-02-03,1,SELL,601168,西部矿业,32.99,2800,73.8976,95815.55
2026-02-03,1,BUY,600989,宝丰能源,21.78,4300,28.0962,2133.46
2026-02-04,1,SELL,600989,宝丰能源,21.85,4300,75.164,96013.29
2026-02-04,1,BUY,000933,神火股份,31.73,3000,28.557,794.74
2026-02-05,1,SELL,000933,神火股份,30.69,3000,73.656,92791.08
2026-02-05,1,BUY,600989,宝丰能源,21.52,4300,27.7608,227.32
2026-02-09,1,SELL,600989,宝丰能源,22.29,4300,76.6776,95997.64
2026-02-09,1,BUY,600131,国网信通,19.12,5000,28.68,368.96
2026-02-10,1,SELL,600131,国网信通,19.1,5000,76.4,95792.56
2026-02-10,1,BUY,600989,宝丰能源,22.52,4200,28.3752,1180.19
2026-02-11,1,SELL,600989,宝丰能源,23.1,4200,77.616,98122.57
2026-02-11,1,BUY,600131,国网信通,19.63,4900,28.8561,1906.71
2026-02-12,1,SELL,600131,国网信通,19.34,4900,75.8128,96596.9
2026-02-12,1,BUY,600961,株冶集团,21.16,4500,28.566,1348.34
2026-02-13,1,SELL,600961,株冶集团,20.22,4500,72.792,92265.54
2026-02-13,1,BUY,000933,神火股份,29.08,3100,27.0444,2090.5
2026-02-24,1,SELL,000933,神火股份,29.97,3100,74.3256,94923.17
2026-02-24,1,BUY,600961,株冶集团,21.03,4500,28.3905,259.78
2026-03-04,1,SELL,600961,株冶集团,23.18,4500,83.448,104486.33
2026-03-04,1,BUY,000933,神火股份,34.48,3000,31.032,1015.3
2026-03-06,1,SELL,000933,神火股份,34.19,3000,82.056,103503.25
2026-03-06,1,BUY,600131,国网信通,21.41,4800,30.8304,704.42
2026-03-09,1,SELL,600131,国网信通,22.27,4800,85.5168,107514.9
2026-03-09,1,BUY,000933,神火股份,35.3,3000,31.77,1583.13
2026-03-10,1,SELL,000933,神火股份,33.79,3000,81.096,102872.03
2026-03-10,1,BUY,601168,西部矿业,31.57,3200,30.3072,1817.73
2026-03-11,1,SELL,601168,西部矿业,31.1,3200,79.616,101258.11
2026-03-11,1,BUY,000933,神火股份,34.93,2800,29.3412,3424.77
2026-03-13,1,SELL,000933,神火股份,35.9,2800,80.416,103864.35
2026-03-13,1,BUY,600989,宝丰能源,33.63,3000,30.267,2944.09
