symbol,name,group,pool,group_rank,experiment,label
600667,太极实业,M加,top5,1,mplus_top5,M加前五
000056,*ST皇庭,M加,top5,2,mplus_top5,M加前五
600985,淮北矿业,M加,top5,3,mplus_top5,M加前五
603257,中国瑞林,M加,top5,4,mplus_top5,M加前五
603231,索宝蛋白,M加,top5,5,mplus_top5,M加前五
000524,岭南控股,M加,full,1,mplus_full,M加全池
600667,太极实业,M加,full,1,mplus_full,M加全池
000056,*ST皇庭,M加,full,2,mplus_full,M加全池
600985,淮北矿业,M加,full,3,mplus_full,M加全池
603257,中国瑞林,M加,full,4,mplus_full,M加全池
603231,索宝蛋白,M加,full,5,mplus_full,M加全池
000623,吉林敖东,M加,full,7,mplus_full,M加全池
000100,TCL科技,M加,full,9,mplus_full,M加全池
600887,伊利股份,M加,full,9,mplus_full,M加全池
603099,长白山,M加,full,10,mplus_full,M加全池
000959,首钢股份,M加,full,11,mplus_full,M加全池
600999,招商证券,M加,full,12,mplus_full,M加全池
600531,豫光金铅,M加,full,12,mplus_full,M加全池
002696,百洋股份,M加,full,14,mplus_full,M加全池
600131,国网信通,Q,top5,1,q_top5,Q前五
600989,宝丰能源,Q,top5,2,q_top5,Q前五
000933,神火股份,Q,top5,3,q_top5,Q前五
600961,株冶集团,Q,top5,4,q_top5,Q前五
601168,西部矿业,Q,top5,5,q_top5,Q前五
002345,潮宏基,Q,full,1,q_full,Q全池
002170,芭田股份,Q,full,6,q_full,Q全池
601168,西部矿业,Q,full,5,q_full,Q全池
600961,株冶集团,Q,full,4,q_full,Q全池
600993,马应龙,Q,full,5,q_full,Q全池
000933,神火股份,Q,full,3,q_full,Q全池
002128,电投能源,Q,full,7,q_full,Q全池
600989,宝丰能源,Q,full,2,q_full,Q全池
600131,国网信通,Q,full,1,q_full,Q全池
600661,昂立教育,Q,full,10,q_full,Q全池
