分组,排名,股票代码,股票名称,行业,总分,资产安全得分,现金流质量得分,盈利质量得分,运营效率得分
M加,1,000999,华润三九,中成药,0.4168,0.781,0.3138,0.5838,-0.3179
M加,2,002647,仁东控股,多元金融,0.3561,0.083,-0.1497,0.3944,1.7465
M加,3,600272,开开实业,医药商业,0.2364,0.1014,0.7525,-0.2856,0.4734
M加,4,603998,方盛制药,中成药,0.2195,-0.0604,0.2194,0.6671,-0.2092
M加,5,002653,海思科,化学制药,0.1748,0.0213,0.3211,0.1787,0.1305
M加,6,002294,信立泰,化学制药,0.1498,0.0594,-0.0216,0.4829,-0.0228
M加,7,600857,宁波中百,百货,0.0629,0.583,0.2886,-0.5435,-0.0424
M加,8,002515,金字火腿,食品,-0.0567,0.008,0.1898,-0.4027,0.0345
M加,9,603257,中国瑞林,建筑工程,-0.0974,1.1402,-0.4983,-0.4296,-0.6937
M加,10,002552,宝鼎科技,元器件,-0.1433,-0.9572,0.4572,-0.358,0.4414
M加,11,601108,财通证券,证券,-0.3384,-0.4508,-0.5001,-0.2521,0.0
M加,12,603588,高能环境,环境保护,-0.489,-0.8563,-0.4205,-0.0273,-0.9372
M加,13,600459,贵研铂业,小金属,-0.4917,-0.4525,-0.9523,-0.008,-0.6031
