rank,asof,symbol,stock_name,company_q,roe,ocf_to_or,upside,close
1,2026-08-03,601108,财通证券,0.9298321901028908,7.0902,0.7737,1.5,8.5
2,2026-08-03,000755,山西高速,0.922472644128695,8.5592,0.7236,1.3876558193802762,4.78
3,2026-08-03,002891,中宠股份,0.8727523272905439,13.6195,0.1024,1.5,32.25
4,2026-08-03,603856,东宏股份,0.8528281343567967,9.7312,0.1726,1.1740523925736,11.53
5,2026-08-03,600600,青岛啤酒,0.8465390059339104,5.7054,0.2914,1.1728094851626523,56.19
6,2026-08-03,002468,申通快递,0.8415258043442757,13.2051,0.0683,1.5,14.37
7,2026-08-03,002380,科远智慧,0.8390848712504764,6.0585,0.2856,0.8815681344153496,28.78
8,2026-08-03,002487,大金重工,0.8364050846534923,5.1174,0.2294,1.3958802243845012,40.8
9,2026-08-03,601991,大唐发电,0.8345031030540585,3.5453,0.2831,1.5,6.18
10,2026-08-03,605090,九丰能源,0.8289523109586805,14.425,0.0806,1.1882455245481531,32.46
11,2026-08-03,600999,招商证券,0.8182692307692307,2.3418,2.8239,1.5,17.67
12,2026-08-03,600961,株冶集团,0.8105639936850128,24.8158,0.0827,0.7447218213364899,22.9
13,2026-08-03,601949,中国出版,0.8050016331863465,6.5886,0.1505,0.928631008801625,5.58
14,2026-08-03,600827,百联股份,0.7982463661603789,3.8652,0.1524,1.5,8.09
15,2026-08-03,605016,百龙创园,0.7956353094888127,5.9644,0.3495,0.18792839434154884,21.3
16,2026-08-03,600930,华电新能,0.7762943001796505,5.9894,0.8166,0.0,4.35
17,2026-08-03,002731,*ST萃华,0.7755042462845011,9.707,0.0135,1.5,1.96
18,2026-08-03,603755,日辰股份,0.7699003756328597,11.2463,0.2187,0.0,22.4
19,2026-08-03,002452,长高电气,0.765974603952311,2.0521,0.2394,1.5,11.15
20,2026-08-03,603345,安井食品,0.7415700364744952,3.5703,0.2215,0.38093623513954533,86.53
21,2026-08-03,000100,TCL科技,0.7408310196526757,2.488,0.2622,0.8431831828722873,4.7
22,2026-08-03,002946,新乳业,0.7397517556753226,4.7698,0.1006,0.8300816685254948,17.73
23,2026-08-03,603031,安孚科技,0.7294885404758016,4.7791,0.1883,0.17793080846880183,36.26
24,2026-08-03,605599,菜百股份,0.7248407643312103,26.1808,0.0689,0.0,16.43
25,2026-08-03,002294,信立泰,0.7081632097555665,7.3845,0.2418,-0.3492226094807467,33.2
26,2026-08-03,000506,招金黄金,0.6947125592030051,23.6036,0.0689,-0.08969626162251176,14.71
27,2026-08-03,600059,古越龙山,0.6880477979204094,3.7829,0.1842,0.06553003665744006,8.26
28,2026-08-03,000688,国城矿业,0.6833619140943982,12.6095,0.2187,-0.5613066381802392,28.42
29,2026-08-03,002973,侨银股份,0.6828828460994066,7.3347,0.1963,-0.32245581793265155,9.34
30,2026-08-03,600415,小商品城,0.6798845881648429,4.2312,0.0135,1.2663528797744297,12.58
31,2026-08-03,603257,中国瑞林,0.6760520442049105,7.3421,0.1042,-0.10476022995922307,62.7
32,2026-08-03,002653,海思科,0.6744637704828789,12.1435,0.2228,-0.5856560701074163,58.9
33,2026-08-03,003816,中国广核,0.6738717404322501,2.2004,0.2131,0.27939815546296254,4.16
34,2026-08-03,605589,圣泉集团,0.671566225706353,9.7178,0.028,0.005167673196837974,32.92
35,2026-08-03,603081,大丰实业,0.6478278621590724,2.8955,0.1985,0.0,8.92
36,2026-08-03,600186,莲花控股,0.644660841635364,16.8949,0.0638,-0.3885024573915288,8.36
37,2026-08-03,000681,视觉中国,0.6432386085252327,6.4142,0.049,0.0,18.09
38,2026-08-03,000056,*ST皇庭,0.6423566878980892,,0.6719,,1.92
39,2026-08-03,603045,福达合金,0.6401328324895204,15.5804,-0.0724,0.08647694477393086,46.52
40,2026-08-03,600143,金发科技,0.6353135717785399,6.1437,0.0903,-0.18589115138685242,15.63
41,2026-08-03,605580,恒盛能源,0.6295089553051336,4.6327,0.0224,0.20284942150156238,17.15
42,2026-08-03,002266,浙富控股,0.6287522456312266,9.5873,0.0013,0.0,4.75
43,2026-08-03,002534,西子洁能,0.6154363329522565,1.0673,0.058,1.4059189469413518,14.11
44,2026-08-03,600576,祥源文旅,0.6078950949970058,0.7005,0.191,0.3992351220862824,5.63
45,2026-08-03,600197,伊力特,0.6058468071206924,5.5837,-0.05,0.2558095654596688,10.61
46,2026-08-03,603739,蔚蓝生物,0.6047825140181828,3.9662,0.0834,-0.04677724623675217,11.53
47,2026-08-03,603589,口子窖,0.603746801676738,6.4383,-0.0542,0.12498499276493291,20.72
48,2026-08-03,600965,*ST福成,0.6000258587838205,2.6292,0.1841,-0.10932637950872992,2.66
49,2026-08-03,600531,豫光金铅,0.6000040829658664,4.0291,-0.0257,0.36888760249616737,11.78
50,2026-08-03,002354,天娱数科,0.5999101747509391,2.3601,0.1408,,7.16
51,2026-08-03,600392,盛和资源,0.5981653873373619,7.8351,0.0489,-0.37159063284985017,21.08
52,2026-08-03,002647,仁东控股,0.5930507920953781,7.9426,-0.0535,,9.52
53,2026-08-03,601611,中国核建,0.590943981708313,4.1428,0.0001,0.13252744017690166,11.61
54,2026-08-03,603231,索宝蛋白,0.5715784746039523,1.5765,0.0238,0.6045552477685441,15.02
55,2026-08-03,002315,焦点科技,0.5705359573193968,3.4864,-0.1038,0.821088732578968,27.17
56,2026-08-03,603588,高能环境,0.5637473460721869,6.0592,-0.1518,0.07552199581271646,12.7
57,2026-08-03,001215,千味央厨,0.5631947846916,3.4756,0.1106,-0.461371718812315,32.24
58,2026-08-03,001258,立新能源,0.5540142359409874,2.8579,0.5628,-0.7488838834670177,12.73
59,2026-08-03,002497,雅化集团,0.5520741466601339,5.9792,-0.0667,0.0,17.94
60,2026-08-03,002617,露笑科技,0.5489710926016659,3.3954,0.0601,-0.13123080279437538,6.17
61,2026-08-03,002695,煌上煌,0.5471010942348522,2.9565,0.2272,-0.6397240639612108,10.71
62,2026-08-03,603969,银龙股份,0.5465675866949753,2.3444,-0.0841,1.0020212867640859,7.38
63,2026-08-03,603052,可川科技,0.5398742446513147,1.4369,0.0768,,46.98
64,2026-08-03,001896,豫能控股,0.5337919864989928,0.828,0.2551,-0.26185698282601166,12.21
65,2026-08-03,002552,宝鼎科技,0.5316878980891719,4.3114,0.0526,-0.5135468367261903,32.51
66,2026-08-03,002443,金洲管道,0.5275368827916598,1.146,0.0293,0.2707198783786675,8.15
67,2026-08-03,000539,粤电力A,0.5187734770537318,-0.6487,0.2882,0.0,5.8
68,2026-08-03,600667,太极实业,0.5118106592628885,5.2286,0.0143,-0.5197029517333661,16.28
69,2026-08-03,002226,江南化工,0.5111641896673744,1.3948,-0.0408,0.5366920090932488,5.18
70,2026-08-03,603043,广州酒家,0.5107245903424247,1.3307,-0.0372,0.5802555957028879,14.24
71,2026-08-03,603685,晨丰科技,0.5093227720616256,1.3965,0.3296,-0.6778270635161303,25.05
72,2026-08-03,600113,浙江东日,0.5054276226250748,0.8492,0.5161,-0.6022005165857082,29.87
73,2026-08-03,603316,诚邦股份,0.502245631226523,4.3432,-0.2501,,12.18
74,2026-08-03,000601,韶能股份,0.49399531819913983,2.5456,0.0682,-0.4906067824009499,6.54
75,2026-08-03,002649,博彦科技,0.4926343295770047,2.5087,0.0454,-0.3190462028093932,9.22
76,2026-08-03,603776,永安行,0.4815694920790462,-6.9322,0.3,,19.05
77,2026-08-03,600459,贵研铂业,0.4793578855680767,2.8712,-0.1704,0.006293225375322731,18.51
78,2026-08-03,600841,动力新科,0.4756920627143557,0.5656,-0.2963,1.5,5.94
79,2026-08-03,002715,登云股份,0.47425281724644786,1.4322,0.0018,,13.26
80,2026-08-03,603206,嘉环科技,0.47312183570145355,2.3767,0.0961,-0.6041578194932042,14.01
81,2026-08-03,603636,南威软件,0.47186836518046704,-20.9618,0.5226,,6.87
82,2026-08-03,002023,海特高新,0.4706108116936142,-13.3834,0.3749,,9.59
83,2026-08-03,001211,双枪科技,0.46737710272742117,0.2832,0.086,,19.71
84,2026-08-03,000417,合百集团,0.46657956339485,1.3584,-0.0548,0.1850432484782325,5.75
85,2026-08-03,002149,西部材料,0.46048165387337364,3.2989,0.0805,-0.7488838834670177,34.9
86,2026-08-03,603099,长白山,0.4591785072676793,0.5393,0.066,0.0,39.5
87,2026-08-03,002515,金字火腿,0.45702270129021716,-0.3122,0.1043,,6.4
88,2026-08-03,001313,粤海饲料,0.45354401437203984,0.6948,0.041,0.0,7.29
89,2026-08-03,603466,风语筑,0.45249877511024006,-0.8576,0.1119,,10.12
90,2026-08-03,603391,力聚热能,0.4513085905601829,0.1652,-0.2822,1.5,53.78
91,2026-08-03,002987,京北方,0.4504572921770374,0.8409,-0.4865,1.120331924102874,11.68
92,2026-08-03,002696,百洋股份,0.4486920899341281,3.0013,-0.0777,-0.14685848544833358,5.43
93,2026-08-03,002194,武汉凡谷,0.44490445859872607,-0.4647,0.0989,,8.93
94,2026-08-03,002360,ST同德,0.4430589580271109,-74.3385,0.3728,,5.08
95,2026-08-03,003032,传智教育,0.4420463824922424,-7.447,0.2117,,9.69
96,2026-08-03,000060,中金岭南,0.4402607654200011,2.5532,-0.0515,-0.2122757888571638,6.35
