symbol,stock_name,pattern_id,combo_id,combo_name,state,state_code,select_tag,entry,position_frac,trial_ok,add_ok,score,signal_date,breakout_day,platform_level,breakout_high,breakout_close,breakout_vol,panic_low,close,pullback_bars,bars_since_breakout,pullback_ok,ma5_hold,macd_ok,turnover_fade,notes
002649,博彦科技,breakout_pullback_rebreak,4,上涨放量突破,建仓,entry,待选后通过,True,1.0,False,False,36.0,2026-08-05,2026-07-31,9.1,9.34,9.17,220427.65,,10.26,2,5,True,False,True,False,缩量回踩确认2日；再放量突破前高，主路径建仓；MACD红柱健康
003032,传智教育,breakout_pullback_rebreak,4,上涨放量突破,建仓,entry,待选后通过,True,1.0,False,False,36.0,2026-08-04,2026-07-28,6.02,6.62,6.62,350332.56,,10.66,2,8,True,False,True,False,缩量回踩确认2日；再放量突破前高，主路径建仓；MACD红柱健康
002187,广百股份,breakout_pullback_rebreak,4,上涨放量突破,缩量回踩确认,confirming,待选,False,0.6,False,True,16.0,2026-08-07,2026-07-29,5.23,5.23,5.17,222376.0,,5.25,2,7,True,False,True,False,缩量回踩确认2日；MACD红柱健康
002686,亿利达,breakout_pullback_rebreak,4,上涨放量突破,缩量回踩确认,confirming,待选,False,0.6,False,True,16.0,2026-08-07,2026-07-31,5.81,6.39,6.19,627943.5,,6.34,2,5,True,False,True,False,缩量回踩确认2日；MACD红柱健康
603000,人民网,breakout_pullback_rebreak,4,上涨放量突破,缩量回踩确认,confirming,待选,False,0.6,False,True,16.0,2026-08-07,2026-07-31,16.36,17.35,16.83,389414.0,,17.1,2,5,True,False,True,False,缩量回踩确认2日；MACD红柱健康
603099,长白山,breakout_pullback_rebreak,4,上涨放量突破,缩量回踩确认,confirming,待选,False,0.6,False,True,16.0,2026-08-07,2026-07-30,38.0,39.05,37.96,90934.05,,38.91,2,6,True,False,True,False,缩量回踩确认2日；MACD红柱健康
002226,江南化工,breakout_pullback_rebreak,4,上涨放量突破,缩量回踩确认,confirming,待选,False,0.6,False,True,10.0,2026-08-07,2026-08-03,5.01,5.21,5.18,331052.03,,5.07,2,4,True,False,False,False,缩量回踩确认2日
601611,中国核建,breakout_pullback_rebreak,4,上涨放量突破,缩量回踩确认,confirming,待选,False,0.0,False,False,22.0,2026-08-07,2026-08-03,10.91,11.61,11.61,761983.42,,11.69,0,4,False,False,True,True,MACD红柱健康；换手递减站住
002212,天融信,breakout_pullback_rebreak,4,上涨放量突破,缩量回踩确认,confirming,待选,False,0.0,False,False,16.0,2026-08-07,2026-07-31,6.6,6.86,6.57,1412926.26,,6.8,1,5,False,False,True,False,MACD红柱健康
002315,焦点科技,breakout_pullback_rebreak,4,上涨放量突破,缩量回踩确认,confirming,待选,False,0.0,False,False,16.0,2026-08-07,2026-07-31,26.45,27.5,26.89,191600.26,,27.3,1,5,False,False,True,False,MACD红柱健康
603081,大丰实业,volume_dump_reversal,6,下跌放量,试仓·放量破压,trial,待选,False,0.2,True,False,38.0,2026-08-06,2026-07-29,9.35,9.63,9.56,130405.0,8.36,9.56,1,7,False,True,True,True,止跌缩量候选；放量突破压力9.35·试仓20%；MA5强承接；MACD红柱健康；换手递减站住
002194,武汉凡谷,volume_dump_reversal,6,下跌放量,试仓·放量破压,trial,待选,False,0.2,True,False,32.0,2026-08-06,2026-07-28,9.9,10.09,10.09,405276.45,8.22,10.09,0,8,False,True,True,False,止跌缩量候选；放量突破压力9.90·试仓20%；MA5强承接；MACD红柱健康
000417,合百集团,volume_dump_reversal,6,下跌放量,止跌缩量候选,candidate,待选,False,0.0,False,False,6.0,2026-08-07,2026-07-31,8.55,8.55,8.55,513475.8,5.57,5.96,0,5,False,False,False,False,止跌缩量候选
000929,兰州黄河,volume_dump_reversal,6,下跌放量,止跌缩量候选,candidate,待选,False,0.0,False,False,6.0,2026-08-07,2026-07-30,9.36,9.36,9.36,47774.56,7.91,8.91,0,6,False,False,False,False,止跌缩量候选
