rank,asof,symbol,stock_name,upside,upside_raw,fair_price,close,pe_ttm,pe_ref,industry,undervalued
1,2026-08-07,000755,山西高速,1.5,1.645221753823642,12.168020067588753,4.6,14.3515,37.9629,路桥,True
2,2026-08-07,002452,长高电气,1.5,2.0312150673271185,34.858973274261864,11.5,19.5018,59.11415,电气设备,True
3,2026-08-07,002468,申通快递,1.5,1.706474081573,39.46039210933434,14.58,14.0267,37.9629,仓储物流,True
4,2026-08-07,002731,*ST萃华,1.5,22.732745686421605,40.58299512378095,1.71,1.5996,37.9629,服饰,True
5,2026-08-07,002891,中宠股份,1.5,2.3028097759759114,102.42013115301302,31.01,28.7603,94.9898,饲料,True
6,2026-08-07,600827,百联股份,1.5,2.41245685315691,26.1735440637135,7.67,11.1248,37.9629,超市连锁,True
7,2026-08-07,600841,动力新科,1.5,13.757774840615767,85.29993857875914,5.78,2.5724,37.9629,汽车配件,True
8,2026-08-07,600999,招商证券,1.5,2.193003852170841,58.1126701095093,18.2,11.8894,37.9629,证券,True
9,2026-08-07,601108,财通证券,1.5,1.8599657975425457,24.19531064720994,8.46,13.2739,37.9629,证券,True
10,2026-08-07,601991,大唐发电,1.5,1.5814038881295769,16.495170845147996,6.39,14.7063,37.9629,火力发电,True
11,2026-08-07,603856,东宏股份,1.5,2.0075102791003507,33.80441553708794,11.24,12.6227,37.9629,塑料,True
12,2026-08-07,002487,大金重工,1.478507968319588,1.478507968319588,104.39475562562104,42.12,23.8507,59.11415,电气设备,True
13,2026-08-07,603391,力聚热能,1.4744978415212815,1.4744978415212815,149.41017967105498,60.38,28.029,69.3577,专用机械,True
14,2026-08-07,002987,京北方,1.44742502945759,1.44742502945759,27.65590283287077,11.3,38.4451,94.0915,软件服务,True
15,2026-08-07,600600,青岛啤酒,1.4284754740155061,1.4284754740155061,130.16628540723113,53.6,15.6324,37.9629,啤酒,True
16,2026-08-07,002534,西子洁能,1.2820437735253085,1.2820437735253085,36.76372519149272,16.11,30.3928,69.3577,专用机械,True
17,2026-08-07,603043,广州酒家,1.2112739815989646,1.2112739815989646,29.94064971084998,13.54,15.6839,34.6814,食品,True
18,2026-08-07,600826,兰生股份,1.2060679668069079,1.2060679668069079,17.670604414123332,8.01,17.2084,37.9629,文教休闲,True
19,2026-08-07,605090,九丰能源,1.1980719124544033,1.1980719124544033,75.65763522668057,34.42,17.271,37.9629,供气供热,True
