type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,688047,2024-06-04,2024-06-06,99.74,98.63,247,-274.17,-1.11,-274.17,2,-137.09,,-2.76,2.75
long,601117,2024-06-04,2024-06-07,8.06,8.06,3136,0.0,0.0,-274.17,3,0.0,,-0.17,0.18
long,688223,2024-06-06,2024-06-07,8.38,8.36,2917,-58.34,-0.24,-332.51,1,-58.34,,-0.18,0.19
long,002938,2024-06-07,2024-06-12,29.85,31.65,814,1465.2,6.03,1132.69,2,732.6,,-1.56,1.8
long,600886,2024-06-07,2024-06-12,17.08,17.05,1473,-44.19,-0.18,1088.5,2,-22.1,,-0.3,0.35
long,603296,2024-06-12,2024-06-17,59.0,57.84,425,-493.0,-1.97,595.5,3,-164.33,,-2.28,2.18
long,688047,2024-06-12,2024-06-18,100.19,96.86,243,-809.19,-3.32,-213.69,4,-202.3,,-5.32,2.79
long,300502,2024-06-17,2024-07-04,79.06,81.13,321,664.47,2.62,450.78,13,51.11,,-5.1,5.95
long,600584,2024-07-04,2024-07-05,31.98,31.08,763,-686.7,-2.81,-235.92,1,-686.7,,-0.9,0.43
long,300502,2024-07-05,2024-07-12,79.34,79.94,313,187.8,0.76,-48.12,5,37.56,,-2.09,7.29
long,002938,2024-06-18,2024-07-15,37.29,37.92,654,412.02,1.69,363.9,19,21.69,,-1.97,4.88
long,300433,2024-07-12,2024-07-16,19.2,19.56,1331,479.16,1.88,843.06,2,239.58,,-0.47,0.36
long,605117,2024-07-16,2024-07-17,60.06,60.36,419,125.7,0.5,968.76,1,125.7,,-1.27,1.27
long,600489,2024-07-17,2024-07-23,17.4,16.08,1504,-1985.28,-7.59,-1016.52,4,-496.32,,-1.43,0.36
long,002241,2024-07-15,2024-07-26,21.79,21.18,1138,-694.18,-2.8,-1710.7,9,-77.13,,-1.12,1.77
long,600482,2024-07-26,2024-08-06,23.03,22.18,1048,-890.8,-3.69,-2601.5,7,-127.26,,-0.97,1.28
long,605117,2024-07-23,2024-08-13,65.22,63.82,370,-518.0,-2.15,-3119.5,15,-34.53,,-2.88,5.33
long,300347,2024-08-13,2024-08-15,52.92,52.39,423,-224.19,-1.0,-3343.69,2,-112.1,,-1.2,1.0
long,001965,2024-08-15,2024-08-16,12.24,12.25,1851,18.51,0.08,-3325.18,1,18.51,,-0.19,0.19
long,600460,2024-08-06,2024-08-19,21.86,19.77,1039,-2171.51,-9.56,-5496.69,9,-241.28,,-2.39,1.1
long,002736,2024-08-19,2024-09-06,8.85,8.39,2453,-1128.38,-5.2,-6625.07,14,-80.6,,-0.7,0.08
long,601898,2024-08-16,2024-09-09,12.28,12.31,1856,55.68,0.24,-6569.39,16,3.48,,-0.5,1.36
long,601336,2024-09-09,2024-09-12,31.58,30.6,688,-674.24,-3.1,-7243.63,3,-224.75,,-1.09,0.35
long,002594,2024-09-12,2024-09-18,85.16,84.56,249,-149.4,-0.7,-7393.03,2,-74.7,,-1.21,0.49
long,601628,2024-09-06,2024-09-23,33.48,34.43,614,583.3,2.84,-6809.73,9,64.81,,-0.83,1.18
long,301236,2024-09-23,2024-09-25,37.42,37.36,583,-34.98,-0.16,-6844.71,2,-17.49,,-2.48,0.99
long,600741,2024-09-18,2024-09-25,15.04,15.39,1419,496.65,2.33,-6348.06,5,99.33,,-0.25,0.44
long,601689,2024-09-25,2024-09-26,37.53,38.21,566,384.88,1.81,-5963.18,1,384.88,,-0.54,0.68
long,600061,2024-09-26,2024-09-27,6.68,7.14,3211,1477.06,6.89,-4486.12,1,1477.06,,-0.28,0.46
long,601336,2024-09-25,2024-09-30,36.17,43.5,619,4537.27,20.27,51.15,3,1512.42,,-0.79,7.33
long,301236,2024-09-30,2024-10-11,48.5,56.45,555,4412.25,16.39,4463.4,4,1103.06,,-2.91,25.54
long,300782,2024-10-11,2024-10-15,101.16,100.92,282,-67.68,-0.24,4395.72,2,-33.84,,-7.97,6.16
long,301236,2024-10-15,2024-10-28,69.66,65.78,448,-1738.24,-5.57,2657.48,9,-193.14,,-9.77,6.8
long,300059,2024-09-27,2024-11-04,15.68,23.82,1474,11998.36,51.91,14655.84,21,571.35,,-1.19,13.23
long,688981,2024-10-28,2024-11-07,92.99,99.5,317,2063.67,7.0,16719.51,8,257.96,,-9.29,6.98
long,601211,2024-11-07,2024-11-08,20.44,20.98,1634,882.36,2.64,17601.87,1,882.36,,-1.0,1.01
long,002459,2024-11-04,2024-11-12,18.11,18.39,1673,468.44,1.55,18070.31,6,78.07,,-1.46,0.87
long,300059,2024-11-08,2024-11-18,29.42,25.58,1127,-4327.68,-13.05,13742.63,6,-721.28,,-3.91,1.49
long,600438,2024-11-12,2024-11-21,29.96,27.68,1115,-2542.2,-7.61,11200.43,7,-363.17,,-3.86,0.66
long,688271,2024-11-21,2024-11-22,139.81,136.07,218,-815.32,-2.68,10385.11,1,-815.32,,-4.46,4.46
long,601865,2024-11-18,2024-11-25,24.92,24.52,1167,-466.8,-1.61,9918.31,5,-93.36,,-1.56,2.99
long,600010,2024-11-25,2024-11-28,1.98,1.93,14625,-731.25,-2.53,9187.06,3,-243.75,,-0.12,0.06
long,300059,2024-11-22,2024-11-29,26.62,27.25,1163,732.69,2.37,9919.75,5,146.54,,-1.87,0.96
long,688012,2024-11-28,2024-11-29,212.58,217.7,132,675.84,2.41,10595.59,1,675.84,,-2.58,5.12
long,000301,2024-11-29,2024-12-03,9.46,9.44,3089,-61.78,-0.21,10533.81,2,-30.89,,-0.21,0.22
long,300418,2024-12-03,2024-12-04,46.88,45.78,643,-707.3,-2.35,9826.51,1,-707.3,,-1.1,0.99
long,688047,2024-11-29,2024-12-06,161.04,156.21,181,-874.23,-3.0,8952.28,5,-174.85,,-7.54,7.54
long,300418,2024-12-06,2024-12-10,48.88,50.36,604,893.92,3.03,9846.2,2,446.96,,-1.66,1.67
long,601238,2024-12-04,2024-12-10,10.38,9.8,2806,-1627.48,-5.59,8218.72,4,-406.87,,-0.86,0.43
long,601111,2024-12-10,2024-12-16,8.98,8.4,3178,-1843.24,-6.46,6375.48,4,-460.81,,-0.58,0.14
long,600029,2024-12-10,2024-12-17,7.35,6.8,4037,-2220.35,-7.48,4155.13,5,-444.07,,-0.58,0.14
long,300979,2024-12-17,2024-12-20,69.57,71.32,384,672.0,2.52,4827.13,3,224.0,,-0.94,2.35
long,605499,2024-12-16,2024-12-20,246.66,239.6,108,-762.48,-2.86,4064.65,4,-190.62,,-11.24,6.31
long,002938,2024-12-20,2024-12-25,36.58,36.48,717,-71.7,-0.27,3992.95,3,-23.9,,-0.97,0.77
long,002916,2024-12-25,2025-01-16,93.29,92.44,286,-243.1,-0.91,3749.85,15,-16.21,,-5.31,7.78
long,603986,2024-12-20,2025-02-11,111.76,133.81,238,5247.9,19.73,8997.75,30,174.93,,-13.41,31.39
long,002050,2025-01-16,2025-02-17,28.4,32.42,956,3843.12,14.15,12840.87,16,240.2,,-1.14,8.22
long,601689,2025-02-11,2025-02-18,68.72,69.11,463,180.57,0.57,13021.44,5,36.11,,-3.41,2.1
long,000977,2025-02-18,2025-02-21,64.55,66.52,458,902.26,3.05,13923.7,3,300.75,,-2.47,1.97
long,603296,2025-02-21,2025-02-27,96.72,91.22,339,-1864.5,-5.69,12059.2,4,-466.13,,-5.5,7.92
long,600050,2025-02-27,2025-03-11,6.28,5.97,4670,-1447.7,-4.94,10611.5,8,-180.96,,-0.38,0.2
long,600588,2025-02-17,2025-03-12,18.26,18.11,1687,-253.05,-0.82,10358.45,17,-14.89,,-3.13,1.74
long,600809,2025-03-12,2025-03-14,211.6,216.37,142,677.34,2.25,11035.79,2,338.67,,-3.62,4.77
long,603369,2025-03-11,2025-03-19,52.73,52.86,565,73.45,0.25,11109.24,6,12.24,,-1.33,3.06
long,000568,2025-03-19,2025-03-21,135.51,129.27,217,-1354.08,-4.6,9755.16,2,-677.04,,-6.24,2.64
long,601881,2025-03-14,2025-03-24,18.12,16.9,1724,-2103.28,-6.73,7651.88,6,-350.55,,-1.28,0.85
long,600176,2025-03-21,2025-03-25,12.43,12.64,2294,481.74,1.69,8133.62,2,240.87,,-0.2,0.21
long,601881,2025-03-25,2025-03-27,16.69,16.62,1693,-118.51,-0.42,8015.11,2,-59.26,,-0.34,0.33
long,600039,2025-03-24,2025-03-31,7.78,7.63,3657,-548.55,-1.93,7466.56,5,-109.71,,-0.15,0.14
long,000975,2025-03-31,2025-04-02,18.57,18.22,1568,-548.8,-1.88,6917.76,2,-274.4,,-0.41,0.68
long,601899,2025-03-27,2025-04-02,17.47,17.26,1622,-340.62,-1.2,6577.14,4,-85.16,,-0.26,0.47
long,600176,2025-04-02,2025-04-03,12.5,12.38,2241,-268.92,-0.96,6308.22,1,-268.92,,-0.14,0.14
long,000963,2025-04-03,2025-04-08,37.96,36.01,731,-1425.45,-5.14,4882.77,2,-712.73,,-3.05,0.56
long,600039,2025-04-08,2025-04-11,8.02,8.1,3282,262.56,1.0,5145.33,3,87.52,,-0.14,0.32
long,605499,2025-04-02,2025-05-08,252.7,276.38,113,2675.84,9.37,7821.17,22,121.63,,-11.38,37.88
long,600160,2025-05-08,2025-05-09,27.02,26.8,1069,-235.18,-0.81,7585.99,1,-235.18,,-0.38,0.39
long,600547,2025-04-11,2025-05-09,29.6,29.71,898,98.78,0.37,7684.77,17,5.81,,-0.55,5.36
long,300308,2025-05-09,2025-05-16,94.76,95.86,301,331.1,1.16,8015.87,5,66.22,,-1.23,5.82
long,601319,2025-05-16,2025-05-20,8.13,8.06,3554,-248.78,-0.86,7767.09,2,-124.39,,-0.15,0.15
long,300308,2025-05-20,2025-05-23,95.31,93.06,300,-675.0,-2.36,7092.09,3,-225.0,,-2.25,1.5
long,300418,2025-05-23,2025-05-30,37.59,34.08,744,-2611.44,-9.34,4480.65,5,-522.29,,-3.51,1.91
long,000661,2025-05-30,2025-06-05,101.8,103.8,249,498.0,1.96,4978.65,3,166.0,,-1.75,4.31
long,601825,2025-06-05,2025-06-06,9.66,9.52,2677,-374.78,-1.45,4603.87,1,-374.78,,-0.29,0.29
long,300832,2025-06-06,2025-06-12,62.0,64.77,411,1138.47,4.47,5742.34,4,284.62,,-0.98,2.79
long,605499,2025-06-12,2025-06-16,331.96,322.96,80,-720.0,-2.71,5022.34,2,-360.0,,-15.1,4.16
long,002463,2025-06-16,2025-07-11,39.73,47.99,652,5385.52,20.79,10407.86,19,283.45,,-1.03,9.64
long,002938,2025-07-11,2025-08-05,38.47,49.52,813,8983.65,28.72,19391.51,17,528.45,,-0.79,17.51
long,300502,2025-05-09,2025-09-18,77.23,346.88,377,101658.05,349.15,121049.56,93,1093.1,,-1.68,323.87
long,603986,2025-09-18,2025-09-19,193.82,190.4,558,-1908.36,-1.76,119141.2,1,-1908.36,,-7.02,7.03
long,300308,2025-08-05,2025-09-23,210.71,437.06,191,43232.85,107.42,162374.05,35,1235.22,,-13.71,236.83
long,688981,2025-09-23,2025-09-30,125.98,139.3,813,10829.16,10.57,173203.21,5,2165.83,,-3.35,13.32
long,002050,2025-09-19,2025-10-15,42.45,41.94,2275,-1160.25,-1.2,172042.96,12,-96.69,,-2.45,7.98
long,600489,2025-10-15,2025-10-17,24.88,25.04,4180,668.8,0.64,172711.76,2,334.4,,-0.66,0.88
long,000063,2025-10-17,2025-10-20,51.26,48.86,1938,-4651.2,-4.68,168060.56,1,-4651.2,,-2.63,2.62
long,600489,2025-10-20,2025-10-21,23.98,23.91,4052,-283.64,-0.29,167776.92,1,-283.64,,-0.57,0.58
long,002050,2025-10-21,2025-10-24,46.37,48.48,2187,4614.57,4.55,172391.49,3,1538.19,,-1.07,2.33
long,688012,2025-09-30,2025-10-24,302.58,275.88,377,-10065.9,-8.82,162325.59,12,-838.83,,-42.3,39.92
long,002028,2025-10-24,2025-10-28,121.24,124.46,878,2827.16,2.66,165152.75,2,1413.58,,-2.16,3.22
long,000630,2025-10-28,2025-10-29,5.38,5.36,18793,-375.86,-0.37,164776.89,1,-375.86,,-0.16,0.17
long,688082,2025-10-24,2025-10-29,187.74,187.26,561,-269.28,-0.26,164507.61,3,-89.76,,-5.23,10.06
long,601288,2025-10-29,2025-10-30,8.2,8.14,12729,-763.74,-0.73,163743.87,1,-763.74,,-0.09,0.1
long,603986,2025-10-29,2025-10-31,244.32,225.34,428,-8123.44,-7.77,155620.43,2,-4061.72,,-18.98,8.31
long,000630,2025-10-31,2025-11-03,5.34,5.11,18564,-4269.72,-4.31,151350.71,1,-4269.72,,-0.23,0.13
