type,symbol,entry_date,exit_date,entry,exit,shares,pnl,return_pct,agg_pnl,bars,pnl_per_bar,stop,mae,mfe
long,688047,2024-06-04,2024-06-06,99.74,98.63,247,-274.17,-1.11,-274.17,2,-137.09,,-2.76,2.75
long,601117,2024-06-06,2024-06-07,8.12,8.06,3003,-180.18,-0.74,-454.35,1,-180.18,,-0.11,0.1
long,002938,2024-06-07,2024-06-11,29.85,28.98,810,-704.7,-2.91,-1159.05,1,-704.7,,-0.97,0.98
long,600886,2024-06-11,2024-06-12,17.15,17.05,1370,-137.0,-0.58,-1296.05,1,-137.0,,-0.28,0.28
long,601919,2024-06-04,2024-06-12,13.96,12.79,1815,-2123.55,-8.38,-3419.6,5,-424.71,,-1.17,1.11
long,603296,2024-06-12,2024-06-17,59.0,57.84,392,-454.72,-1.97,-3874.32,3,-151.57,,-2.28,2.18
long,688047,2024-06-12,2024-06-18,100.19,96.86,234,-779.22,-3.32,-4653.54,4,-194.81,,-5.32,2.79
long,300502,2024-06-17,2024-06-28,79.06,75.37,286,-1055.34,-4.67,-5708.88,9,-117.26,,-5.1,5.95
long,002938,2024-06-18,2024-07-15,37.29,37.92,609,383.67,1.69,-5325.21,19,20.19,,-1.97,4.88
long,300433,2024-07-15,2024-07-16,19.06,19.56,1210,605.0,2.62,-4720.21,1,605.0,,-0.33,0.5
long,002600,2024-06-28,2024-07-22,6.7,6.68,3221,-64.42,-0.3,-4784.63,16,-4.03,,-0.45,1.07
long,302132,2024-07-16,2024-07-23,49.59,47.17,455,-1101.1,-4.88,-5885.73,5,-220.22,,-3.39,0.63
long,688256,2024-07-22,2024-08-07,266.69,230.4,82,-2975.78,-13.61,-8861.51,12,-247.98,,-39.06,6.19
long,601698,2024-08-07,2024-08-09,17.46,16.3,1082,-1255.12,-6.64,-10116.63,2,-627.56,,-1.16,0.46
long,300274,2024-08-09,2024-08-13,69.03,67.59,255,-367.2,-2.09,-10483.83,2,-183.6,,-2.11,0.83
long,605117,2024-07-23,2024-08-13,65.22,63.82,341,-477.4,-2.15,-10961.23,15,-31.83,,-2.88,5.33
long,688256,2024-08-13,2024-08-14,239.91,246.7,80,543.2,2.83,-10418.03,1,543.2,,-6.24,6.79
long,300347,2024-08-14,2024-08-15,52.7,52.39,363,-112.53,-0.59,-10530.56,1,-112.53,,-0.98,0.97
long,688472,2024-08-15,2024-08-16,10.17,10.14,1946,-58.38,-0.29,-10588.94,1,-58.38,,-0.17,0.17
long,600460,2024-08-13,2024-08-19,20.28,19.77,961,-490.11,-2.51,-11079.05,4,-122.53,,-0.81,0.51
long,688506,2024-08-19,2024-08-22,183.56,180.74,103,-290.46,-1.54,-11369.51,3,-96.82,,-9.54,2.94
long,601127,2024-08-22,2024-08-23,79.12,77.53,232,-368.88,-2.01,-11738.39,1,-368.88,,-3.18,3.19
long,300979,2024-08-23,2024-09-02,60.0,61.3,307,399.1,2.17,-11339.29,6,66.52,,-0.91,2.59
long,002600,2024-09-02,2024-09-06,8.24,7.32,2285,-2102.2,-11.17,-13441.49,4,-525.55,,-1.03,0.32
long,601898,2024-08-16,2024-09-06,12.28,12.72,1615,710.6,3.58,-12730.89,15,47.37,,-0.5,1.36
long,688169,2024-09-06,2024-09-10,169.82,162.76,109,-769.54,-4.16,-13500.43,2,-384.77,,-10.57,3.91
long,600415,2024-09-10,2024-09-19,8.44,8.4,2123,-84.92,-0.47,-13585.35,5,-16.98,,-0.16,0.1
long,601628,2024-09-06,2024-09-19,33.48,34.03,555,305.25,1.64,-13280.1,7,43.61,,-0.83,1.18
long,688169,2024-09-19,2024-09-24,173.46,166.55,106,-732.46,-3.98,-14012.56,3,-244.15,,-9.67,4.81
long,301236,2024-09-24,2024-09-25,35.87,37.36,488,727.12,4.15,-13285.44,1,727.12,,-0.93,1.49
