rank,date,股票代码,name,strategy_id,sell_price,high,momentum,momentum_pct,momentum_pct_diff_2d
3,2026-04-20,002192,,grid_sell,69.3,87.6,0.3,26.4,
5,2026-04-20,600176,,grid_sell,26.8,33.3,0.2,24.3,
15,2026-04-20,603283,,grid_sell,44.4,51.4,0.2,15.8,
16,2026-04-20,000612,,grid_sell,11.9,13.7,0.2,15.1,
19,2026-04-20,300285,,grid_sell,32.5,36.8,0.1,13.2,
23,2026-04-20,603129,,grid_sell,249.5,276.0,0.1,10.6,
24,2026-04-20,300866,,grid_sell,108.4,119.8,0.1,10.6,
28,2026-04-20,002709,,grid_sell,45.3,49.6,0.1,9.6,
30,2026-04-20,002236,,grid_sell,17.8,19.3,0.1,8.1,
32,2026-04-20,000807,,grid_sell,33.5,36.1,0.1,7.7,
33,2026-04-20,301556,,grid_sell,86.4,93.0,0.1,7.6,
35,2026-04-20,603279,,grid_sell,17.6,18.8,0.1,6.9,
36,2026-04-20,600398,,grid_sell,6.3,6.7,0.1,6.8,
42,2026-04-20,300750,,grid_sell,413.2,437.9,0.1,6.0,
43,2026-04-20,600572,,grid_sell,4.5,4.7,0.1,5.8,
45,2026-04-20,002432,,grid_sell,78.6,82.9,0.1,5.5,
46,2026-04-20,601600,,grid_sell,12.0,12.6,0.1,5.4,
49,2026-04-20,002271,,grid_sell,15.5,16.3,0.1,5.0,
50,2026-04-20,002821,,grid_sell,110.8,116.0,0.0,4.7,
53,2026-04-20,601799,,grid_sell,128.6,134.0,0.0,4.2,
54,2026-04-20,601677,,grid_sell,16.8,17.4,0.0,3.9,
56,2026-04-20,601702,,grid_sell,20.1,20.8,0.0,3.5,
58,2026-04-20,002128,,grid_sell,32.7,33.8,0.0,3.4,
59,2026-04-20,688208,,grid_sell,35.0,36.2,0.0,3.4,
61,2026-04-20,002595,,grid_sell,88.9,91.8,0.0,3.2,
63,2026-04-20,600845,,grid_sell,22.5,23.2,0.0,3.1,
64,2026-04-20,601100,,grid_sell,102.7,105.7,0.0,2.9,
65,2026-04-20,301371,,grid_sell,23.6,24.2,0.0,2.9,
66,2026-04-20,600219,,grid_sell,6.2,6.4,0.0,2.7,
67,2026-04-20,002422,,grid_sell,34.3,35.2,0.0,2.6,
68,2026-04-20,688608,,grid_sell,169.8,174.0,0.0,2.5,
71,2026-04-20,301269,,grid_sell,87.6,89.6,0.0,2.3,
73,2026-04-20,600660,,grid_sell,59.8,61.0,0.0,2.0,
75,2026-04-20,603297,,grid_sell,113.0,114.9,0.0,1.7,
