symbol,stock_name,last_hit_date,ref_buy_close,ref_buy_low,signal_path,latest_date,latest_close,gap_pct,abs_gap_pct,buy_signal,new_uptrend_signal
000408,藏格矿业,2026-06-03,79.9,78.5,ma20_pullback,2026-06-04,77.65,-2.816,2.816,True,False
002281,光迅科技,2026-06-04,220.56,215.83,ma20_pullback,2026-06-04,220.56,0.0,0.0,True,False
600176,中国巨石,2026-06-04,38.39,36.5,ma20_pullback,2026-06-04,38.39,0.0,0.0,True,False
002552,宝鼎科技,2026-03-18,18.31,18.05,ma20_pullback,2026-06-04,59.0,222.2283,222.2283,False,True
002938,鹏鼎控股,2026-03-11,53.12,52.5,ma20_pullback,2026-06-04,111.0,108.9608,108.9608,False,True
300308,中际旭创,2026-02-13,530.37,514.39,ma20_pullback,2026-06-04,1280.0,141.341,141.341,False,True
300394,天孚通信,2026-05-08,326.3,320.0,both,2026-06-04,480.45,47.2418,47.2418,False,True
300433,蓝思科技,2026-02-12,34.77,34.4,both,2026-06-04,43.64,25.5105,25.5105,False,True
300502,新易盛,2026-05-20,587.97,571.51,ma20_pullback,2026-06-04,775.94,31.9693,31.9693,False,True
600183,生益科技,2026-03-02,68.45,67.02,ma20_pullback,2026-06-04,143.96,110.3141,110.3141,False,True
603228,景旺电子,2026-02-03,62.58,60.58,ma20_pullback,2026-06-04,75.3,20.326,20.326,False,True
603256,宏和科技,2026-04-07,69.0,67.88,ma20_pullback,2026-06-04,195.01,182.6232,182.6232,False,True
603678,火炬电子,2026-03-24,34.7,33.68,ma20_pullback,2026-06-04,64.55,86.0231,86.0231,False,True
605111,新洁能,2026-03-25,40.01,39.56,ma20_pullback,2026-06-04,63.78,59.4101,59.4101,False,True
688352,颀中科技,2026-03-18,13.59,13.3,ma20_pullback,2026-06-04,21.56,58.6461,58.6461,False,True
000426,兴业银锡,2025-12-19,35.33,33.63,ma20_pullback,2026-06-04,39.89,12.9069,12.9069,False,False
000533,顺钠股份,2026-03-24,17.06,16.01,ma20_pullback,2026-06-04,11.56,-32.2392,32.2392,False,False
000807,云铝股份,2026-05-19,30.01,28.82,ma20_pullback,2026-06-04,28.6,-4.6984,4.6984,False,False
002249,大洋电机,2025-12-03,10.8,10.73,ma20_pullback,2026-06-04,8.22,-23.8889,23.8889,False,False
002300,太阳电缆,2026-05-25,9.38,9.3,ma20_pullback,2026-06-04,8.31,-11.4072,11.4072,False,False
002432,九安医疗,2026-06-03,77.2,74.66,ma20_pullback,2026-06-04,73.92,-4.2487,4.2487,False,False
300780,德恩精工,2026-06-01,27.16,26.16,ma20_pullback,2026-06-04,26.06,-4.0501,4.0501,False,False
600312,平高电气,2026-06-01,21.32,21.16,ma20_pullback,2026-06-04,19.61,-8.0206,8.0206,False,False
601677,明泰铝业,2026-05-18,16.95,16.52,both,2026-06-04,19.1,12.6844,12.6844,False,False
