分组,排名,股票代码,股票名称,行业,总分,资产安全得分,现金流质量得分,盈利质量得分,运营效率得分
Q,1,600661,昂立教育,文教休闲,0.5318,-0.4591,0.448,0.6427,2.1293
Q,2,603367,辰欣药业,化学制药,0.3148,0.9907,0.3597,-0.0065,-0.2588
Q,3,600961,株冶集团,铅锌,0.2663,0.4441,0.5338,0.1529,-0.3379
Q,4,600993,马应龙,中成药,0.1994,0.42,0.0993,0.1374,0.1559
Q,5,601168,西部矿业,铜,0.1788,-0.6715,1.0227,0.0683,0.1293
Q,6,600987,航民股份,纺织,0.1694,1.2604,0.2566,-0.2801,-0.9242
Q,7,603193,润本股份,日用化工,0.0519,0.3844,-0.7769,0.609,0.0415
Q,8,000603,盛达资源,铅锌,-0.0125,-0.5616,0.409,0.0897,-0.1445
Q,9,603979,金诚信,铜,-0.0477,-0.5788,-0.1239,0.2349,0.4247
Q,10,605009,豪悦护理,造纸,-0.1737,0.1477,-0.1504,-0.548,-0.0073
Q,11,002266,浙富控股,环境保护,-0.1818,-0.2002,-0.0282,-0.3821,-0.0578
Q,12,002345,潮宏基,服饰,-0.3554,-0.2535,-1.0675,0.0308,0.1261
Q,13,600711,盛屯矿业,小金属,-0.9414,-0.9225,-0.9823,-0.7489,-1.2763
