rank,asof,symbol,stock_name,company_q,roe,ocf_to_or,upside,close
1,2026-09-11,600961,株冶集团,0.9314858490566038,36.8443,0.1606,0.8394736379415174,24.3
2,2026-09-11,600993,马应龙,0.906346585804133,8.2224,0.2139,0.8394736379415174,22.13
3,2026-09-11,601168,西部矿业,0.8807457322551663,20.4052,0.2117,0.09401204755333836,37.59
4,2026-09-11,600661,昂立教育,0.873641060197664,12.7691,0.2273,0.09191740330721387,8.62
5,2026-09-11,002345,潮宏基,0.856866576819407,11.0421,0.2994,0.050975996739399454,9.09
6,2026-09-11,600711,盛屯矿业,0.8555435759209344,10.502,0.1186,0.8202331849711431,11.3
7,2026-09-11,002266,浙富控股,0.8420148247978437,10.7953,0.0901,0.7924082791031224,4.79
8,2026-09-11,600987,航民股份,0.8210916442048517,4.4671,0.1934,0.7205690230802728,6.32
9,2026-09-11,603367,辰欣药业,0.8201617250673854,4.2063,0.2523,0.6921644747266675,14.0
10,2026-09-11,603979,金诚信,0.8143216531895778,13.7175,0.1794,0.0017312388380654742,75.0
11,2026-09-11,603193,润本股份,0.790062893081761,9.8684,0.1789,0.06814348389443281,19.14
12,2026-09-11,000603,盛达资源,0.7774348607367476,10.7595,0.4975,-0.21346600599894128,33.61
13,2026-09-11,605009,豪悦护理,0.7648742138364779,4.5329,0.1977,0.08315314858441636,23.95
14,2026-09-11,601061,中信金属,0.7522641509433962,11.1358,0.1147,0.0,11.6
15,2026-09-11,603214,爱婴室,0.7392565139263252,3.5702,0.1721,0.6400073019970112,13.09
16,2026-09-11,002612,朗姿股份,0.7202672955974843,3.5843,0.1032,0.709384914058431,15.9
17,2026-09-11,605599,菜百股份,0.7118823000898473,9.6036,0.0191,0.44263507033248084,14.3
18,2026-09-11,002867,周大生,0.7110017969451932,7.0827,0.0559,0.22004427246151503,10.46
19,2026-09-11,002959,小熊电器,0.7043306379155436,3.9974,0.0867,0.4728060882266283,31.52
20,2026-09-11,000737,北方铜业,0.6998921832884097,19.0032,0.0496,-0.0017252651460120116,14.74
21,2026-09-11,600362,江西铜业,0.6958378256963162,10.2206,0.0189,0.20540765755887902,45.78
22,2026-09-11,601969,海南矿业,0.6895754716981133,7.3434,0.1566,-0.17651522586434132,9.56
23,2026-09-11,001219,青岛食品,0.6853796046720575,6.138,0.0589,0.07126051569660063,12.57
24,2026-09-11,000025,特力A,0.6811904761904762,4.5311,0.9862,-0.46598045700336177,14.65
25,2026-09-11,002640,跨境通,0.6650584007187781,32.7389,0.0071,,3.44
26,2026-09-11,002763,汇洁股份,0.6639757412398921,8.0833,0.1918,-0.6470847009426423,7.27
27,2026-09-11,002327,富安娜,0.6575089847259659,3.2283,0.1827,0.041071549219647174,6.15
28,2026-09-11,603518,锦泓集团,0.6385714285714286,3.869,0.046,0.35814452188143675,7.96
29,2026-09-11,002155,湖南黄金,0.6333535489667566,11.4499,-0.0033,-0.021562045801908347,27.5
30,2026-09-11,603132,金徽股份,0.6305031446540881,,0.5343,-0.19668499990614385,19.01
31,2026-09-11,600531,豫光金铅,0.6303706199460917,8.0057,-0.0481,0.3284844195272776,12.26
32,2026-09-11,002293,罗莱生活,0.6299191374663072,6.0088,0.0492,0.0,10.74
33,2026-09-11,603839,安正时尚,0.6215274034141959,4.4324,0.067,,6.72
34,2026-09-11,603406,天富龙,0.6209209344115005,5.4544,0.0631,-0.09257392473118298,30.37
35,2026-09-11,002570,贝因美,0.6160309973045823,4.3313,0.1559,-0.2548289183222959,4.42
36,2026-09-11,002780,三夫户外,0.600667115902965,6.5627,0.0847,-0.3999825482105682,13.06
37,2026-09-11,603238,诺邦股份,0.5995485175202157,3.611,0.1579,-0.22987075299127357,11.82
38,2026-09-11,001318,阳光乳业,0.5916711590296496,3.1988,0.2129,-0.34095346293023654,11.48
39,2026-09-11,600551,时代出版,0.58741576819407,3.3869,-0.0597,0.8394736379415174,7.49
40,2026-09-11,000411,英特集团,0.5868486073674752,3.6748,-0.0172,0.45339164771853735,9.8
41,2026-09-11,002950,奥美医疗,0.5793755615453728,5.3105,-0.0222,0.048878323176856586,8.58
42,2026-09-11,002727,一心堂,0.5754627133872418,3.4828,0.1475,-0.23777827758587033,10.89
43,2026-09-11,002563,森马服饰,0.5710332434860736,4.1944,0.0399,0.0,5.61
44,2026-09-11,600459,贵研铂业,0.5663522012578616,4.1947,0.0317,0.0,18.94
45,2026-09-11,000630,铜陵有色,0.5661837376460018,7.9754,0.0004,-0.2090374072493033,6.17
46,2026-09-11,603511,爱慕股份,0.5658917340521115,2.9484,0.199,-0.4865396308399085,12.12
47,2026-09-11,000028,国药一致,0.562340521114106,3.2345,-0.0419,0.5946597416433612,19.8
48,2026-09-11,000878,云南铜业,0.5547866127583109,11.0234,-0.0307,-0.31584930239504805,17.18
49,2026-09-11,000501,武商集团,0.5464420485175202,1.1969,0.1309,0.0,7.35
50,2026-09-11,600429,三元股份,0.5401078167115904,3.8411,0.0392,,4.62
51,2026-09-11,002705,新宝股份,0.5396743036837377,1.6027,0.0181,0.5460776120188731,11.1
52,2026-09-11,002091,江苏国泰,0.5394407008086253,2.8924,-0.0133,0.4412763001190947,7.54
53,2026-09-11,002552,宝鼎科技,0.5373966756513926,8.672,0.0323,-0.7114811453637379,50.0
54,2026-09-11,603630,拉芳家化,0.5356513926325247,1.9722,0.0996,,13.49
55,2026-09-11,600189,泉阳泉,0.5270125786163522,3.1092,0.2725,-0.8,7.81
56,2026-09-11,603077,和邦生物,0.5168194070080863,2.0468,0.0655,,2.37
57,2026-09-11,603439,三力制药,0.4891329739442947,2.5528,0.1984,-0.8,12.54
58,2026-09-11,603139,康惠股份,0.48176999101527407,1.7156,0.0501,,39.13
59,2026-09-11,002132,恒星科技,0.48021338724168905,2.3811,0.1176,-0.6777813131306205,4.24
60,2026-09-11,002872,ST天圣,0.4656693620844564,-1.2466,0.1904,,5.77
61,2026-09-11,002269,美邦服饰,0.45108715184186876,-21.9958,0.2722,,1.45
62,2026-09-11,001360,南矿集团,0.4431132075471698,2.0738,0.0881,-0.7675991971836141,18.9
63,2026-09-11,002574,明牌珠宝,0.43551662174303685,-0.6996,0.1241,,5.08
64,2026-09-11,002715,登云股份,0.42386343216531897,0.8969,0.0442,,13.33
65,2026-09-11,000705,浙江震元,0.42234501347708897,-0.6847,0.0917,,7.04
66,2026-09-11,600774,汉商集团,0.4149415992812219,0.2758,0.0643,,7.63
67,2026-09-11,605199,ST葫芦娃,0.41331536388140167,-31.8593,0.1847,,5.89
68,2026-09-11,601020,华钰矿业,0.41102425876010784,2.8008,-0.1315,0.0,21.16
69,2026-09-11,600655,豫园股份,0.4076460017969452,0.5394,0.0445,,4.56
70,2026-09-11,000656,金科股份,0.40411837376460014,0.4456,-0.4427,0.8394736379415174,1.21
71,2026-09-11,002716,湖南白银,0.39122416891284817,4.4243,-0.158,-0.6285679414673734,9.97
72,2026-09-11,002187,广百股份,0.36617250673854446,0.5407,-0.0101,,5.67
73,2026-09-11,002329,皇氏集团,0.355947888589398,-7.901,0.0603,,3.76
74,2026-09-11,002672,东江环保,0.35584007187780775,-11.9619,0.0661,,3.71
75,2026-09-11,000950,重药控股,0.35258310871518417,2.1864,-0.0899,-0.2748181135488248,5.19
76,2026-09-11,600222,太龙药业,0.3480053908355795,0.748,-0.0813,0.0,7.53
77,2026-09-11,600824,益民集团,0.34473495058400716,-5.4551,0.0473,,3.71
78,2026-09-11,000009,中国宝安,0.3422282120395328,-0.301,0.0063,,6.89
79,2026-09-11,002599,盛通股份,0.3373315363881402,-1.4782,0.0287,,5.61
80,2026-09-11,603610,麒盛科技,0.32531446540880504,0.9435,0.0514,-0.8,13.38
81,2026-09-11,002862,实丰文化,0.3230637915543576,1.0712,-0.1765,,15.92
82,2026-09-11,601212,白银有色,0.31327044025157236,0.5358,-0.0875,,6.44
83,2026-09-11,000955,欣龙控股,0.3044564240790656,-0.4763,-0.036,,4.13
84,2026-09-11,600818,ST中路,0.3023899371069182,-2.9474,-0.0109,,8.09
85,2026-09-11,002584,西陇科学,0.30165318957771786,1.7991,-0.0463,-0.7975094568587112,7.78
86,2026-09-11,002173,创新医疗,0.3004312668463612,-3.1072,-0.0074,,17.28
87,2026-09-11,002219,新里程,0.2835175202156334,0.4673,0.0474,-0.8,2.11
88,2026-09-11,605388,均瑶健康,0.28290206648697214,0.294,-0.1296,,6.07
89,2026-09-11,002762,金发拉比,0.27811320754716984,0.1288,-0.1119,,9.55
90,2026-09-11,002721,金一文化,0.2671832884097035,1.7473,-0.0513,-0.8,2.72
91,2026-09-11,002719,ST麦趣,0.2651662174303684,-48.3953,-0.0053,,6.66
92,2026-09-11,600684,珠江股份,0.26303683737646,1.0784,-0.1713,-0.580978819181874,3.46
93,2026-09-11,600128,苏豪弘业,0.25856244384546273,1.0219,-0.0988,-0.7011054465522457,8.46
94,2026-09-11,600857,宁波中百,0.2537893081761006,1.348,-0.1466,-0.7953560491242532,22.28
95,2026-09-11,003041,真爱美家,0.24530548068283917,1.1929,-0.059,-0.8,37.14
96,2026-09-11,002162,悦心健康,0.23083108715184186,0.6457,-0.0277,-0.8,4.13
97,2026-09-11,000710,贝瑞基因,0.22216531895777178,-3.0326,-0.2289,,8.41
98,2026-09-11,000069,华侨城A,0.21345911949685534,-9.468,-0.1579,,1.77
99,2026-09-11,603615,茶花股份,0.21297843665768193,0.75,-0.0804,-0.8,18.87
100,2026-09-11,002348,高乐股份,0.20409703504043125,-7.3056,-0.2691,,10.46
101,2026-09-11,000572,海马汽车,0.2022461814914645,-6.2482,-0.4327,,3.94
102,2026-09-11,603900,莱绅通灵,0.17912398921832884,0.9793,-0.3267,-0.8,6.89
103,2026-09-11,000503,国新健康,0.1785175202156334,-9.6229,-1.3456,,6.82
104,2026-09-11,603398,*ST沐邦,0.16230008984725966,-620.8619,-0.9146,,9.4
105,2026-09-11,002955,鸿合科技,0.14190026954177898,0.3509,-0.2064,-0.8,33.7
106,2026-09-11,600208,衢州发展,0.12306828391734051,0.4077,-1.4154,-0.8,2.81
