symbol,stock_name,signal_date,phase,combo_id,combo_name,position_stage,meaning,action_hint,match_exact,resonance_score,resonance_ok,score_position,score_volume,score_turnover,score_chip,score_trend,resonance_note,close,pct_change,ma20,ma60,range_low,range_high,range_pct,close_vs_ma20_pct,close_vs_ma60_pct,volume,vol_ma20,vol_ratio,vol_amplify,vol_shrink,price_up,price_down,is_breakout,is_stagnant,platform_level,breakout_high,breakout_close,breakout_vol,breakout_vol_ratio,turnover_today_pct,turnover_ma20_pct,turnover_ratio,turnover_high,turnover_low,turnover_rising,chip_available,chip_pattern,chip_pattern_label,chip_state,chip_concentration,chip_peak_position,chip_bottom_stable,chip_bottom_empty,ma5_score_total
000537,绿发电力,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,缩量+低换手，惜售一致,7.88,1.5464,7.4625,8.674666666666667,6.77,11.54,0.2327,5.5946,-9.1608,202728.61,290278.635,0.6984,False,True,True,False,False,False,8.01,7.89,7.88,202728.61,0.6984,0.9862,1.4121,0.6984,False,True,False,True,single_peak,单峰,concentrated,0.2258,0.153,False,False,
000601,韶能股份,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,,6.54,2.0281,6.4625,7.066833333333334,5.75,9.89,0.1908,1.1992,-7.455,474026.69,892121.3294999998,0.5313,False,True,True,False,False,False,7.26,6.56,6.54,474026.69,0.5313,4.5162,8.5055,0.531,False,False,False,True,low_single_peak,低位单峰底仓稳,concentrated,0.2238,0.157,True,False,
000767,晋控电力,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,,3.77,3.0055,3.6109999999999998,4.361833333333333,3.25,6.6,0.1552,4.4032,-13.5685,1404511.68,2011039.4930000002,0.6984,False,True,True,False,False,False,4.32,3.8,3.77,1404511.68,0.6984,4.8228,6.9055,0.6984,False,False,False,True,low_single_peak,低位单峰底仓稳,concentrated,0.2571,0.1343,True,False,
002404,嘉欣丝绸,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,缩量+低换手，惜售一致,5.89,1.3769,5.689500000000001,6.188166666666667,5.38,7.72,0.2179,3.524,-4.8183,62108.0,92211.155,0.6735,False,True,True,False,False,False,5.97,5.91,5.89,62108.0,0.6735,1.3634,2.0242,0.6736,False,True,False,True,low_single_peak,低位单峰底仓稳,concentrated,0.2015,0.1368,True,False,
002516,旷达科技,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,缩量+低换手，惜售一致,5.45,3.0246,5.2375,5.7315,4.97,6.83,0.2581,4.0573,-4.9115,113360.95,169996.3875,0.6668,False,True,True,False,False,False,5.69,5.47,5.45,113360.95,0.6668,0.7762,1.1646,0.6665,False,True,False,True,multi_peak_stable,上涨多峰底不动,concentrated,0.0956,0.1237,True,False,
600021,上海电力,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,缩量+低换手，惜售一致,14.82,2.4188,14.4755,16.391333333333332,13.26,21.84,0.1818,2.3799,-9.5864,416331.63,614360.855,0.6777,False,True,True,False,False,False,16.37,14.85,14.82,416331.63,0.6777,1.4754,2.1771,0.6777,False,True,False,True,low_single_peak,低位单峰底仓稳,concentrated,0.1319,0.2378,True,False,
600032,浙江新能,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,缩量+低换手，惜售一致,7.56,2.9973,7.087000000000001,8.507333333333333,6.3,12.21,0.2132,6.6742,-11.1355,286544.0,411448.2055,0.6964,False,True,True,False,False,False,8.11,7.57,7.56,286544.0,0.6964,1.1916,1.711,0.6964,False,True,False,True,multi_peak_stable,上涨多峰底不动,concentrated,0.0935,0.1523,True,False,
600163,中闽能源,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,缩量+低换手，惜售一致,5.41,1.5009,5.0725,5.761166666666667,4.64,7.51,0.2683,6.6535,-6.0954,181938.58,267968.9825,0.679,False,True,True,False,False,False,5.45,5.43,5.41,181938.58,0.679,0.9561,1.4081,0.679,False,True,False,True,low_single_peak,低位单峰底仓稳,concentrated,0.1284,0.1603,True,False,
600310,广西能源,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,,4.45,2.0642,4.229,4.734333333333333,3.7,6.95,0.2308,5.2258,-6.0058,563452.76,830152.5225000002,0.6787,False,True,True,False,False,False,4.91,4.46,4.45,563452.76,0.6787,3.8442,5.6638,0.6787,False,False,False,True,low_single_peak,低位单峰底仓稳,concentrated,0.2842,0.2154,True,False,
600395,盘江股份,2026-08-03,2,1,底部缩量,bottom,抛压减轻,耐心观察，等待放量确认,True,92.0,True,20.0,20.0,20.0,20.0,12.0,缩量+低换手，惜售一致,4.91,-0.6073,4.7299999999999995,5.120666666666667,4.46,6.3,0.2446,3.8055,-4.114,208490.55,335665.143,0.6211,False,True,False,True,False,True,4.99,4.99,4.91,208490.55,0.6211,0.9712,1.5637,0.6211,False,True,False,True,low_single_peak,低位单峰底仓稳,concentrated,0.187,0.1304,True,False,
