ts_code,symbol,name,area,industry,market,list_date
000638.SZ,000638,*ST万方,吉林,农业综合,主板,19961126
300295.SZ,300295,*ST三六,江苏,互联网,创业板,20120315
002742.SZ,002742,*ST三圣,重庆,水泥,主板,20150217
002713.SZ,002713,*ST东易,北京,装修装饰,主板,20140219
002199.SZ,002199,*ST东晶,浙江,元器件,主板,20071221
000736.SZ,000736,*ST中地,重庆,全国地产,主板,19970425
000972.SZ,000972,*ST中基,新疆,食品,主板,20000926
002542.SZ,002542,*ST中岩,北京,建筑工程,主板,20110128
000609.SZ,000609,*ST中迪,北京,区域地产,主板,19961010
920305.BJ,920305,*ST云创,江苏,软件服务,北交所,20210826
002306.SZ,002306,*ST云网,北京,酒店餐饮,主板,20091111
000691.SZ,000691,*ST亚太,甘肃,化工原料,主板,19970228
603389.SH,603389,*ST亚振,江苏,家居用品,主板,20161215
002200.SZ,002200,*ST交投,云南,建筑工程,主板,20071221
600889.SH,600889,*ST京化,江苏,机械基件,主板,19960308
300211.SZ,300211,*ST亿通,江苏,通信设备,创业板,20110505
003032.SZ,003032,*ST传智,江苏,文教休闲,主板,20210112
300268.SZ,300268,*ST佳沃,湖南,农业综合,创业板,20110927
600581.SH,600581,*ST八钢,新疆,普钢,主板,20020816
000929.SZ,000929,*ST兰黄,甘肃,啤酒,主板,19990623
300899.SZ,300899,*ST凯鑫,上海,环境保护,创业板,20201016
600193.SH,600193,*ST创兴,上海,装修装饰,主板,19990527
600421.SH,600421,*ST华嵘,湖北,专用机械,主板,20040607
600360.SH,600360,*ST华微,吉林,半导体,主板,20010316
000793.SZ,000793,*ST华闻,海南,出版业,主板,19970729
002305.SZ,002305,*ST南置,湖北,区域地产,主板,20091106
603813.SH,603813,*ST原尚,广东,公路,主板,20170918
002693.SZ,002693,*ST双成,海南,生物制药,主板,20120808
000838.SZ,000838,*ST发展,重庆,区域地产,主板,19970626
920090.BJ,920090,*ST同辉,北京,IT设备,北交所,20210809
002816.SZ,002816,*ST和科,深圳,专用机械,主板,20161025
000518.SZ,000518,*ST四环,江苏,生物制药,主板,19930908
603838.SH,603838,*ST四通,广东,家居用品,主板,20150701
600636.SH,600636,*ST国化,上海,文教休闲,主板,19930316
000004.SZ,000004,*ST国华,深圳,软件服务,主板,19901201
003004.SZ,003004,*ST声迅,北京,IT设备,主板,20201126
600892.SH,600892,*ST大晟,深圳,互联网,主板,19960315
002214.SZ,002214,*ST大立,浙江,电器仪表,主板,20080218
300205.SZ,300205,*ST天喻,湖北,通信设备,创业板,20110421
300313.SZ,300313,*ST天山,新疆,农业综合,创业板,20120425
603721.SH,603721,*ST天择,湖南,影视音像,主板,20170811
002977.SZ,002977,*ST天箭,四川,通信设备,主板,20200317
300029.SZ,300029,*ST天龙,江苏,建筑工程,创业板,20091225
605081.SH,605081,*ST太和,上海,环境保护,主板,20210209
002058.SZ,002058,*ST威尔,上海,电气设备,主板,20060802
002289.SZ,002289,*ST宇顺,深圳,元器件,主板,20090903
000595.SZ,000595,*ST宝实,宁夏,新型电力,主板,19960419
002047.SZ,002047,*ST宝鹰,深圳,装修装饰,主板,20050531
600696.SH,600696,*ST岩石,上海,白酒,主板,19931206
605336.SH,605336,*ST帅电,浙江,家用电器,主板,20201019
002789.SZ,002789,*ST建艺,深圳,装修装饰,主板,20160311
002808.SZ,002808,*ST恒久,江苏,元器件,主板,20160812
002168.SZ,002168,*ST惠程,重庆,电气设备,主板,20070919
002656.SZ,002656,*ST摩登,广东,服饰,主板,20120228
000909.SZ,000909,*ST数源,浙江,区域地产,主板,19990507
300472.SZ,300472,*ST新元,江西,专用机械,创业板,20150611
600777.SH,600777,*ST新潮,山东,石油开采,主板,19961121
300159.SZ,300159,*ST新研,新疆,农用机械,创业板,20110107
002932.SZ,002932,*ST明德,湖北,医疗保健,主板,20180710
002076.SZ,002076,*ST星光,广东,家用电器,主板,20061025
603789.SH,603789,*ST星农,浙江,农用机械,主板,20150427
600381.SH,600381,*ST春天,青海,医疗保健,主板,20010508
600265.SH,600265,*ST景谷,云南,林业,主板,20000825
002253.SZ,002253,*ST智胜,四川,软件服务,主板,20080623
600423.SH,600423,*ST柳化,广西,农药化肥,主板,20030717
002634.SZ,002634,*ST棒杰,浙江,服饰,主板,20111205
600238.SH,600238,*ST椰岛,海南,红黄酒,主板,20000120
603843.SH,603843,*ST正平,青海,建筑工程,主板,20160905
002569.SZ,002569,*ST步森,浙江,服饰,主板,20110412
300561.SZ,300561,*ST汇科,广东,软件服务,创业板,20161117
603398.SH,603398,*ST沐邦,江西,电气设备,主板,20151209
600608.SH,600608,*ST沪科,上海,商贸代理,主板,19920327
600130.SH,600130,*ST波导,浙江,元器件,主板,20000706
600243.SH,600243,*ST海华,青海,运输设备,主板,20001120
002529.SZ,002529,*ST海源,江西,专用机械,主板,20101224
600753.SH,600753,*ST海钦,福建,商贸代理,主板,19960927
301288.SZ,301288,*ST清研,深圳,环境保护,创业板,20220422
600599.SH,600599,*ST熊猫,湖南,化工原料,主板,20010828
002227.SZ,002227,*ST特迅,深圳,电气设备,主板,20080506
000504.SZ,000504,*ST生物,湖南,医疗保健,主板,19921208
000056.SZ,000056,*ST皇庭,深圳,其他商业,主板,19960708
603261.SH,603261,*ST立航,四川,航空,主板,20220315
002868.SZ,002868,*ST绿康,福建,农业综合,主板,20170503
000615.SZ,000615,*ST美谷,湖北,医疗保健,主板,19961016
300125.SZ,300125,*ST聆达,辽宁,电气设备,创业板,20101013
603580.SH,603580,*ST艾艾,上海,塑料,主板,20170525
000820.SZ,000820,*ST节能,江西,综合类,主板,19980630
000668.SZ,000668,*ST荣控,山东,房产服务,主板,19961210
600543.SH,600543,*ST莫高,甘肃,红黄酒,主板,20040324
000752.SZ,000752,*ST西发,西藏,啤酒,主板,19970625
000610.SZ,000610,*ST西旅,陕西,旅游服务,主板,19960926
688287.SH,688287,*ST观典,北京,航空,科创板,20220525
300044.SZ,300044,*ST赛为,深圳,软件服务,创业板,20100120
002898.SZ,002898,*ST赛隆,广东,化学制药,主板,20170912
002496.SZ,002496,*ST辉丰,江苏,农药化肥,主板,20101109
600228.SH,600228,*ST返利,江西,互联网,主板,19990119
300093.SZ,300093,*ST金刚,甘肃,电气设备,创业板,20100708
002762.SZ,002762,*ST金比,广东,服饰,主板,20150610
300225.SZ,300225,*ST金泰,上海,染料涂料,创业板,20110531
300091.SZ,300091,*ST金灵,江苏,机械基件,创业板,20100625
000656.SZ,000656,*ST金科,重庆,全国地产,主板,19961128
001270.SZ,001270,*ST铖昌,浙江,半导体,主板,20220606
600119.SH,600119,*ST长投,上海,仓储物流,主板,19980115
000608.SZ,000608,*ST阳光,广西,区域地产,主板,19960919
603429.SH,603429,*ST集友,安徽,广告包装,主板,20170124
002848.SZ,002848,*ST高斯,湖南,家用电器,主板,20170213
600730.SH,600730,*ST高科,北京,文教休闲,主板,19960726
603595.SH,603595,ST东尼,浙江,元器件,主板,20170712
603377.SH,603377,ST东时,北京,汽车服务,主板,20160205
600568.SH,600568,ST中珠,湖北,医疗保健,主板,20010518
002822.SZ,002822,ST中装,深圳,装修装饰,主板,20161129
000903.SZ,000903,ST云动,云南,汽车配件,主板,19990415
300123.SZ,300123,ST亚光,湖南,半导体,创业板,20100928
000821.SZ,000821,ST京机,湖北,电气设备,主板,19980626
000711.SZ,000711,ST京蓝,黑龙江,环境保护,主板,19970411
600079.SH,600079,ST人福,湖北,化学制药,主板,19970606
300311.SZ,300311,ST任子行,深圳,软件服务,创业板,20120425
600289.SH,600289,ST信通,黑龙江,软件服务,主板,20000720
002592.SZ,002592,ST八菱,广西,汽车配件,主板,20111111
300326.SZ,300326,ST凯利,上海,医疗保健,创业板,20120613
300366.SZ,300366,ST创意,四川,软件服务,创业板,20140127
002650.SZ,002650,ST加加,湖南,食品,主板,20120106
603825.SH,603825,ST华扬,湖南,互联网,主板,20170802
002630.SZ,002630,ST华西,四川,专用机械,主板,20111111
300462.SZ,300462,ST华铭,上海,IT设备,创业板,20150527
603021.SH,603021,ST华鹏,山东,家居用品,主板,20150423
002538.SZ,002538,ST司特,安徽,农药化肥,主板,20110118
300477.SZ,300477,ST合纵,北京,电气设备,创业板,20150610
300506.SZ,300506,ST名家汇,深圳,建筑工程,创业板,20160324
603008.SH,603008,ST喜临门,浙江,家居用品,主板,20120717
603822.SH,603822,ST嘉澳,浙江,化工原料,主板,20160428
002586.SZ,002586,ST围海,浙江,建筑工程,主板,20110602
600624.SH,600624,ST复华,上海,化学制药,主板,19930105
002872.SZ,002872,ST天圣,重庆,医药商业,主板,20170519
600169.SH,600169,ST太重,山西,工程机械,主板,19980904
600165.SH,600165,ST宁科,宁夏,化工原料,主板,19980529
002211.SZ,002211,ST宏达,上海,橡胶,主板,20080201
600107.SH,600107,ST尔雅,湖北,服饰,主板,19971106
002717.SZ,002717,ST岭南,广东,环境保护,主板,20140219
688184.SH,688184,ST帕瓦,浙江,电气设备,科创板,20220919
300527.SZ,300527,ST应急,湖北,专用机械,创业板,20160805
300338.SZ,300338,ST开元,湖南,文教休闲,创业板,20120726
000430.SZ,000430,ST张家界,湖南,旅游景点,主板,19960829
002055.SZ,002055,ST得润,深圳,元器件,主板,20060725
002005.SZ,002005,ST德豪,安徽,家用电器,主板,20040625
688053.SH,688053,ST思科瑞,四川,元器件,科创板,20220708
300081.SZ,300081,ST恒信,北京,文教休闲,创业板,20100520
300460.SZ,300460,ST惠伦,广东,元器件,创业板,20150515
300152.SZ,300152,ST新动力,河北,环境保护,创业板,20101229
600735.SH,600735,ST新华锦,山东,服饰,主板,19960726
600136.SH,600136,ST明诚,湖北,房产服务,主板,19980303
300096.SZ,300096,ST易联众,福建,软件服务,创业板,20100728
002024.SZ,002024,ST易购,江苏,电器连锁,主板,20040721
